id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
61664,Closed,7390291,2011-09-13 12:08:00-04,36,2011-12-08 00:00:00-05,
67708,Closed,1867108,2011-09-17 01:29:00-04,36,2011-10-08 16:07:00-04,53
71569,Closed,6860474,2011-09-19 15:18:00-04,42,2011-12-08 00:00:00-05,
89161,Closed,11994458,2011-09-30 22:00:00-04,46,2012-02-16 16:48:00-05,7
89693,Closed,5826847,2011-10-01 14:25:00-04,42,2011-12-08 00:00:00-05,
90239,Closed,5811180,2011-10-01 18:46:00-04,48,2011-12-08 00:00:00-05,43
94067,Closed,308758,2011-10-04 20:10:00-04,53,2011-10-08 09:56:00-04,53
97916,Closed,73556,2011-10-07 15:30:00-04,29,2011-10-08 11:56:00-04,29
98038,Closed,67249,2011-10-07 16:21:00-04,49,2011-10-08 11:02:00-04,49
98050,Closed,67276,2011-10-07 16:24:00-04,49,2011-10-08 11:06:00-04,49
98051,Closed,67246,2011-10-07 16:25:00-04,49,2011-10-08 11:06:00-04,49
98057,Closed,66924,2011-10-07 16:26:00-04,49,2011-10-08 11:01:00-04,49
98205,Closed,76860,2011-10-07 17:16:00-04,36,2011-10-08 14:37:00-04,36
98210,Closed,83990,2011-10-07 17:16:00-04,36,2011-10-08 16:36:00-04,41
98457,Closed,75209,2011-10-07 18:47:00-04,16,2011-10-08 15:41:00-04,16
98511,Closed,50347,2011-10-07 19:33:00-04,44,2011-10-08 09:33:00-04,37
98693,Closed,11705,2011-10-07 22:30:00-04,24,2011-10-08 01:45:00-04,49
98694,Closed,11600,2011-10-07 22:30:00-04,24,2011-10-08 01:43:00-04,49
98712,Closed,44660,2011-10-07 22:43:00-04,59,2011-10-08 11:07:00-04,24
98746,Closed,46583,2011-10-07 23:35:00-04,41,2011-10-08 12:31:00-04,10
98749,Closed,1109,2011-10-07 23:44:00-04,32,2011-10-08 00:02:00-04,41
98750,Closed,1095,2011-10-07 23:44:00-04,32,2011-10-08 00:02:00-04,41
98756,Closed,881,2011-10-07 23:50:00-04,33,2011-10-08 00:04:00-04,49
98757,Closed,1332,2011-10-07 23:51:00-04,9,2011-10-08 00:13:00-04,25
98758,Closed,695,2011-10-07 23:51:00-04,46,2011-10-08 00:02:00-04,14
98760,Closed,1316,2011-10-07 23:51:00-04,9,2011-10-08 00:13:00-04,25
98761,Closed,1292,2011-10-07 23:52:00-04,9,2011-10-08 00:13:00-04,25
98762,Closed,965,2011-10-07 23:57:00-04,42,2011-10-08 00:13:00-04,41
98763,Closed,64881,2011-10-08 00:00:00-04,32,2011-10-08 18:01:00-04,54
98764,Closed,599,2011-10-08 00:03:00-04,36,2011-10-08 00:13:00-04,31
98765,Closed,402,2011-10-08 00:05:00-04,23,2011-10-08 00:12:00-04,58
98766,Closed,1337,2011-10-08 00:07:00-04,33,2011-10-08 00:29:00-04,60
98767,Closed,175,2011-10-08 00:12:00-04,33,2011-10-08 00:15:00-04,32
98768,Closed,3897,2011-10-08 00:15:00-04,30,2011-10-08 01:20:00-04,32
98769,Closed,3894,2011-10-08 00:14:00-04,30,2011-10-08 01:19:00-04,32
98770,Closed,826,2011-10-08 00:20:00-04,12,2011-10-08 00:34:00-04,12
98771,Closed,605,2011-10-08 00:25:00-04,50,2011-10-08 00:35:00-04,16
98772,Closed,720,2011-10-08 00:25:00-04,56,2011-10-08 00:37:00-04,56
98773,Closed,722,2011-10-08 00:26:00-04,56,2011-10-08 00:38:00-04,56
98774,Closed,167,2011-10-08 00:28:00-04,10,2011-10-08 00:31:00-04,9
98775,Closed,745,2011-10-08 00:29:00-04,55,2011-10-08 00:41:00-04,4
98776,Closed,239,2011-10-08 00:29:00-04,4,2011-10-08 00:33:00-04,39
98777,Closed,238,2011-10-08 00:29:00-04,4,2011-10-08 00:33:00-04,39
98778,Closed,1232,2011-10-08 00:29:00-04,31,2011-10-08 00:49:00-04,45
98779,Closed,219,2011-10-08 00:34:00-04,60,2011-10-08 00:38:00-04,6
98780,Closed,977,2011-10-08 00:52:00-04,45,2011-10-08 01:08:00-04,21
98781,Closed,936,2011-10-08 00:52:00-04,45,2011-10-08 01:08:00-04,21
98782,Closed,499,2011-10-08 00:55:00-04,35,2011-10-08 01:03:00-04,47
98783,Closed,170,2011-10-08 01:07:00-04,15,2011-10-08 01:10:00-04,18
98784,Closed,46093,2011-10-08 01:11:00-04,22,2011-10-08 13:59:00-04,52
