id,status,duration,start_date,start_station,end_date,end_station
473503,Closed,217191,2012-08-15 23:40:00-04,57,2012-08-18 12:00:00-04,4,T01339,Casual,,,
475355,Closed,191638,2012-08-16 16:38:00-04,69,2012-08-18 21:52:00-04,45
476805,Closed,72378,2012-08-16 22:10:00-04,50,2012-08-17 18:16:00-04,61
476909,Closed,3350,2012-08-16 23:19:00-04,66,2012-08-17 00:15:00-04,79
476916,Closed,2465,2012-08-16 23:23:00-04,42,2012-08-17 00:04:00-04,75,T01281,Casual,,,
476926,Closed,1619,2012-08-16 23:39:00-04,44,2012-08-17 00:06:00-04,36
476927,Closed,1598,2012-08-16 23:40:00-04,44,2012-08-17 00:07:00-04,36
476930,Closed,1453,2012-08-16 23:42:00-04,44,2012-08-17 00:07:00-04,36
476931,Closed,1456,2012-08-16 23:43:00-04,17,2012-08-17 00:07:00-04,34,T01163,Registered,02130,1984,Male
476932,Closed,1486,2012-08-16 23:43:00-04,17,2012-08-17 00:08:00-04,34,T01169,Registered,02215,1985,Female
476934,Closed,1730,2012-08-16 23:43:00-04,72,2012-08-17 00:12:00-04,55,T01200,Registered,02120,1990,Female
476935,Closed,1705,2012-08-16 23:44:00-04,72,2012-08-17 00:12:00-04,55,T01155,Registered,02215,1982,Male
476936,Closed,857,2012-08-16 23:47:00-04,39,2012-08-17 00:02:00-04,19
476937,Closed,895,2012-08-16 23:48:00-04,68,2012-08-17 00:03:00-04,36,T01211,Registered,02125,1979,Male
476939,Closed,1419,2012-08-16 23:50:00-04,6,2012-08-17 00:14:00-04,8
476940,Closed,1320,2012-08-16 23:50:00-04,47,2012-08-17 00:12:00-04,22
476941,Closed,941,2012-08-16 23:51:00-04,61,2012-08-17 00:06:00-04,23
476942,Closed,806,2012-08-16 23:52:00-04,70,2012-08-17 00:05:00-04,66
476943,Closed,1349,2012-08-16 23:53:00-04,55,2012-08-17 00:16:00-04,36
476944,Closed,476,2012-08-16 23:55:00-04,42,2012-08-17 00:02:00-04,63
476946,Closed,688,2012-08-16 23:57:00-04,44,2012-08-17 00:08:00-04,40
476947,Closed,1719,2012-08-16 23:59:00-04,44,2012-08-17 00:28:00-04,44,T01332,Casual,,,
476948,Closed,269,2012-08-17 00:01:00-04,33,2012-08-17 00:05:00-04,55
476949,Closed,648,2012-08-17 00:06:00-04,44,2012-08-17 00:16:00-04,36
476950,Closed,647,2012-08-17 00:06:00-04,44,2012-08-17 00:16:00-04,36,T01367,Casual,,,
476951,Closed,430,2012-08-17 00:02:00-04,7,2012-08-17 00:09:00-04,35,T01408,Registered,02130,1981,Female
476952,Closed,1154,2012-08-17 00:02:00-04,20,2012-08-17 00:21:00-04,57,T01182,Registered,02118,1973,Male
476953,Closed,319,2012-08-17 00:02:00-04,55,2012-08-17 00:07:00-04,32
476954,Closed,367,2012-08-17 00:05:00-04,45,2012-08-17 00:11:00-04,57,T01242,Registered,02118,1982,Male
476955,Closed,1067,2012-08-17 00:06:00-04,16,2012-08-17 00:24:00-04,5,T01160,Registered,02116,1984,Female
476956,Closed,582,2012-08-17 00:10:00-04,46,2012-08-17 00:20:00-04,56
476957,Closed,699,2012-08-17 00:11:00-04,31,2012-08-17 00:23:00-04,63,T01157,Registered,02127,1977,Male
476959,Closed,429,2012-08-17 00:13:00-04,14,2012-08-17 00:20:00-04,69
476960,Closed,596,2012-08-17 00:14:00-04,31,2012-08-17 00:23:00-04,63
476961,Closed,227,2012-08-17 00:14:00-04,55,2012-08-17 00:17:00-04,45,T01155,Registered,02215,1982,Male
476962,Closed,221,2012-08-17 00:14:00-04,55,2012-08-17 00:17:00-04,45,T01200,Registered,02120,1990,Female
476963,Closed,734,2012-08-17 00:19:00-04,52,2012-08-17 00:31:00-04,60,T01328,Casual,,,
476964,Closed,349,2012-08-17 00:20:00-04,10,2012-08-17 00:25:00-04,41,T01022,Registered,02134,1983,Male
476965,Closed,497,2012-08-17 00:24:00-04,22,2012-08-17 00:32:00-04,16
476966,Closed,278,2012-08-17 00:24:00-04,36,2012-08-17 00:29:00-04,42,T01211,Registered,02116,1991,Male
476967,Closed,713,2012-08-17 00:30:00-04,4,2012-08-17 00:42:00-04,27
476968,Closed,770,2012-08-17 00:39:00-04,53,2012-08-17 00:52:00-04,74
476969,Closed,31581,2012-08-17 00:41:00-04,18,2012-08-17 09:28:00-04,18
