id,status,duration,start_date,start_station,end_date,end_station
589644,Closed,351152,2012-09-20 14:28:00-04,22,2012-09-24 16:01:00-04,
592515,Closed,80206,2012-09-21 11:04:00-04,68,2012-09-22 09:21:00-04,68,T01135,Casual,,,
593665,Closed,60354,2012-09-21 16:44:00-04,48,2012-09-22 09:30:00-04,22,T01014,Casual,,,
594729,Closed,12824,2012-09-21 20:28:00-04,72,2012-09-22 00:02:00-04,79,T01278,Casual,,,
594812,Closed,144154,2012-09-21 21:22:00-04,32,2012-09-23 13:24:00-04,37
594979,Closed,8105,2012-09-21 22:44:00-04,58,2012-09-22 00:59:00-04,98
595012,Closed,4717,2012-09-21 23:10:00-04,24,2012-09-22 00:29:00-04,20
595014,Closed,4640,2012-09-21 23:11:00-04,24,2012-09-22 00:28:00-04,20,T01009,Casual,,,
595037,Closed,12133,2012-09-21 23:33:00-04,41,2012-09-22 02:56:00-04,9
595042,Closed,1326,2012-09-21 23:40:00-04,38,2012-09-22 00:02:00-04,45,T01111,Casual,,,
595049,Closed,567,2012-09-21 23:55:00-04,74,2012-09-22 00:05:00-04,67
595050,Closed,608,2012-09-21 23:57:00-04,43,2012-09-22 00:07:00-04,39
595051,Closed,240,2012-09-22 00:00:00-04,87,2012-09-22 00:04:00-04,74
595052,Closed,209,2012-09-22 00:00:00-04,53,2012-09-22 00:04:00-04,67,T01172,Registered,02215,1993,Male
595053,Closed,648,2012-09-22 00:04:00-04,53,2012-09-22 00:15:00-04,6,T01339,Casual,,,
595054,Closed,432,2012-09-22 00:06:00-04,55,2012-09-22 00:14:00-04,13,T01149,Registered,02118,1978,Male
595055,Closed,899,2012-09-22 00:09:00-04,38,2012-09-22 00:24:00-04,50
595056,Closed,907,2012-09-22 00:09:00-04,38,2012-09-22 00:24:00-04,50
595057,Closed,307,2012-09-22 00:10:00-04,40,2012-09-22 00:15:00-04,24,T01331,Registered,02113,1984,Male
595058,Closed,1132,2012-09-22 00:11:00-04,24,2012-09-22 00:30:00-04,60
595059,Closed,1041,2012-09-22 00:10:00-04,61,2012-09-22 00:28:00-04,80
595060,Closed,681,2012-09-22 00:14:00-04,60,2012-09-22 00:25:00-04,36
595061,Closed,351,2012-09-22 00:14:00-04,10,2012-09-22 00:20:00-04,53,T01323,Registered,02215,1993,Male
595062,Closed,909,2012-09-22 00:15:00-04,24,2012-09-22 00:30:00-04,60
595063,Closed,759,2012-09-22 00:16:00-04,74,2012-09-22 00:29:00-04,67,T01254,Casual,,,
595064,Closed,559,2012-09-22 00:16:00-04,60,2012-09-22 00:26:00-04,36,T01078,Casual,,,
595065,Closed,666,2012-09-22 00:16:00-04,54,2012-09-22 00:27:00-04,53
595066,Closed,745,2012-09-22 00:16:00-04,74,2012-09-22 00:29:00-04,67
595067,Closed,562,2012-09-22 00:16:00-04,9,2012-09-22 00:26:00-04,52,T01436,Registered,02115,1956,Male
595068,Closed,613,2012-09-22 00:19:00-04,74,2012-09-22 00:29:00-04,67
595069,Closed,607,2012-09-22 00:19:00-04,74,2012-09-22 00:29:00-04,67
595070,Closed,473,2012-09-22 00:20:00-04,52,2012-09-22 00:27:00-04,80,T01348,Casual,,,
595071,Closed,515,2012-09-22 00:20:00-04,76,2012-09-22 00:29:00-04,55
595072,Closed,313,2012-09-22 00:22:00-04,4,2012-09-22 00:28:00-04,54
595073,Closed,771,2012-09-22 00:25:00-04,9,2012-09-22 00:37:00-04,57
595074,Closed,728,2012-09-22 00:25:00-04,9,2012-09-22 00:37:00-04,69,T01025,Registered,02446,1982,Female
595075,Closed,704,2012-09-22 00:25:00-04,9,2012-09-22 00:37:00-04,69
595076,Closed,424,2012-09-22 00:26:00-04,26,2012-09-22 00:33:00-04,13
595077,Closed,369,2012-09-22 00:29:00-04,50,2012-09-22 00:35:00-04,52,T01327,Casual,,,
595078,Closed,731,2012-09-22 00:32:00-04,67,2012-09-22 00:44:00-04,3,T01254,Casual,,,
595079,Closed,694,2012-09-22 00:33:00-04,67,2012-09-22 00:44:00-04,3
595080,Closed,672,2012-09-22 00:33:00-04,67,2012-09-22 00:44:00-04,3,T01172,Casual,,,
595081,Closed,311,2012-09-22 00:33:00-04,67,2012-09-22 00:38:00-04,33
595082,Closed,644,2012-09-22 00:34:00-04,67,2012-09-22 00:44:00-04,3
595083,Closed,154,2012-09-22 00:33:00-04,75,2012-09-22 00:36:00-04,68
595084,Closed,394,2012-09-22 00:36:00-04,67,2012-09-22 00:43:00-04,21
595085,Closed,793,2012-09-22 00:38:00-04,8,2012-09-22 00:51:00-04,76
595086,Closed,127,2012-09-22 00:38:00-04,48,2012-09-22 00:40:00-04,22
595087,Closed,182,2012-09-22 00:38:00-04,67,2012-09-22 00:41:00-04,53
595089,Closed,887,2012-09-22 00:41:00-04,74,2012-09-22 00:56:00-04,74,T01218,Casual,,,
595090,Closed,984,2012-09-22 00:40:00-04,74,2012-09-22 00:57:00-04,14
595091,Closed,1489,2012-09-22 00:44:00-04,53,2012-09-22 01:09:00-04,51
595092,Closed,1485,2012-09-22 00:44:00-04,53,2012-09-22 01:09:00-04,51
595093,Closed,1535,2012-09-22 00:44:00-04,45,2012-09-22 01:10:00-04,86,T01111,Registered,02215,1990,Male
595094,Closed,472,2012-09-22 00:46:00-04,68,2012-09-22 00:54:00-04,87
595095,Closed,869,2012-09-22 00:46:00-04,75,2012-09-22 01:01:00-04,27
595096,Closed,1570,2012-09-22 00:47:00-04,74,2012-09-22 01:13:00-04,12
595097,Closed,285,2012-09-22 00:48:00-04,97,2012-09-22 00:52:00-04,97,T01125,Casual,,,
595099,Closed,1154,2012-09-22 00:49:00-04,49,2012-09-22 01:08:00-04,86,T01381,Casual,,,
595100,Closed,753,2012-09-22 00:49:00-04,60,2012-09-22 01:02:00-04,33
595101,Closed,266,2012-09-22 00:51:00-04,55,2012-09-22 00:55:00-04,57,T01097,Registered,02118,1971,Male
595102,Closed,1016,2012-09-22 00:53:00-04,20,2012-09-22 01:10:00-04,55,T01182,Registered,02116,1987,Female
595103,Closed,1219,2012-09-22 00:54:00-04,8,2012-09-22 01:15:00-04,95
595104,Closed,3249,2012-09-22 00:59:00-04,97,2012-09-22 01:53:00-04,97,T01306,Casual,,,
595106,Closed,3157,2012-09-22 01:01:00-04,97,2012-09-22 01:53:00-04,97,T01125,Casual,,,
595107,Closed,663,2012-09-22 01:00:00-04,81,2012-09-22 01:11:00-04,46
595108,Closed,1460,2012-09-22 01:01:00-04,54,2012-09-22 01:25:00-04,4
595109,Closed,1322,2012-09-22 01:02:00-04,54,2012-09-22 01:24:00-04,4
595110,Closed,343,2012-09-22 01:02:00-04,74,2012-09-22 01:08:00-04,79,T01218,Casual,,,
595111,Closed,1289,2012-09-22 01:03:00-04,54,2012-09-22 01:24:00-04,4
595112,Closed,1107,2012-09-22 01:03:00-04,54,2012-09-22 01:21:00-04,25
595113,Closed,210,2012-09-22 01:03:00-04,12,2012-09-22 01:06:00-04,27
595114,Closed,646,2012-09-22 01:03:00-04,54,2012-09-22 01:14:00-04,57
595115,Closed,703,2012-09-22 01:03:00-04,33,2012-09-22 01:15:00-04,82
595116,Closed,659,2012-09-22 01:04:00-04,60,2012-09-22 01:15:00-04,68
595117,Closed,605,2012-09-22 01:06:00-04,26,2012-09-22 01:16:00-04,60
595118,Closed,1340,2012-09-22 01:07:00-04,55,2012-09-22 01:29:00-04,65,T01002,Registered,02114,1979,Female
595119,Closed,875,2012-09-22 01:07:00-04,53,2012-09-22 01:22:00-04,17,T01299,Registered,02163,1985,Male
595120,Closed,699,2012-09-22 01:08:00-04,42,2012-09-22 01:20:00-04,5
595121,Closed,1018,2012-09-22 01:08:00-04,40,2012-09-22 01:25:00-04,39
595122,Closed,348,2012-09-22 01:14:00-04,80,2012-09-22 01:20:00-04,68
595123,Closed,788,2012-09-22 01:15:00-04,80,2012-09-22 01:28:00-04,79
595124,Closed,752,2012-09-22 01:16:00-04,23,2012-09-22 01:29:00-04,39,T01127,Registered,02118,1985,Male
595125,Closed,373,2012-09-22 01:19:00-04,35,2012-09-22 01:25:00-04,26
595126,Closed,897,2012-09-22 01:23:00-04,7,2012-09-22 01:38:00-04,7,T01049,Casual,,,
595127,Closed,921,2012-09-22 01:23:00-04,7,2012-09-22 01:38:00-04,7
595128,Closed,298,2012-09-22 01:22:00-04,26,2012-09-22 01:27:00-04,26
595129,Closed,455,2012-09-22 01:23:00-04,5,2012-09-22 01:31:00-04,30
595130,Closed,774,2012-09-22 01:24:00-04,54,2012-09-22 01:36:00-04,52
595131,Closed,767,2012-09-22 01:24:00-04,54,2012-09-22 01:37:00-04,52
595132,Closed,957,2012-09-22 01:25:00-04,74,2012-09-22 01:41:00-04,72
595133,Closed,775,2012-09-22 01:28:00-04,21,2012-09-22 01:41:00-04,9
595134,Closed,819,2012-09-22 01:31:00-04,34,2012-09-22 01:45:00-04,30
