id,status,duration,start_date,start_station,end_date,end_station
522737,Closed,125412,2012-08-31 04:12:00-04,39,2012-09-01 15:02:00-04,22
525720,Closed,131763,2012-08-31 22:06:00-04,26,2012-09-02 10:42:00-04,22
525781,Closed,4802,2012-08-31 22:50:00-04,66,2012-09-01 00:10:00-04,66
525783,Closed,4801,2012-08-31 22:50:00-04,66,2012-09-01 00:10:00-04,66
525789,Closed,8732,2012-08-31 22:54:00-04,42,2012-09-01 01:20:00-04,42,T01440,Casual,,,
525791,Closed,8716,2012-08-31 22:55:00-04,42,2012-09-01 01:20:00-04,42
525821,Closed,7511,2012-08-31 23:14:00-04,42,2012-09-01 01:20:00-04,42,T01137,Casual,,,
525826,Closed,7266,2012-08-31 23:19:00-04,42,2012-09-01 01:20:00-04,42
525832,Closed,7007,2012-08-31 23:23:00-04,42,2012-09-01 01:20:00-04,42,T01094,Casual,,,
525833,Closed,6969,2012-08-31 23:24:00-04,42,2012-09-01 01:20:00-04,42
525843,Closed,2287,2012-08-31 23:29:00-04,7,2012-09-01 00:07:00-04,7
525844,Closed,2248,2012-08-31 23:29:00-04,7,2012-09-01 00:07:00-04,7,T01343,Casual,,,
525845,Closed,2024,2012-08-31 23:34:00-04,75,2012-09-01 00:08:00-04,60
525848,Closed,1989,2012-08-31 23:35:00-04,75,2012-09-01 00:08:00-04,60,T01169,Casual,,,
525852,Closed,6033,2012-08-31 23:40:00-04,50,2012-09-01 01:20:00-04,42,T01133,Casual,,,
525853,Closed,6030,2012-08-31 23:39:00-04,50,2012-09-01 01:20:00-04,42
525854,Closed,14186,2012-08-31 23:44:00-04,41,2012-09-01 03:40:00-04,9
525855,Closed,14190,2012-08-31 23:43:00-04,41,2012-09-01 03:40:00-04,9
525857,Closed,1309,2012-08-31 23:43:00-04,23,2012-09-01 00:05:00-04,40
525858,Closed,2140,2012-08-31 23:43:00-04,64,2012-09-01 00:19:00-04,45,T01405,Registered,02118,1973,Male
525859,Closed,1279,2012-08-31 23:44:00-04,23,2012-09-01 00:05:00-04,40
525860,Closed,1146,2012-08-31 23:52:00-04,20,2012-09-01 00:11:00-04,81
525861,Closed,1155,2012-08-31 23:52:00-04,20,2012-09-01 00:11:00-04,81
525864,Closed,738,2012-08-31 23:53:00-04,44,2012-09-01 00:06:00-04,4
525865,Closed,5233,2012-08-31 23:53:00-04,42,2012-09-01 01:20:00-04,42,T01270,Casual,,,
525866,Closed,749,2012-08-31 23:54:00-04,44,2012-09-01 00:06:00-04,4
525867,Closed,2062,2012-08-31 23:56:00-04,18,2012-09-01 00:30:00-04,60,T01110,Casual,,,
525868,Closed,2655,2012-09-01 00:01:00-04,55,2012-09-01 00:45:00-04,19
525869,Closed,608,2012-08-31 23:58:00-04,60,2012-09-01 00:08:00-04,61
525870,Closed,606,2012-08-31 23:59:00-04,32,2012-09-01 00:09:00-04,41
525871,Closed,596,2012-08-31 23:59:00-04,32,2012-09-01 00:09:00-04,41,T01254,Registered,02215,1979,Male
525872,Closed,837,2012-09-01 00:02:00-04,34,2012-09-01 00:16:00-04,16
525873,Closed,641,2012-09-01 00:05:00-04,43,2012-09-01 00:16:00-04,40,T01296,Registered,02110,1982,Male
525874,Closed,2522,2012-09-01 00:06:00-04,60,2012-09-01 00:48:00-04,76,T01285,Casual,,,
525875,Closed,525,2012-09-01 00:06:00-04,43,2012-09-01 00:14:00-04,40,T01342,Registered,02110,1980,Female
525876,Closed,1064,2012-09-01 00:06:00-04,53,2012-09-01 00:24:00-04,38
525877,Closed,2499,2012-09-01 00:07:00-04,60,2012-09-01 00:48:00-04,76,T01273,Casual,,,
525878,Closed,510,2012-09-01 00:06:00-04,11,2012-09-01 00:15:00-04,21,T01014,Casual,,,
525879,Closed,541,2012-09-01 00:07:00-04,34,2012-09-01 00:16:00-04,16
525880,Closed,1015,2012-09-01 00:07:00-04,53,2012-09-01 00:24:00-04,38,T01025,Casual,,,
525882,Closed,678,2012-09-01 00:08:00-04,7,2012-09-01 00:20:00-04,43
525883,Closed,1496,2012-09-01 00:10:00-04,44,2012-09-01 00:35:00-04,75
525884,Closed,620,2012-09-01 00:09:00-04,7,2012-09-01 00:20:00-04,43,T01343,Casual,,,
525885,Closed,2342,2012-09-01 00:09:00-04,60,2012-09-01 00:48:00-04,76
525886,Closed,790,2012-09-01 00:09:00-04,21,2012-09-01 00:22:00-04,9,T01449,Registered,02446,1977,Female
525887,Closed,1361,2012-09-01 00:12:00-04,12,2012-09-01 00:35:00-04,11
525888,Closed,3132,2012-09-01 00:11:00-04,60,2012-09-01 01:03:00-04,74
525889,Closed,3112,2012-09-01 00:11:00-04,60,2012-09-01 01:03:00-04,74,T01169,Casual,,,
525890,Closed,661,2012-09-01 00:11:00-04,11,2012-09-01 00:22:00-04,57
525891,Closed,9282,2012-09-01 00:12:00-04,12,2012-09-01 02:47:00-04,12
525892,Closed,1451,2012-09-01 00:13:00-04,44,2012-09-01 00:37:00-04,67
525893,Closed,565,2012-09-01 00:13:00-04,80,2012-09-01 00:23:00-04,46
525894,Closed,1184,2012-09-01 00:14:00-04,44,2012-09-01 00:33:00-04,75
525895,Closed,1228,2012-09-01 00:15:00-04,68,2012-09-01 00:35:00-04,58,T01015,Casual,,,
525896,Closed,1730,2012-09-01 00:15:00-04,68,2012-09-01 00:44:00-04,54
525897,Closed,1669,2012-09-01 00:17:00-04,68,2012-09-01 00:44:00-04,54
525898,Closed,1075,2012-09-01 00:17:00-04,6,2012-09-01 00:35:00-04,65
525899,Closed,1161,2012-09-01 00:17:00-04,19,2012-09-01 00:36:00-04,90,T01069,Registered,02215,1982,Male
525900,Closed,982,2012-09-01 00:18:00-04,6,2012-09-01 00:35:00-04,65
525901,Closed,155,2012-09-01 00:19:00-04,32,2012-09-01 00:22:00-04,45,T01432,Registered,02215,1977,Male
525902,Closed,490,2012-09-01 00:24:00-04,46,2012-09-01 00:33:00-04,36
525903,Closed,656,2012-09-01 00:26:00-04,23,2012-09-01 00:37:00-04,72,T01248,Registered,02142,1986,Male
525904,Closed,412,2012-09-01 00:27:00-04,40,2012-09-01 00:34:00-04,22,T01296,Registered,02124,1984,Male
525905,Closed,730,2012-09-01 00:28:00-04,40,2012-09-01 00:40:00-04,60,T01150,Registered,02114,1985,Male
525906,Closed,295,2012-09-01 00:28:00-04,39,2012-09-01 00:33:00-04,56
525909,Closed,345,2012-09-01 00:29:00-04,69,2012-09-01 00:35:00-04,19
525910,Closed,954,2012-09-01 00:29:00-04,68,2012-09-01 00:45:00-04,32
525911,Closed,540,2012-09-01 00:32:00-04,36,2012-09-01 00:41:00-04,60
525913,Closed,266,2012-09-01 00:34:00-04,53,2012-09-01 00:38:00-04,46,T01130,Registered,02115,1986,Male
525914,Closed,837,2012-09-01 00:37:00-04,47,2012-09-01 00:51:00-04,91
525915,Closed,2157,2012-09-01 00:37:00-04,55,2012-09-01 01:13:00-04,42
525916,Closed,839,2012-09-01 00:37:00-04,47,2012-09-01 00:51:00-04,91
525917,Closed,1667,2012-09-01 00:40:00-04,55,2012-09-01 01:08:00-04,42,T01323,Casual,,,
525918,Closed,1459,2012-09-01 00:40:00-04,47,2012-09-01 01:04:00-04,50,T01244,Casual,,,
525919,Closed,1031,2012-09-01 00:39:00-04,36,2012-09-01 00:56:00-04,32,T01049,Registered,02115,1984,Male
525920,Closed,1418,2012-09-01 00:40:00-04,47,2012-09-01 01:04:00-04,50
525923,Closed,929,2012-09-01 00:41:00-04,36,2012-09-01 00:57:00-04,32
525924,Closed,1178,2012-09-01 00:42:00-04,55,2012-09-01 01:02:00-04,64,T01147,Casual,,,
525925,Closed,920,2012-09-01 00:42:00-04,35,2012-09-01 00:58:00-04,46
525927,Closed,1143,2012-09-01 00:44:00-04,43,2012-09-01 01:03:00-04,44
525928,Closed,1125,2012-09-01 00:44:00-04,43,2012-09-01 01:03:00-04,44,T01343,Casual,,,
525929,Closed,1034,2012-09-01 00:44:00-04,64,2012-09-01 01:01:00-04,61
525930,Closed,786,2012-09-01 00:46:00-04,74,2012-09-01 01:00:00-04,75,T01371,Casual,,,
525931,Closed,517,2012-09-01 00:46:00-04,74,2012-09-01 00:55:00-04,76
525932,Closed,386,2012-09-01 00:49:00-04,74,2012-09-01 00:55:00-04,76
525933,Closed,1812,2012-09-01 00:50:00-04,25,2012-09-01 01:20:00-04,25
525935,Closed,1001,2012-09-01 00:50:00-04,75,2012-09-01 01:07:00-04,69,T01257,Registered,02446,1983,Male
525936,Closed,267,2012-09-01 00:50:00-04,40,2012-09-01 00:55:00-04,43,T01342,Registered,02110,1980,Female
