id,status,duration,start_date,start_station,end_date,end_station
589644,Closed,351152,2012-09-20 14:28:00-04,22,2012-09-24 16:01:00-04,
594812,Closed,144154,2012-09-21 21:22:00-04,32,2012-09-23 13:24:00-04,37
595692,Closed,79370,2012-09-22 11:48:00-04,68,2012-09-23 09:51:00-04,68,T01128,Casual,,,
596859,Closed,36398,2012-09-22 15:58:00-04,4,2012-09-23 02:04:00-04,48
597682,Closed,64256,2012-09-22 18:35:00-04,94,2012-09-23 12:26:00-04,94
598140,Closed,33533,2012-09-22 21:54:00-04,47,2012-09-23 07:13:00-04,47
598210,Closed,9198,2012-09-22 22:35:00-04,74,2012-09-23 01:09:00-04,74
598294,Closed,5427,2012-09-22 23:33:00-04,12,2012-09-23 01:04:00-04,12
598299,Closed,5286,2012-09-22 23:35:00-04,12,2012-09-23 01:03:00-04,12
598305,Closed,4729,2012-09-22 23:37:00-04,12,2012-09-23 00:56:00-04,46
598315,Closed,4472,2012-09-22 23:42:00-04,12,2012-09-23 00:57:00-04,46
598317,Closed,4363,2012-09-22 23:44:00-04,12,2012-09-23 00:57:00-04,46,T01261,Casual,,,
598318,Closed,1819,2012-09-22 23:45:00-04,21,2012-09-23 00:15:00-04,98,T01279,Casual,,,
598319,Closed,1852,2012-09-22 23:45:00-04,21,2012-09-23 00:16:00-04,98,T01360,Casual,,,
598320,Closed,4216,2012-09-22 23:46:00-04,12,2012-09-23 00:56:00-04,46
598322,Closed,998,2012-09-22 23:48:00-04,46,2012-09-23 00:05:00-04,9,T01095,Registered,02446,1981,Male
598323,Closed,7412,2012-09-22 23:54:00-04,36,2012-09-23 01:57:00-04,36,T01296,Casual,,,
598324,Closed,7367,2012-09-22 23:54:00-04,36,2012-09-23 01:57:00-04,36
598325,Closed,549,2012-09-22 23:53:00-04,35,2012-09-23 00:02:00-04,4
598326,Closed,437,2012-09-22 23:54:00-04,94,2012-09-23 00:02:00-04,47
598329,Closed,780,2012-09-22 23:57:00-04,80,2012-09-23 00:10:00-04,47
598330,Closed,832,2012-09-22 23:59:00-04,45,2012-09-23 00:13:00-04,91
598331,Closed,438,2012-09-22 23:59:00-04,52,2012-09-23 00:07:00-04,58,T01276,Registered,02116,1964,Male
598332,Closed,595,2012-09-23 00:01:00-04,67,2012-09-23 00:10:00-04,76,T01272,Casual,,,
598333,Closed,579,2012-09-23 00:01:00-04,67,2012-09-23 00:10:00-04,76,T01323,Casual,,,
598334,Closed,367,2012-09-23 00:01:00-04,21,2012-09-23 00:07:00-04,57,T01135,Registered,02130,1982,Male
598335,Closed,344,2012-09-23 00:01:00-04,21,2012-09-23 00:07:00-04,57
598336,Closed,305,2012-09-23 00:02:00-04,36,2012-09-23 00:07:00-04,57
598337,Closed,1161,2012-09-23 00:06:00-04,47,2012-09-23 00:25:00-04,24
598338,Closed,1142,2012-09-23 00:06:00-04,47,2012-09-23 00:25:00-04,24
598340,Closed,362,2012-09-23 00:06:00-04,42,2012-09-23 00:12:00-04,60
598341,Closed,1116,2012-09-23 00:06:00-04,47,2012-09-23 00:25:00-04,24
598343,Closed,734,2012-09-23 00:07:00-04,75,2012-09-23 00:19:00-04,21
598344,Closed,1239,2012-09-23 00:08:00-04,74,2012-09-23 00:29:00-04,74
598345,Closed,642,2012-09-23 00:08:00-04,55,2012-09-23 00:19:00-04,72
598346,Closed,1244,2012-09-23 00:08:00-04,74,2012-09-23 00:29:00-04,74
598347,Closed,1059,2012-09-23 00:11:00-04,74,2012-09-23 00:28:00-04,74
598349,Closed,289,2012-09-23 00:11:00-04,49,2012-09-23 00:15:00-04,4,T01344,Casual,,,
598350,Closed,12,2012-09-23 00:12:00-04,47,2012-09-23 00:12:00-04,47
598351,Closed,530,2012-09-23 00:15:00-04,41,2012-09-23 00:24:00-04,69
598352,Closed,682,2012-09-23 00:18:00-04,53,2012-09-23 00:30:00-04,4,T01365,Registered,02215,1957,Male
598353,Closed,1142,2012-09-23 00:20:00-04,66,2012-09-23 00:39:00-04,42,T01022,Registered,02116,1991,Male
598354,Closed,1366,2012-09-23 00:20:00-04,50,2012-09-23 00:43:00-04,45,T01431,Casual,,,
598355,Closed,2200,2012-09-23 00:22:00-04,50,2012-09-23 00:58:00-04,69
598356,Closed,1003,2012-09-23 00:21:00-04,36,2012-09-23 00:38:00-04,75
598357,Closed,344,2012-09-23 00:22:00-04,75,2012-09-23 00:27:00-04,72
598358,Closed,1595,2012-09-23 00:22:00-04,50,2012-09-23 00:49:00-04,62
598359,Closed,672,2012-09-23 00:23:00-04,36,2012-09-23 00:34:00-04,75
598360,Closed,693,2012-09-23 00:23:00-04,75,2012-09-23 00:34:00-04,5,T01157,Casual,,,
598361,Closed,670,2012-09-23 00:23:00-04,36,2012-09-23 00:34:00-04,75
598362,Closed,154,2012-09-23 00:24:00-04,20,2012-09-23 00:26:00-04,47,T01131,Registered,02478,1984,Male
598363,Closed,400,2012-09-23 00:26:00-04,9,2012-09-23 00:33:00-04,66,T01295,Casual,,,
598364,Closed,392,2012-09-23 00:26:00-04,9,2012-09-23 00:32:00-04,66,T01095,Casual,,,
598365,Closed,613,2012-09-23 00:25:00-04,79,2012-09-23 00:35:00-04,80
598366,Closed,107,2012-09-23 00:25:00-04,32,2012-09-23 00:27:00-04,45
598367,Closed,1315,2012-09-23 00:28:00-04,10,2012-09-23 00:50:00-04,75,T01050,Casual,,,
598368,Closed,1419,2012-09-23 00:27:00-04,10,2012-09-23 00:51:00-04,75
598369,Closed,419,2012-09-23 00:27:00-04,5,2012-09-23 00:34:00-04,19
598370,Closed,1376,2012-09-23 00:29:00-04,24,2012-09-23 00:52:00-04,59
598371,Closed,1622,2012-09-23 00:29:00-04,95,2012-09-23 00:56:00-04,25
598372,Closed,1348,2012-09-23 00:29:00-04,24,2012-09-23 00:52:00-04,59
598373,Closed,1316,2012-09-23 00:29:00-04,24,2012-09-23 00:51:00-04,59
598375,Closed,445,2012-09-23 00:32:00-04,26,2012-09-23 00:39:00-04,25
598376,Closed,885,2012-09-23 00:33:00-04,66,2012-09-23 00:47:00-04,27,T01445,Registered,02119,1988,Male
598377,Closed,880,2012-09-23 00:33:00-04,9,2012-09-23 00:48:00-04,55,T01163,Casual,,,
598378,Closed,545,2012-09-23 00:33:00-04,53,2012-09-23 00:42:00-04,60
598379,Closed,370,2012-09-23 00:34:00-04,4,2012-09-23 00:40:00-04,39,T01344,Registered,02118,1982,Male
598380,Closed,361,2012-09-23 00:34:00-04,4,2012-09-23 00:40:00-04,39,T01206,Registered,02118,1985,Female
598381,Closed,214,2012-09-23 00:37:00-04,67,2012-09-23 00:40:00-04,53
598382,Closed,1169,2012-09-23 00:39:00-04,17,2012-09-23 00:58:00-04,52,T01377,Casual,,,
598383,Closed,95,2012-09-23 00:39:00-04,57,2012-09-23 00:41:00-04,46
598384,Closed,299,2012-09-23 00:39:00-04,53,2012-09-23 00:44:00-04,67
598385,Closed,1645,2012-09-23 00:47:00-04,24,2012-09-23 01:14:00-04,76
598386,Closed,480,2012-09-23 00:50:00-04,81,2012-09-23 00:58:00-04,36
598387,Closed,1638,2012-09-23 00:51:00-04,74,2012-09-23 01:18:00-04,27
598388,Closed,915,2012-09-23 00:51:00-04,34,2012-09-23 01:06:00-04,8,T01255,Casual,,,
598389,Closed,1159,2012-09-23 00:51:00-04,33,2012-09-23 01:11:00-04,89
598390,Closed,1152,2012-09-23 00:52:00-04,33,2012-09-23 01:11:00-04,89
598391,Closed,346,2012-09-23 00:51:00-04,53,2012-09-23 00:57:00-04,75
598392,Closed,718,2012-09-23 00:52:00-04,52,2012-09-23 01:04:00-04,68
598393,Closed,3470,2012-09-23 00:55:00-04,25,2012-09-23 01:53:00-04,18
598394,Closed,968,2012-09-23 00:57:00-04,75,2012-09-23 01:13:00-04,39
598396,Closed,1598,2012-09-23 01:01:00-04,68,2012-09-23 01:28:00-04,30,T01315,Registered,02120,,Male
598397,Closed,1518,2012-09-23 01:03:00-04,68,2012-09-23 01:28:00-04,30
598398,Closed,930,2012-09-23 01:03:00-04,39,2012-09-23 01:19:00-04,68,T01206,Casual,,,
598399,Closed,558,2012-09-23 01:03:00-04,19,2012-09-23 01:12:00-04,5
598400,Closed,802,2012-09-23 01:05:00-04,52,2012-09-23 01:18:00-04,60,T01377,Casual,,,
598401,Closed,803,2012-09-23 01:05:00-04,52,2012-09-23 01:18:00-04,60,T01133,Casual,,,
598402,Closed,534,2012-09-23 01:04:00-04,74,2012-09-23 01:13:00-04,95
598404,Closed,185,2012-09-23 01:06:00-04,53,2012-09-23 01:09:00-04,67
598405,Closed,895,2012-09-23 01:09:00-04,47,2012-09-23 01:24:00-04,6
598406,Closed,277,2012-09-23 01:08:00-04,40,2012-09-23 01:12:00-04,43,T01398,Registered,02110,1980,Female
598407,Closed,964,2012-09-23 01:08:00-04,59,2012-09-23 01:24:00-04,67,T01101,Registered,02139,1981,Male
598408,Closed,248,2012-09-23 01:08:00-04,40,2012-09-23 01:12:00-04,43
598409,Closed,325,2012-09-23 01:09:00-04,67,2012-09-23 01:14:00-04,91
598410,Closed,299,2012-09-23 01:09:00-04,67,2012-09-23 01:14:00-04,91
598411,Closed,657,2012-09-23 01:13:00-04,47,2012-09-23 01:24:00-04,6,T01015,Casual,,,
598412,Closed,710,2012-09-23 01:11:00-04,66,2012-09-23 01:23:00-04,14,T01295,Registered,02130,1988,Male
598413,Closed,382,2012-09-23 01:12:00-04,45,2012-09-23 01:18:00-04,5
598414,Closed,222,2012-09-23 01:13:00-04,87,2012-09-23 01:17:00-04,74
598415,Closed,454,2012-09-23 01:14:00-04,47,2012-09-23 01:22:00-04,94
598416,Closed,474,2012-09-23 01:14:00-04,47,2012-09-23 01:22:00-04,94
598417,Closed,540,2012-09-23 01:15:00-04,47,2012-09-23 01:24:00-04,6,T01131,Casual,,,
598420,Closed,293,2012-09-23 01:15:00-04,72,2012-09-23 01:20:00-04,60
598421,Closed,495,2012-09-23 01:15:00-04,47,2012-09-23 01:23:00-04,6
598422,Closed,657,2012-09-23 01:15:00-04,89,2012-09-23 01:26:00-04,68
