id,status,duration,start_date,start_station,end_date,end_station
602278,Closed,91584,2012-09-24 09:17:00-04,9,2012-09-25 10:43:00-04,41,T01106,Casual,,,
604634,Closed,40814,2012-09-24 20:25:00-04,22,2012-09-25 07:45:00-04,48
604872,Closed,426,2012-09-24 23:54:00-04,72,2012-09-25 00:02:00-04,88
604874,Closed,427,2012-09-24 23:55:00-04,72,2012-09-25 00:02:00-04,88
604876,Closed,624,2012-09-24 23:56:00-04,55,2012-09-25 00:06:00-04,49
604877,Closed,316,2012-09-24 23:59:00-04,57,2012-09-25 00:05:00-04,27,T01183,Registered,02115,1989,Male
604878,Closed,415,2012-09-25 00:00:00-04,36,2012-09-25 00:07:00-04,44,T01400,Registered,02113,1965,Male
604879,Closed,387,2012-09-25 00:07:00-04,60,2012-09-25 00:14:00-04,16,T01167,Registered,02118,1982,Male
604880,Closed,425,2012-09-25 00:08:00-04,16,2012-09-25 00:15:00-04,33,T01079,Casual,,,
604881,Closed,449,2012-09-25 00:08:00-04,6,2012-09-25 00:16:00-04,20
604882,Closed,131,2012-09-25 00:10:00-04,97,2012-09-25 00:12:00-04,87,T01448,Casual,,,
604883,Closed,578,2012-09-25 00:09:00-04,44,2012-09-25 00:19:00-04,90
604884,Closed,777,2012-09-25 00:13:00-04,21,2012-09-25 00:26:00-04,9,T01190,Registered,02446,1977,Female
604885,Closed,589,2012-09-25 00:21:00-04,13,2012-09-25 00:31:00-04,3
604886,Closed,499,2012-09-25 00:24:00-04,78,2012-09-25 00:32:00-04,96
604887,Closed,1649,2012-09-25 00:25:00-04,58,2012-09-25 00:53:00-04,3,T01036,Registered,02134,1991,Male
604888,Closed,422,2012-09-25 00:27:00-04,46,2012-09-25 00:34:00-04,32,T01178,Registered,02446,1986,Male
604891,Closed,355,2012-09-25 00:32:00-04,74,2012-09-25 00:38:00-04,68
604893,Closed,505,2012-09-25 00:37:00-04,19,2012-09-25 00:46:00-04,5,T01296,Registered,02115,1989,Male
604902,Closed,202,2012-09-25 00:53:00-04,53,2012-09-25 00:57:00-04,67
604904,Closed,179,2012-09-25 01:00:00-04,9,2012-09-25 01:03:00-04,19,T01276,Registered,02067,1956,Male
604907,Closed,691,2012-09-25 01:03:00-04,36,2012-09-25 01:15:00-04,72
604909,Closed,504,2012-09-25 01:26:00-04,75,2012-09-25 01:35:00-04,53,T01377,Registered,02215,1987,Male
604910,Closed,209,2012-09-25 01:32:00-04,67,2012-09-25 01:36:00-04,53
604911,Closed,332,2012-09-25 01:52:00-04,19,2012-09-25 01:58:00-04,55
604912,Closed,326,2012-09-25 02:01:00-04,53,2012-09-25 02:06:00-04,67
604913,Closed,1304,2012-09-25 02:40:00-04,53,2012-09-25 03:02:00-04,33,T01377,Casual,,,
604914,Closed,44274,2012-09-25 02:41:00-04,53,2012-09-25 14:58:00-04,33,T01439,Casual,,,
604915,Closed,867,2012-09-25 02:45:00-04,53,2012-09-25 03:00:00-04,33
604916,Closed,22691,2012-09-25 02:45:00-04,53,2012-09-25 09:03:00-04,33,T01432,Casual,,,
604917,Closed,758,2012-09-25 02:45:00-04,81,2012-09-25 02:58:00-04,51
604918,Closed,671,2012-09-25 02:49:00-04,53,2012-09-25 03:01:00-04,33
604919,Closed,136,2012-09-25 03:08:00-04,72,2012-09-25 03:10:00-04,80
604920,Closed,227,2012-09-25 03:16:00-04,45,2012-09-25 03:20:00-04,5,T01327,Registered,02115,1981,Male
604921,Closed,19,2012-09-25 03:21:00-04,67,2012-09-25 03:21:00-04,67
604922,Closed,268,2012-09-25 04:33:00-04,80,2012-09-25 04:37:00-04,68
604923,Closed,537,2012-09-25 04:48:00-04,4,2012-09-25 04:57:00-04,12
