id,status,duration,start_date,start_station,end_date,end_station
167039,Closed,326823,2012-03-23 18:44:00-04,39,2012-03-27 13:31:00-04,39
167421,Closed,234480,2012-03-24 01:13:00-04,49,2012-03-26 18:21:00-04,48
167426,Closed,154082,2012-03-24 01:17:00-04,33,2012-03-25 20:05:00-04,23
168063,Closed,69391,2012-03-24 15:40:00-04,48,2012-03-25 10:57:00-04,48
168149,Closed,83942,2012-03-24 16:15:00-04,22,2012-03-25 15:34:00-04,22
168435,Closed,166482,2012-03-24 18:46:00-04,7,2012-03-26 17:01:00-04,64
168459,Closed,83519,2012-03-24 19:12:00-04,32,2012-03-25 18:24:00-04,22
168468,Closed,83128,2012-03-24 19:18:00-04,32,2012-03-25 18:24:00-04,22
168537,Closed,65315,2012-03-24 20:48:00-04,21,2012-03-25 14:57:00-04,21
168597,Closed,3840,2012-03-24 23:01:00-04,47,2012-03-25 00:05:00-04,35
168603,Closed,3323,2012-03-24 23:09:00-04,47,2012-03-25 00:05:00-04,35
168604,Closed,3285,2012-03-24 23:10:00-04,47,2012-03-25 00:05:00-04,35
168609,Closed,2563,2012-03-24 23:20:00-04,33,2012-03-25 00:03:00-04,33
168610,Closed,2515,2012-03-24 23:21:00-04,33,2012-03-25 00:03:00-04,33
168628,Closed,53562,2012-03-24 23:43:00-04,23,2012-03-25 14:35:00-04,59
168630,Closed,8140,2012-03-24 23:43:00-04,23,2012-03-25 01:58:00-04,12
168636,Closed,1259,2012-03-24 23:58:00-04,20,2012-03-25 00:19:00-04,59
168637,Closed,1249,2012-03-24 23:58:00-04,20,2012-03-25 00:19:00-04,59
168638,Closed,639,2012-03-24 23:59:00-04,35,2012-03-25 00:10:00-04,47
168639,Closed,1135,2012-03-25 00:00:00-04,20,2012-03-25 00:19:00-04,59
168640,Closed,621,2012-03-25 00:03:00-04,6,2012-03-25 00:14:00-04,40
168641,Closed,619,2012-03-25 00:03:00-04,6,2012-03-25 00:14:00-04,40
168642,Closed,568,2012-03-25 00:05:00-04,48,2012-03-25 00:14:00-04,38
168643,Closed,386,2012-03-25 00:15:00-04,32,2012-03-25 00:21:00-04,33
168644,Closed,6123,2012-03-25 00:16:00-04,23,2012-03-25 01:58:00-04,12
168646,Closed,5986,2012-03-25 00:19:00-04,23,2012-03-25 01:59:00-04,12
168647,Closed,5961,2012-03-25 00:19:00-04,23,2012-03-25 01:58:00-04,12
168648,Closed,5769,2012-03-25 00:22:00-04,23,2012-03-25 01:58:00-04,12
168649,Closed,1546,2012-03-25 00:23:00-04,23,2012-03-25 00:49:00-04,46
168653,Closed,1407,2012-03-25 00:25:00-04,23,2012-03-25 00:49:00-04,46
168654,Closed,56391,2012-03-25 00:25:00-04,23,2012-03-25 16:05:00-04,46
168655,Closed,1255,2012-03-25 00:28:00-04,23,2012-03-25 00:49:00-04,46
168656,Closed,121979,2012-03-25 00:28:00-04,23,2012-03-26 10:21:00-04,4
168657,Closed,697,2012-03-25 00:27:00-04,34,2012-03-25 00:39:00-04,60
168658,Closed,354,2012-03-25 00:29:00-04,9,2012-03-25 00:35:00-04,33
168659,Closed,858,2012-03-25 00:43:00-04,6,2012-03-25 00:57:00-04,23
168660,Closed,1440,2012-03-25 00:44:00-04,38,2012-03-25 01:08:00-04,46
168661,Closed,283,2012-03-25 00:48:00-04,35,2012-03-25 00:52:00-04,24
168662,Closed,723,2012-03-25 00:50:00-04,42,2012-03-25 01:02:00-04,60
168665,Closed,542,2012-03-25 00:50:00-04,42,2012-03-25 00:59:00-04,36
168666,Closed,287,2012-03-25 00:53:00-04,16,2012-03-25 00:58:00-04,58
168667,Closed,1383,2012-03-25 01:07:00-04,58,2012-03-25 01:30:00-04,33
168668,Closed,1369,2012-03-25 01:07:00-04,58,2012-03-25 01:30:00-04,33
168675,Closed,578,2012-03-25 01:12:00-04,52,2012-03-25 01:22:00-04,39
168676,Closed,1803,2012-03-25 01:16:00-04,40,2012-03-25 01:46:00-04,47
168678,Closed,992,2012-03-25 01:17:00-04,42,2012-03-25 01:33:00-04,53
168679,Closed,580,2012-03-25 01:19:00-04,42,2012-03-25 01:28:00-04,53
168680,Closed,263,2012-03-25 01:18:00-04,36,2012-03-25 01:23:00-04,49
168681,Closed,1112,2012-03-25 01:20:00-04,41,2012-03-25 01:38:00-04,49
168682,Closed,1363,2012-03-25 01:23:00-04,40,2012-03-25 01:46:00-04,47
168683,Closed,77198,2012-03-25 01:23:00-04,60,2012-03-25 22:50:00-04,55
168687,Closed,394,2012-03-25 01:23:00-04,35,2012-03-25 01:30:00-04,60
168689,Closed,1317,2012-03-25 01:27:00-04,59,2012-03-25 01:49:00-04,10
168690,Closed,1418,2012-03-25 01:27:00-04,59,2012-03-25 01:51:00-04,10
168691,Closed,329,2012-03-25 01:29:00-04,4,2012-03-25 01:35:00-04,57
168692,Closed,1182,2012-03-25 01:37:00-04,49,2012-03-25 01:57:00-04,52
168693,Closed,374,2012-03-25 01:38:00-04,24,2012-03-25 01:44:00-04,40
168694,Closed,2307,2012-03-25 01:48:00-04,15,2012-03-25 02:26:00-04,53
168695,Closed,375,2012-03-25 01:57:00-04,6,2012-03-25 02:03:00-04,58
168696,Closed,457,2012-03-25 02:06:00-04,58,2012-03-25 02:16:00-04,55
168702,Closed,205,2012-03-25 02:31:00-04,41,2012-03-25 02:35:00-04,9
168703,Closed,519,2012-03-25 02:31:00-04,41,2012-03-25 02:40:00-04,33
168704,Closed,178,2012-03-25 02:31:00-04,9,2012-03-25 02:34:00-04,41
168705,Closed,887,2012-03-25 02:34:00-04,59,2012-03-25 02:49:00-04,57
168706,Closed,753,2012-03-25 02:37:00-04,59,2012-03-25 02:49:00-04,57
168707,Closed,1264,2012-03-25 02:38:00-04,9,2012-03-25 02:59:00-04,49
168708,Closed,1001,2012-03-25 02:39:00-04,36,2012-03-25 02:55:00-04,11
