id,status,duration,start_date,start_station,end_date,end_station
552356,Closed,475,2012-09-10 06:18:00-04,64,2012-09-10 06:26:00-04,60,T01136,Casual,,,
552357,Closed,378,2012-09-10 06:19:00-04,22,2012-09-10 06:25:00-04,40
552358,Closed,485,2012-09-10 06:19:00-04,38,2012-09-10 06:27:00-04,72
552359,Closed,433,2012-09-10 06:19:00-04,38,2012-09-10 06:26:00-04,42
552360,Closed,1223,2012-09-10 06:20:00-04,8,2012-09-10 06:41:00-04,54
552361,Closed,407,2012-09-10 06:22:00-04,58,2012-09-10 06:28:00-04,35
552362,Closed,321,2012-09-10 06:22:00-04,46,2012-09-10 06:27:00-04,13
552363,Closed,438,2012-09-10 06:25:00-04,61,2012-09-10 06:33:00-04,54
552364,Closed,364,2012-09-10 06:26:00-04,38,2012-09-10 06:32:00-04,64
552365,Closed,279,2012-09-10 06:26:00-04,38,2012-09-10 06:30:00-04,43,T01141,Registered,01852,1978,Male
552366,Closed,1265,2012-09-10 06:27:00-04,73,2012-09-10 06:48:00-04,36
552367,Closed,487,2012-09-10 06:26:00-04,55,2012-09-10 06:35:00-04,54
552368,Closed,967,2012-09-10 06:27:00-04,61,2012-09-10 06:43:00-04,43,T01298,Registered,02116,1946,Male
552369,Closed,687,2012-09-10 06:27:00-04,76,2012-09-10 06:39:00-04,46
552370,Closed,513,2012-09-10 06:28:00-04,46,2012-09-10 06:36:00-04,14,T01131,Registered,02115,1985,Female
552371,Closed,262,2012-09-10 06:30:00-04,45,2012-09-10 06:35:00-04,11,T01308,Registered,02215,1982,Male
552372,Closed,244,2012-09-10 06:30:00-04,38,2012-09-10 06:34:00-04,44
552373,Closed,409,2012-09-10 06:32:00-04,38,2012-09-10 06:38:00-04,64,T01322,Registered,01982,1976,Male
552374,Closed,564,2012-09-10 06:33:00-04,26,2012-09-10 06:42:00-04,60,T01071,Registered,02118,1980,Female
552375,Closed,796,2012-09-10 06:35:00-04,76,2012-09-10 06:48:00-04,36,T01134,Registered,02139,1987,Female
552376,Closed,541,2012-09-10 06:36:00-04,4,2012-09-10 06:45:00-04,48,T01331,Registered,02118,1974,Male
552377,Closed,393,2012-09-10 06:36:00-04,60,2012-09-10 06:42:00-04,36,T01136,Registered,02114,1987,Male
552378,Closed,608,2012-09-10 06:36:00-04,22,2012-09-10 06:46:00-04,60
552379,Closed,689,2012-09-10 06:37:00-04,66,2012-09-10 06:48:00-04,66
552380,Closed,400,2012-09-10 06:37:00-04,43,2012-09-10 06:44:00-04,65,T01079,Registered,02043,1968,Male
552381,Closed,194,2012-09-10 06:37:00-04,25,2012-09-10 06:41:00-04,16,T01208,Registered,02118,1987,Male
552382,Closed,1786,2012-09-10 06:38:00-04,33,2012-09-10 07:08:00-04,33
552383,Closed,382,2012-09-10 06:39:00-04,26,2012-09-10 06:45:00-04,50
552384,Closed,158,2012-09-10 06:39:00-04,25,2012-09-10 06:41:00-04,21
552385,Closed,478,2012-09-10 06:39:00-04,4,2012-09-10 06:47:00-04,23
552386,Closed,765,2012-09-10 06:40:00-04,79,2012-09-10 06:53:00-04,72
552387,Closed,786,2012-09-10 06:41:00-04,13,2012-09-10 06:54:00-04,14,T01326,Registered,02339,1971,Male
552388,Closed,616,2012-09-10 06:42:00-04,66,2012-09-10 06:52:00-04,10
552389,Closed,353,2012-09-10 06:44:00-04,58,2012-09-10 06:50:00-04,61
