id,status,duration,start_date,start_station,end_date,end_station
172646,Closed,1328278,2012-03-29 14:19:00-04,27,2012-04-13 23:17:00-04,62
175204,Closed,3428206,2012-03-31 18:47:00-04,42,2012-05-10 11:04:00-04,26
182152,Closed,309138,2012-04-05 18:12:00-04,22,2012-04-09 08:04:00-04,22
183087,Closed,130693,2012-04-06 12:21:00-04,45,2012-04-08 00:39:00-04,52
183596,Closed,1447384,2012-04-06 16:47:00-04,63,2012-04-23 10:50:00-04,63
184248,Closed,329275,2012-04-07 02:13:00-04,36,2012-04-10 21:41:00-04,27
184694,Closed,155848,2012-04-07 13:22:00-04,41,2012-04-09 08:39:00-04,9
185170,Closed,59439,2012-04-07 17:50:00-04,3,2012-04-08 10:21:00-04,22
185328,Closed,121326,2012-04-07 22:12:00-04,33,2012-04-09 07:54:00-04,44
185368,Closed,451,2012-04-07 23:54:00-04,55,2012-04-08 00:01:00-04,16
185370,Closed,946,2012-04-08 00:10:00-04,65,2012-04-08 00:26:00-04,4
185371,Closed,509,2012-04-08 00:12:00-04,22,2012-04-08 00:20:00-04,40
185372,Closed,472,2012-04-08 00:12:00-04,22,2012-04-08 00:20:00-04,40
185374,Closed,386,2012-04-08 00:18:00-04,43,2012-04-08 00:24:00-04,24
185375,Closed,236,2012-04-08 00:20:00-04,43,2012-04-08 00:24:00-04,24
185376,Closed,1041,2012-04-08 00:22:00-04,65,2012-04-08 00:39:00-04,52
185377,Closed,3652,2012-04-08 00:28:00-04,4,2012-04-08 01:29:00-04,16
185378,Closed,3639,2012-04-08 00:28:00-04,4,2012-04-08 01:29:00-04,16
185379,Closed,1546,2012-04-08 00:28:00-04,58,2012-04-08 00:54:00-04,58
185381,Closed,343,2012-04-08 00:32:00-04,8,2012-04-08 00:38:00-04,41
185382,Closed,690,2012-04-08 00:48:00-04,44,2012-04-08 00:59:00-04,58
185383,Closed,582,2012-04-08 00:50:00-04,44,2012-04-08 00:59:00-04,58
185384,Closed,226,2012-04-08 00:55:00-04,4,2012-04-08 00:59:00-04,25
185385,Closed,958,2012-04-08 00:58:00-04,38,2012-04-08 01:14:00-04,5
185386,Closed,7674,2012-04-08 01:01:00-04,5,2012-04-08 03:09:00-04,5
185387,Closed,625,2012-04-08 01:08:00-04,57,2012-04-08 01:18:00-04,27
185388,Closed,620,2012-04-08 01:08:00-04,57,2012-04-08 01:18:00-04,27
185390,Closed,419,2012-04-08 01:18:00-04,58,2012-04-08 01:25:00-04,53
185392,Closed,526,2012-04-08 01:29:00-04,55,2012-04-08 01:38:00-04,13
185393,Closed,495,2012-04-08 01:37:00-04,58,2012-04-08 01:45:00-04,57
185394,Closed,359,2012-04-08 01:37:00-04,36,2012-04-08 01:43:00-04,58
185395,Closed,355,2012-04-08 01:38:00-04,36,2012-04-08 01:43:00-04,58
185398,Closed,1135,2012-04-08 01:44:00-04,45,2012-04-08 02:03:00-04,63
185400,Closed,1019,2012-04-08 01:47:00-04,55,2012-04-08 02:04:00-04,41
185401,Closed,275,2012-04-08 01:50:00-04,44,2012-04-08 01:54:00-04,23
185402,Closed,843,2012-04-08 01:53:00-04,3,2012-04-08 02:07:00-04,12
185403,Closed,2418,2012-04-08 02:05:00-04,34,2012-04-08 02:46:00-04,34
185404,Closed,2357,2012-04-08 02:06:00-04,34,2012-04-08 02:46:00-04,34
185405,Closed,2278,2012-04-08 02:08:00-04,34,2012-04-08 02:46:00-04,34
185407,Closed,1399,2012-04-08 02:19:00-04,33,2012-04-08 02:42:00-04,33
185408,Closed,1089,2012-04-08 02:19:00-04,55,2012-04-08 02:38:00-04,18
185409,Closed,220,2012-04-08 02:20:00-04,46,2012-04-08 02:23:00-04,57
185410,Closed,719,2012-04-08 02:22:00-04,9,2012-04-08 02:34:00-04,55
185415,Closed,2013,2012-04-08 02:36:00-04,60,2012-04-08 03:09:00-04,60
185420,Closed,550,2012-04-08 02:34:00-04,53,2012-04-08 02:43:00-04,39
185421,Closed,1807,2012-04-08 02:39:00-04,60,2012-04-08 03:09:00-04,60
185423,Closed,632,2012-04-08 02:54:00-04,42,2012-04-08 03:04:00-04,5
185424,Closed,254,2012-04-08 03:10:00-04,41,2012-04-08 03:14:00-04,8
185425,Closed,907,2012-04-08 03:19:00-04,4,2012-04-08 03:35:00-04,38
185428,Closed,121,2012-04-08 03:41:00-04,46,2012-04-08 03:43:00-04,55
185429,Closed,172,2012-04-08 04:30:00-04,9,2012-04-08 04:33:00-04,41
185430,Closed,148,2012-04-08 06:16:00-04,3,2012-04-08 06:18:00-04,11
185431,Closed,185,2012-04-08 06:38:00-04,22,2012-04-08 06:41:00-04,59
185432,Closed,1173,2012-04-08 06:54:00-04,18,2012-04-08 07:14:00-04,46
185433,Closed,696,2012-04-08 06:55:00-04,4,2012-04-08 07:06:00-04,65
185436,Closed,279,2012-04-08 07:14:00-04,45,2012-04-08 07:18:00-04,11
185437,Closed,967,2012-04-08 07:17:00-04,60,2012-04-08 07:33:00-04,32
185438,Closed,900,2012-04-08 07:18:00-04,60,2012-04-08 07:33:00-04,32
185439,Closed,449,2012-04-08 07:28:00-04,36,2012-04-08 07:35:00-04,35
185440,Closed,967,2012-04-08 07:32:00-04,54,2012-04-08 07:48:00-04,14
185441,Closed,431,2012-04-08 07:35:00-04,25,2012-04-08 07:42:00-04,53
185442,Closed,447,2012-04-08 07:45:00-04,57,2012-04-08 07:52:00-04,14
185445,Closed,296,2012-04-08 07:48:00-04,25,2012-04-08 07:53:00-04,26
185446,Closed,264,2012-04-08 07:49:00-04,25,2012-04-08 07:53:00-04,26
185448,Closed,320,2012-04-08 08:02:00-04,40,2012-04-08 08:08:00-04,35
185449,Closed,298,2012-04-08 08:12:00-04,57,2012-04-08 08:17:00-04,21
185450,Closed,861,2012-04-08 08:15:00-04,41,2012-04-08 08:29:00-04,52
185451,Closed,431,2012-04-08 08:17:00-04,53,2012-04-08 08:24:00-04,25
185452,Closed,414,2012-04-08 08:34:00-04,52,2012-04-08 08:41:00-04,51
185453,Closed,1553,2012-04-08 08:35:00-04,40,2012-04-08 09:01:00-04,38
185454,Closed,642,2012-04-08 08:38:00-04,14,2012-04-08 08:48:00-04,25
185455,Closed,2297,2012-04-08 08:40:00-04,36,2012-04-08 09:18:00-04,36
185456,Closed,2314,2012-04-08 08:39:00-04,36,2012-04-08 09:18:00-04,36
185457,Closed,641,2012-04-08 08:40:00-04,27,2012-04-08 08:51:00-04,50
185458,Closed,1255,2012-04-08 08:41:00-04,58,2012-04-08 09:02:00-04,58
185460,Closed,117,2012-04-08 08:43:00-04,51,2012-04-08 08:45:00-04,39
185462,Closed,2814,2012-04-08 08:46:00-04,53,2012-04-08 09:33:00-04,60
185463,Closed,518,2012-04-08 08:46:00-04,53,2012-04-08 08:55:00-04,9
185464,Closed,728,2012-04-08 08:54:00-04,58,2012-04-08 09:07:00-04,10
185465,Closed,427,2012-04-08 08:56:00-04,11,2012-04-08 09:03:00-04,5
185466,Closed,239,2012-04-08 08:58:00-04,57,2012-04-08 09:02:00-04,39
185467,Closed,308,2012-04-08 08:59:00-04,32,2012-04-08 09:04:00-04,12
185468,Closed,590,2012-04-08 08:59:00-04,40,2012-04-08 09:09:00-04,64
185469,Closed,393,2012-04-08 08:59:00-04,20,2012-04-08 09:06:00-04,64
185470,Closed,385,2012-04-08 09:00:00-04,20,2012-04-08 09:06:00-04,64
185471,Closed,603,2012-04-08 09:00:00-04,26,2012-04-08 09:10:00-04,25
185472,Closed,598,2012-04-08 09:00:00-04,26,2012-04-08 09:10:00-04,25
185473,Closed,224,2012-04-08 09:04:00-04,3,2012-04-08 09:07:00-04,12
185474,Closed,129,2012-04-08 09:09:00-04,55,2012-04-08 09:11:00-04,21
185475,Closed,914,2012-04-08 09:17:00-04,4,2012-04-08 09:32:00-04,38
185476,Closed,1549,2012-04-08 09:19:00-04,17,2012-04-08 09:45:00-04,10
185477,Closed,615,2012-04-08 09:19:00-04,39,2012-04-08 09:30:00-04,22
185478,Closed,616,2012-04-08 09:20:00-04,24,2012-04-08 09:30:00-04,44
185479,Closed,788,2012-04-08 09:27:00-04,16,2012-04-08 09:40:00-04,33
185480,Closed,833,2012-04-08 09:28:00-04,57,2012-04-08 09:42:00-04,43
185481,Closed,6355,2012-04-08 09:30:00-04,4,2012-04-08 11:16:00-04,4
185482,Closed,6361,2012-04-08 09:30:00-04,4,2012-04-08 11:16:00-04,4
185483,Closed,1145,2012-04-08 09:33:00-04,13,2012-04-08 09:52:00-04,65
185484,Closed,61,2012-04-08 09:35:00-04,58,2012-04-08 09:36:00-04,58
185485,Closed,391,2012-04-08 09:35:00-04,32,2012-04-08 09:42:00-04,55
185486,Closed,1019,2012-04-08 09:40:00-04,25,2012-04-08 09:57:00-04,38
185487,Closed,358,2012-04-08 09:41:00-04,53,2012-04-08 09:47:00-04,32
185488,Closed,7221,2012-04-08 09:43:00-04,33,2012-04-08 11:43:00-04,33
185489,Closed,316,2012-04-08 09:49:00-04,53,2012-04-08 09:54:00-04,36
185490,Closed,281,2012-04-08 09:57:00-04,58,2012-04-08 10:01:00-04,4
185491,Closed,270,2012-04-08 09:57:00-04,58,2012-04-08 10:01:00-04,4
185492,Closed,109,2012-04-08 09:57:00-04,49,2012-04-08 09:59:00-04,42
185493,Closed,364,2012-04-08 09:59:00-04,25,2012-04-08 10:05:00-04,46
185494,Closed,363,2012-04-08 09:59:00-04,25,2012-04-08 10:05:00-04,46
185495,Closed,1178,2012-04-08 10:00:00-04,38,2012-04-08 10:20:00-04,52
