id,status,duration,start_date,start_station,end_date,end_station
589075,Closed,101557,2012-09-20 11:06:00-04,87,2012-09-21 15:19:00-04,70
589361,Closed,68449,2012-09-20 12:56:00-04,9,2012-09-21 07:57:00-04,10
589644,Closed,351152,2012-09-20 14:28:00-04,22,2012-09-24 16:01:00-04,
590733,Closed,51934,2012-09-20 18:26:00-04,36,2012-09-21 08:51:00-04,36
591429,Closed,33822,2012-09-20 22:49:00-04,43,2012-09-21 08:13:00-04,36,T01193,Casual,,,
591488,Closed,887,2012-09-20 23:50:00-04,33,2012-09-21 00:05:00-04,79,T01156,Registered,02143,1985,Male
591489,Closed,579,2012-09-20 23:52:00-04,24,2012-09-21 00:02:00-04,47,T01136,Casual,,,
591490,Closed,1935,2012-09-20 23:53:00-04,59,2012-09-21 00:25:00-04,78
591491,Closed,544,2012-09-20 23:52:00-04,24,2012-09-21 00:02:00-04,47
591494,Closed,670,2012-09-20 23:54:00-04,10,2012-09-21 00:06:00-04,53
591495,Closed,578,2012-09-20 23:56:00-04,44,2012-09-21 00:06:00-04,49,T01132,Casual,,,
591496,Closed,379,2012-09-20 23:59:00-04,55,2012-09-21 00:06:00-04,45
591497,Closed,275,2012-09-21 00:00:00-04,64,2012-09-21 00:04:00-04,20
591498,Closed,826,2012-09-21 00:00:00-04,9,2012-09-21 00:14:00-04,91
591499,Closed,369,2012-09-21 00:00:00-04,54,2012-09-21 00:06:00-04,47
591500,Closed,278,2012-09-21 00:01:00-04,12,2012-09-21 00:05:00-04,5
591501,Closed,313,2012-09-21 00:01:00-04,14,2012-09-21 00:07:00-04,12
591502,Closed,166,2012-09-21 00:03:00-04,42,2012-09-21 00:05:00-04,58
591503,Closed,414,2012-09-21 00:04:00-04,59,2012-09-21 00:11:00-04,4,T01387,Registered,02116,1976,Male
591504,Closed,606,2012-09-21 00:08:00-04,14,2012-09-21 00:19:00-04,13
591506,Closed,466,2012-09-21 00:10:00-04,75,2012-09-21 00:17:00-04,96
591508,Closed,209,2012-09-21 00:14:00-04,53,2012-09-21 00:17:00-04,67
591510,Closed,208,2012-09-21 00:15:00-04,67,2012-09-21 00:19:00-04,75
591511,Closed,578,2012-09-21 00:17:00-04,36,2012-09-21 00:27:00-04,33
591513,Closed,293,2012-09-21 00:22:00-04,67,2012-09-21 00:27:00-04,52
591514,Closed,658,2012-09-21 00:23:00-04,33,2012-09-21 00:34:00-04,68
591515,Closed,916,2012-09-21 00:26:00-04,16,2012-09-21 00:42:00-04,69
591516,Closed,265,2012-09-21 00:29:00-04,53,2012-09-21 00:34:00-04,67
591517,Closed,312,2012-09-21 00:32:00-04,26,2012-09-21 00:37:00-04,36
591518,Closed,409,2012-09-21 00:32:00-04,27,2012-09-21 00:39:00-04,5
591519,Closed,458,2012-09-21 00:33:00-04,41,2012-09-21 00:40:00-04,19
591520,Closed,201,2012-09-21 00:34:00-04,61,2012-09-21 00:37:00-04,55
591521,Closed,845,2012-09-21 00:38:00-04,44,2012-09-21 00:52:00-04,19
591522,Closed,651,2012-09-21 00:39:00-04,60,2012-09-21 00:50:00-04,57
591525,Closed,462,2012-09-21 00:41:00-04,68,2012-09-21 00:49:00-04,88
591526,Closed,1094,2012-09-21 00:50:00-04,55,2012-09-21 01:08:00-04,18,T01273,Registered,02134,1985,Male
591527,Closed,805,2012-09-21 00:52:00-04,75,2012-09-21 01:05:00-04,72,T01035,Casual,,,
591528,Closed,801,2012-09-21 00:52:00-04,75,2012-09-21 01:05:00-04,72
591529,Closed,179,2012-09-21 00:51:00-04,36,2012-09-21 00:54:00-04,21
591530,Closed,494,2012-09-21 00:51:00-04,55,2012-09-21 00:59:00-04,19
591531,Closed,848,2012-09-21 00:51:00-04,91,2012-09-21 01:05:00-04,26
591532,Closed,864,2012-09-21 00:54:00-04,54,2012-09-21 01:08:00-04,27,T01251,Registered,02119,1957,Male
591533,Closed,415,2012-09-21 01:01:00-04,96,2012-09-21 01:08:00-04,68,T01078,Registered,02139,1982,Male
591535,Closed,241,2012-09-21 01:17:00-04,67,2012-09-21 01:21:00-04,53
591536,Closed,523,2012-09-21 01:20:00-04,61,2012-09-21 01:28:00-04,60
591537,Closed,1396,2012-09-21 01:25:00-04,26,2012-09-21 01:48:00-04,18
591538,Closed,407,2012-09-21 01:26:00-04,68,2012-09-21 01:32:00-04,88,T01078,Registered,02143,1989,Male
591539,Closed,366,2012-09-21 01:28:00-04,95,2012-09-21 01:34:00-04,88
591540,Closed,1642,2012-09-21 01:30:00-04,53,2012-09-21 01:57:00-04,71
591541,Closed,438,2012-09-21 01:47:00-04,21,2012-09-21 01:54:00-04,4,T01340,Casual,,,
591543,Closed,437,2012-09-21 02:07:00-04,67,2012-09-21 02:15:00-04,61
591544,Closed,1010,2012-09-21 02:12:00-04,38,2012-09-21 02:29:00-04,65
591546,Closed,1705,2012-09-21 02:10:00-04,55,2012-09-21 02:38:00-04,55
591547,Closed,811,2012-09-21 02:21:00-04,20,2012-09-21 02:34:00-04,61
591548,Closed,723,2012-09-21 02:24:00-04,61,2012-09-21 02:36:00-04,26
591550,Closed,2145,2012-09-21 02:43:00-04,13,2012-09-21 03:19:00-04,13
591551,Closed,772,2012-09-21 02:46:00-04,21,2012-09-21 02:59:00-04,30
591552,Closed,778,2012-09-21 02:46:00-04,21,2012-09-21 02:59:00-04,30,T01122,Casual,,,
591553,Closed,586,2012-09-21 02:52:00-04,19,2012-09-21 03:02:00-04,46
591554,Closed,591,2012-09-21 02:52:00-04,19,2012-09-21 03:02:00-04,46
591555,Closed,417,2012-09-21 03:03:00-04,14,2012-09-21 03:10:00-04,69
591556,Closed,653,2012-09-21 03:05:00-04,45,2012-09-21 03:16:00-04,39
591557,Closed,1423,2012-09-21 03:21:00-04,13,2012-09-21 03:45:00-04,72
591558,Closed,600,2012-09-21 03:25:00-04,45,2012-09-21 03:35:00-04,58
591559,Closed,1068,2012-09-21 04:00:00-04,96,2012-09-21 04:18:00-04,36
591560,Closed,411,2012-09-21 04:22:00-04,71,2012-09-21 04:28:00-04,74,T01138,Casual,,,
591561,Closed,1338,2012-09-21 04:31:00-04,66,2012-09-21 04:54:00-04,23
591562,Closed,1753,2012-09-21 05:12:00-04,9,2012-09-21 05:41:00-04,45
591563,Closed,473,2012-09-21 05:21:00-04,57,2012-09-21 05:29:00-04,30
591564,Closed,161,2012-09-21 05:21:00-04,3,2012-09-21 05:24:00-04,11
591565,Closed,183,2012-09-21 05:28:00-04,25,2012-09-21 05:31:00-04,16
591566,Closed,56,2012-09-21 05:31:00-04,26,2012-09-21 05:32:00-04,26,T01266,Registered,02118,1982,Male
591567,Closed,172,2012-09-21 05:33:00-04,44,2012-09-21 05:36:00-04,20,T01257,Registered,02148,1965,Male
591568,Closed,493,2012-09-21 05:30:00-04,98,2012-09-21 05:38:00-04,40,T01388,Registered,02129,1990,Male
591569,Closed,507,2012-09-21 05:37:00-04,22,2012-09-21 05:46:00-04,50,T01099,Registered,02537,1956,Male
591570,Closed,578,2012-09-21 05:40:00-04,26,2012-09-21 05:49:00-04,54
591571,Closed,1801,2012-09-21 05:42:00-04,40,2012-09-21 06:12:00-04,69
591572,Closed,1812,2012-09-21 05:42:00-04,40,2012-09-21 06:12:00-04,69
591573,Closed,379,2012-09-21 05:46:00-04,11,2012-09-21 05:53:00-04,34
591574,Closed,561,2012-09-21 05:47:00-04,75,2012-09-21 05:56:00-04,84
591575,Closed,105,2012-09-21 05:51:00-04,23,2012-09-21 05:53:00-04,48
591576,Closed,347,2012-09-21 05:51:00-04,58,2012-09-21 05:57:00-04,61
591577,Closed,357,2012-09-21 05:52:00-04,20,2012-09-21 05:58:00-04,22,T01257,Registered,02128,1985,Male
591578,Closed,225,2012-09-21 05:54:00-04,58,2012-09-21 05:58:00-04,36,T01208,Registered,02108,1983,Female
591579,Closed,367,2012-09-21 05:58:00-04,39,2012-09-21 06:04:00-04,16
591580,Closed,317,2012-09-21 05:59:00-04,57,2012-09-21 06:04:00-04,16
591581,Closed,418,2012-09-21 06:01:00-04,47,2012-09-21 06:08:00-04,22,T01136,Registered,02113,1985,Male
591582,Closed,309,2012-09-21 06:03:00-04,69,2012-09-21 06:08:00-04,19
591583,Closed,400,2012-09-21 06:07:00-04,58,2012-09-21 06:13:00-04,48,T01305,Registered,02116,1986,Male
591584,Closed,246,2012-09-21 06:08:00-04,6,2012-09-21 06:12:00-04,47,T01152,Registered,02114,1985,Male
591585,Closed,444,2012-09-21 06:09:00-04,60,2012-09-21 06:16:00-04,36
591586,Closed,683,2012-09-21 06:09:00-04,21,2012-09-21 06:21:00-04,35
591587,Closed,688,2012-09-21 06:10:00-04,21,2012-09-21 06:21:00-04,35,T01146,Registered,02116,1988,Female
591588,Closed,320,2012-09-21 06:11:00-04,4,2012-09-21 06:16:00-04,22,T01125,Registered,02118,1977,Male
591589,Closed,991,2012-09-21 06:12:00-04,62,2012-09-21 06:28:00-04,60
591590,Closed,839,2012-09-21 06:12:00-04,25,2012-09-21 06:26:00-04,14
591591,Closed,357,2012-09-21 06:15:00-04,60,2012-09-21 06:21:00-04,48
591592,Closed,387,2012-09-21 06:16:00-04,38,2012-09-21 06:23:00-04,48
591593,Closed,858,2012-09-21 06:17:00-04,38,2012-09-21 06:31:00-04,64
591594,Closed,335,2012-09-21 06:17:00-04,22,2012-09-21 06:23:00-04,40
591595,Closed,159,2012-09-21 06:18:00-04,22,2012-09-21 06:20:00-04,35,T01257,Registered,02136,1988,Male
591596,Closed,846,2012-09-21 06:20:00-04,85,2012-09-21 06:34:00-04,54
591597,Closed,365,2012-09-21 06:21:00-04,58,2012-09-21 06:27:00-04,61,T01439,Registered,02108,1983,Male
591598,Closed,264,2012-09-21 06:24:00-04,6,2012-09-21 06:28:00-04,48,T01405,Registered,02114,1989,Male
591599,Closed,1340,2012-09-21 06:25:00-04,38,2012-09-21 06:47:00-04,14,T01080,Registered,02113,1985,Male
591600,Closed,370,2012-09-21 06:26:00-04,38,2012-09-21 06:32:00-04,64
591601,Closed,297,2012-09-21 06:26:00-04,38,2012-09-21 06:31:00-04,43,T01049,Registered,01852,1978,Male
591602,Closed,294,2012-09-21 06:29:00-04,38,2012-09-21 06:34:00-04,43
591603,Closed,436,2012-09-21 06:29:00-04,38,2012-09-21 06:36:00-04,22
591604,Closed,419,2012-09-21 06:29:00-04,38,2012-09-21 06:36:00-04,64,T01277,Registered,01982,1976,Male
591605,Closed,344,2012-09-21 06:31:00-04,58,2012-09-21 06:37:00-04,52
591606,Closed,471,2012-09-21 06:32:00-04,98,2012-09-21 06:40:00-04,35
591607,Closed,240,2012-09-21 06:33:00-04,47,2012-09-21 06:37:00-04,6,T01152,Registered,02114,1985,Male
591608,Closed,662,2012-09-21 06:34:00-04,5,2012-09-21 06:45:00-04,10
591609,Closed,261,2012-09-21 06:34:00-04,40,2012-09-21 06:39:00-04,48
591610,Closed,965,2012-09-21 06:35:00-04,22,2012-09-21 06:51:00-04,55,T01136,Registered,02382,1965,Male
591611,Closed,148,2012-09-21 06:35:00-04,45,2012-09-21 06:37:00-04,32
591612,Closed,250,2012-09-21 06:36:00-04,18,2012-09-21 06:40:00-04,17
591613,Closed,439,2012-09-21 06:35:00-04,40,2012-09-21 06:43:00-04,81,T01261,Registered,02113,1989,Female
591614,Closed,176,2012-09-21 06:36:00-04,43,2012-09-21 06:39:00-04,22
591615,Closed,893,2012-09-21 06:36:00-04,61,2012-09-21 06:51:00-04,43
591616,Closed,450,2012-09-21 06:37:00-04,43,2012-09-21 06:44:00-04,42,T01408,Registered,02332,1971,Male
591617,Closed,551,2012-09-21 06:37:00-04,39,2012-09-21 06:46:00-04,12,T01159,Registered,02118,1978,Female
591618,Closed,604,2012-09-21 06:37:00-04,54,2012-09-21 06:48:00-04,26
591619,Closed,829,2012-09-21 06:40:00-04,30,2012-09-21 06:54:00-04,9,T01122,Registered,02115,1989,Female
591620,Closed,681,2012-09-21 06:40:00-04,47,2012-09-21 06:51:00-04,50,T01161,Registered,02114,1987,Female
591621,Closed,193,2012-09-21 06:41:00-04,62,2012-09-21 06:44:00-04,14
591622,Closed,625,2012-09-21 06:42:00-04,20,2012-09-21 06:52:00-04,84
591623,Closed,264,2012-09-21 06:43:00-04,87,2012-09-21 06:48:00-04,74
591624,Closed,755,2012-09-21 06:44:00-04,20,2012-09-21 06:56:00-04,84,T01312,Registered,02045,1980,Male
591625,Closed,384,2012-09-21 06:44:00-04,49,2012-09-21 06:50:00-04,48,T01132,Registered,02116,1986,Male
591627,Closed,1713,2012-09-21 06:44:00-04,33,2012-09-21 07:13:00-04,33
591628,Closed,233,2012-09-21 06:45:00-04,22,2012-09-21 06:48:00-04,43,T01125,Registered,01760,1974,Female
591629,Closed,717,2012-09-21 06:45:00-04,16,2012-09-21 06:56:00-04,22
591630,Closed,913,2012-09-21 06:45:00-04,16,2012-09-21 07:00:00-04,80,T01367,Registered,02110,1964,Male
591631,Closed,553,2012-09-21 06:46:00-04,33,2012-09-21 06:55:00-04,80
591632,Closed,246,2012-09-21 06:47:00-04,64,2012-09-21 06:51:00-04,35,T01277,Registered,02127,1974,Male
591633,Closed,552,2012-09-21 06:48:00-04,39,2012-09-21 06:57:00-04,48,T01311,Registered,02118,1977,Male
591634,Closed,1012,2012-09-21 06:49:00-04,19,2012-09-21 07:06:00-04,13
591635,Closed,291,2012-09-21 06:51:00-04,25,2012-09-21 06:56:00-04,50
591636,Closed,400,2012-09-21 06:51:00-04,38,2012-09-21 06:58:00-04,64
591637,Closed,406,2012-09-21 06:53:00-04,38,2012-09-21 07:00:00-04,43,T01348,Casual,,,
591638,Closed,1110,2012-09-21 06:53:00-04,38,2012-09-21 07:11:00-04,3
591639,Closed,719,2012-09-21 06:53:00-04,4,2012-09-21 07:05:00-04,40
591640,Closed,378,2012-09-21 06:54:00-04,46,2012-09-21 07:00:00-04,13
591641,Closed,444,2012-09-21 06:54:00-04,60,2012-09-21 07:02:00-04,36
591642,Closed,597,2012-09-21 06:54:00-04,38,2012-09-21 07:04:00-04,64
591643,Closed,746,2012-09-21 06:54:00-04,68,2012-09-21 07:07:00-04,5
591644,Closed,255,2012-09-21 06:54:00-04,38,2012-09-21 06:58:00-04,44
591645,Closed,1291,2012-09-21 06:56:00-04,69,2012-09-21 07:18:00-04,13
591646,Closed,728,2012-09-21 06:57:00-04,77,2012-09-21 07:09:00-04,80,T01254,Registered,02143,1966,Male
591647,Closed,354,2012-09-21 06:58:00-04,4,2012-09-21 07:04:00-04,22,T01387,Registered,02118,1982,Male
591648,Closed,624,2012-09-21 06:58:00-04,55,2012-09-21 07:09:00-04,13
591649,Closed,1175,2012-09-21 06:59:00-04,38,2012-09-21 07:18:00-04,91,T01106,Registered,01915,1953,Male
591650,Closed,540,2012-09-21 06:59:00-04,58,2012-09-21 07:08:00-04,48,T01094,Registered,02116,1986,Male
591651,Closed,507,2012-09-21 06:59:00-04,22,2012-09-21 07:08:00-04,42
591652,Closed,369,2012-09-21 07:00:00-04,58,2012-09-21 07:06:00-04,35
591653,Closed,683,2012-09-21 07:00:00-04,47,2012-09-21 07:11:00-04,31,T01007,Registered,02113,1986,Male
591654,Closed,416,2012-09-21 07:00:00-04,22,2012-09-21 07:07:00-04,54,T01137,Registered,02368,1953,Male
591656,Closed,371,2012-09-21 07:01:00-04,69,2012-09-21 07:07:00-04,11
591657,Closed,1088,2012-09-21 07:02:00-04,96,2012-09-21 07:20:00-04,46
591658,Closed,582,2012-09-21 07:03:00-04,40,2012-09-21 07:13:00-04,31
591659,Closed,432,2012-09-21 07:04:00-04,6,2012-09-21 07:11:00-04,84,T01364,Registered,02108,1986,Male
591660,Closed,423,2012-09-21 07:04:00-04,98,2012-09-21 07:11:00-04,38
591661,Closed,311,2012-09-21 07:05:00-04,64,2012-09-21 07:10:00-04,48
591662,Closed,347,2012-09-21 07:05:00-04,26,2012-09-21 07:11:00-04,50
591663,Closed,849,2012-09-21 07:05:00-04,46,2012-09-21 07:19:00-04,84
591664,Closed,697,2012-09-21 07:07:00-04,60,2012-09-21 07:18:00-04,16,T01071,Casual,,,
591665,Closed,429,2012-09-21 07:06:00-04,69,2012-09-21 07:14:00-04,11
591666,Closed,646,2012-09-21 07:07:00-04,39,2012-09-21 07:18:00-04,48
591668,Closed,559,2012-09-21 07:08:00-04,36,2012-09-21 07:18:00-04,48,T01208,Registered,02116,1987,Male
591669,Closed,246,2012-09-21 07:08:00-04,80,2012-09-21 07:13:00-04,67,T01367,Casual,,,
591671,Closed,949,2012-09-21 07:09:00-04,34,2012-09-21 07:25:00-04,23
591673,Closed,147,2012-09-21 07:09:00-04,81,2012-09-21 07:12:00-04,22,T01296,Registered,02116,1989,Male
591674,Closed,280,2012-09-21 07:09:00-04,38,2012-09-21 07:14:00-04,43
591675,Closed,406,2012-09-21 07:10:00-04,38,2012-09-21 07:17:00-04,35
591676,Closed,393,2012-09-21 07:11:00-04,38,2012-09-21 07:17:00-04,48
591677,Closed,719,2012-09-21 07:11:00-04,13,2012-09-21 07:23:00-04,30
