id,status,duration,start_date,start_station,end_date,end_station
501278,Closed,35681,2012-08-24 14:58:00-04,61,2012-08-25 00:53:00-04,6
502775,Closed,120577,2012-08-24 21:02:00-04,73,2012-08-26 06:32:00-04,73
502966,Closed,7111,2012-08-24 22:24:00-04,36,2012-08-25 00:23:00-04,36
502968,Closed,7059,2012-08-24 22:25:00-04,36,2012-08-25 00:23:00-04,36,T01160,Casual,,,
502972,Closed,6924,2012-08-24 22:27:00-04,36,2012-08-25 00:23:00-04,36
503068,Closed,3352,2012-08-24 23:33:00-04,16,2012-08-25 00:29:00-04,32,T01079,Registered,02111,1972,Male
503072,Closed,2274,2012-08-24 23:35:00-04,34,2012-08-25 00:13:00-04,69,T01190,Registered,02114,1984,Male
503075,Closed,1281,2012-08-24 23:44:00-04,26,2012-08-25 00:05:00-04,53,T01149,Casual,,,
503079,Closed,1201,2012-08-24 23:46:00-04,26,2012-08-25 00:06:00-04,53,T01021,Casual,,,
503080,Closed,1144,2012-08-24 23:46:00-04,26,2012-08-25 00:06:00-04,53
503081,Closed,883,2012-08-24 23:47:00-04,45,2012-08-25 00:02:00-04,52
503082,Closed,2820,2012-08-24 23:48:00-04,60,2012-08-25 00:35:00-04,86
503084,Closed,880,2012-08-24 23:47:00-04,45,2012-08-25 00:02:00-04,52
503085,Closed,2804,2012-08-24 23:48:00-04,60,2012-08-25 00:35:00-04,86
503087,Closed,3316,2012-08-24 23:49:00-04,41,2012-08-25 00:45:00-04,8,T01219,Registered,02141,1985,Male
503090,Closed,1459,2012-08-24 23:51:00-04,24,2012-08-25 00:16:00-04,7
503091,Closed,690,2012-08-24 23:54:00-04,42,2012-08-25 00:06:00-04,39,T01233,Casual,,,
503092,Closed,826,2012-08-24 23:56:00-04,14,2012-08-25 00:10:00-04,67,T01074,Casual,,,
503093,Closed,1174,2012-08-24 23:59:00-04,53,2012-08-25 00:18:00-04,24,T01448,Casual,,,
503094,Closed,863,2012-08-25 00:00:00-04,43,2012-08-25 00:15:00-04,61
503095,Closed,403,2012-08-25 00:03:00-04,74,2012-08-25 00:09:00-04,68
503097,Closed,49772,2012-08-25 00:04:00-04,79,2012-08-25 13:54:00-04,70
503098,Closed,315,2012-08-25 00:06:00-04,41,2012-08-25 00:11:00-04,19
503099,Closed,594,2012-08-25 00:06:00-04,20,2012-08-25 00:16:00-04,7
503100,Closed,992,2012-08-25 00:09:00-04,73,2012-08-25 00:26:00-04,66,T01178,Registered,02134,1985,Male
503101,Closed,409,2012-08-25 00:12:00-04,30,2012-08-25 00:19:00-04,45,T01122,Casual,,,
503103,Closed,362,2012-08-25 00:13:00-04,26,2012-08-25 00:19:00-04,21,T01364,Casual,,,
503104,Closed,703,2012-08-25 00:16:00-04,10,2012-08-25 00:28:00-04,82
503105,Closed,663,2012-08-25 00:17:00-04,74,2012-08-25 00:28:00-04,79
503106,Closed,777,2012-08-25 00:20:00-04,23,2012-08-25 00:33:00-04,21
503107,Closed,1355,2012-08-25 00:21:00-04,23,2012-08-25 00:43:00-04,61
503108,Closed,1269,2012-08-25 00:21:00-04,23,2012-08-25 00:43:00-04,61
