id,status,duration,start_date,start_station,end_date,end_station
537923,Closed,434698,2012-09-05 12:38:00-04,31,2012-09-10 13:23:00-04,
539756,Closed,1393,2012-09-05 23:38:00-04,3,2012-09-06 00:01:00-04,37
539763,Closed,1403,2012-09-05 23:44:00-04,44,2012-09-06 00:08:00-04,36
539764,Closed,1420,2012-09-05 23:44:00-04,44,2012-09-06 00:08:00-04,36,T01328,Casual,,,
539766,Closed,1150,2012-09-05 23:47:00-04,80,2012-09-06 00:06:00-04,13,T01183,Casual,,,
539768,Closed,746,2012-09-05 23:49:00-04,55,2012-09-06 00:01:00-04,6
539769,Closed,1883,2012-09-05 23:50:00-04,36,2012-09-06 00:21:00-04,36
539770,Closed,1647,2012-09-05 23:50:00-04,36,2012-09-06 00:18:00-04,16,T01381,Casual,,,
539771,Closed,1096,2012-09-05 23:50:00-04,76,2012-09-06 00:08:00-04,6,T01085,Casual,,,
539772,Closed,636,2012-09-05 23:50:00-04,21,2012-09-06 00:01:00-04,32
539773,Closed,1000,2012-09-05 23:58:00-04,18,2012-09-06 00:14:00-04,18,T01228,Registered,02134,1991,Male
539774,Closed,973,2012-09-05 23:59:00-04,52,2012-09-06 00:15:00-04,22
539775,Closed,192,2012-09-05 23:59:00-04,19,2012-09-06 00:02:00-04,32,T01057,Registered,02215,1991,Female
539776,Closed,527,2012-09-06 00:07:00-04,22,2012-09-06 00:15:00-04,16
539777,Closed,986,2012-09-06 00:08:00-04,6,2012-09-06 00:25:00-04,25,T01439,Registered,02116,1974,Male
539778,Closed,892,2012-09-06 00:11:00-04,33,2012-09-06 00:26:00-04,44,T01059,Casual,,,
539779,Closed,2014,2012-09-06 00:15:00-04,41,2012-09-06 00:49:00-04,17,T01025,Casual,,,
539780,Closed,309,2012-09-06 00:14:00-04,75,2012-09-06 00:19:00-04,72
539781,Closed,2033,2012-09-06 00:15:00-04,41,2012-09-06 00:49:00-04,17
539788,Closed,566,2012-09-06 00:27:00-04,23,2012-09-06 00:37:00-04,23
539789,Closed,176,2012-09-06 00:28:00-04,32,2012-09-06 00:30:00-04,19,T01057,Registered,02215,1991,Female
539790,Closed,117,2012-09-06 00:29:00-04,53,2012-09-06 00:31:00-04,52
539791,Closed,884,2012-09-06 00:31:00-04,55,2012-09-06 00:46:00-04,62
539792,Closed,447,2012-09-06 00:31:00-04,32,2012-09-06 00:39:00-04,27,T01339,Registered,02379,1985,Male
539793,Closed,2,2012-09-06 00:34:00-04,6,2012-09-06 00:34:00-04,6
539794,Closed,1561,2012-09-06 00:35:00-04,61,2012-09-06 01:01:00-04,60,T01296,Casual,,,
539795,Closed,1910,2012-09-06 00:35:00-04,61,2012-09-06 01:07:00-04,23
539796,Closed,885,2012-09-06 00:41:00-04,41,2012-09-06 00:56:00-04,55,T01190,Casual,,,
539797,Closed,883,2012-09-06 00:41:00-04,41,2012-09-06 00:56:00-04,55
539798,Closed,745,2012-09-06 00:55:00-04,11,2012-09-06 01:08:00-04,33,T01080,Casual,,,
539799,Closed,401,2012-09-06 00:55:00-04,27,2012-09-06 01:01:00-04,45
539800,Closed,752,2012-09-06 00:55:00-04,11,2012-09-06 01:08:00-04,33,T01150,Casual,,,
539801,Closed,263,2012-09-06 00:55:00-04,9,2012-09-06 01:00:00-04,19
539802,Closed,343,2012-09-06 00:55:00-04,55,2012-09-06 01:01:00-04,67
539804,Closed,596,2012-09-06 00:59:00-04,60,2012-09-06 01:09:00-04,21
539805,Closed,1361,2012-09-06 00:58:00-04,31,2012-09-06 01:21:00-04,73,T01367,Registered,02478,1983,Male
539806,Closed,378,2012-09-06 01:00:00-04,74,2012-09-06 01:06:00-04,76
539807,Closed,814,2012-09-06 01:02:00-04,6,2012-09-06 01:16:00-04,6
539808,Closed,306,2012-09-06 01:13:00-04,36,2012-09-06 01:18:00-04,53
539810,Closed,356,2012-09-06 01:34:00-04,45,2012-09-06 01:40:00-04,11,T01088,Casual,,,
539811,Closed,339,2012-09-06 01:34:00-04,45,2012-09-06 01:40:00-04,11
539812,Closed,1261,2012-09-06 01:39:00-04,53,2012-09-06 02:00:00-04,42
539814,Closed,450,2012-09-06 01:43:00-04,32,2012-09-06 01:50:00-04,41
539815,Closed,814,2012-09-06 01:50:00-04,4,2012-09-06 02:04:00-04,53
539816,Closed,677,2012-09-06 01:55:00-04,42,2012-09-06 02:06:00-04,45,T01111,Registered,02215,1978,Male
539817,Closed,1006,2012-09-06 02:12:00-04,52,2012-09-06 02:29:00-04,63
539818,Closed,329,2012-09-06 02:15:00-04,46,2012-09-06 02:20:00-04,53
539819,Closed,212,2012-09-06 02:20:00-04,26,2012-09-06 02:24:00-04,4,T01096,Registered,02116,1977,Male
539820,Closed,888,2012-09-06 02:38:00-04,20,2012-09-06 02:53:00-04,36,T01173,Registered,02116,1950,Male
539821,Closed,905,2012-09-06 03:49:00-04,76,2012-09-06 04:04:00-04,38
539822,Closed,1348,2012-09-06 04:26:00-04,66,2012-09-06 04:49:00-04,23
539823,Closed,633,2012-09-06 05:18:00-04,53,2012-09-06 05:28:00-04,49
539824,Closed,358,2012-09-06 05:19:00-04,57,2012-09-06 05:25:00-04,26
539825,Closed,792,2012-09-06 05:20:00-04,85,2012-09-06 05:34:00-04,36
539826,Closed,1014,2012-09-06 05:21:00-04,46,2012-09-06 05:38:00-04,18,T01233,Casual,,,
539827,Closed,370,2012-09-06 05:29:00-04,25,2012-09-06 05:35:00-04,50
539828,Closed,480,2012-09-06 05:32:00-04,22,2012-09-06 05:40:00-04,50
539829,Closed,628,2012-09-06 05:36:00-04,53,2012-09-06 05:46:00-04,48
539830,Closed,1053,2012-09-06 05:55:00-04,68,2012-09-06 06:12:00-04,41,T01399,Casual,,,
539831,Closed,299,2012-09-06 05:56:00-04,20,2012-09-06 06:01:00-04,22
539832,Closed,1687,2012-09-06 05:58:00-04,40,2012-09-06 06:26:00-04,38
539833,Closed,477,2012-09-06 05:58:00-04,60,2012-09-06 06:06:00-04,48,T01323,Registered,02114,1987,Male
539834,Closed,457,2012-09-06 06:00:00-04,53,2012-09-06 06:07:00-04,13
539835,Closed,215,2012-09-06 06:02:00-04,58,2012-09-06 06:06:00-04,36,T01368,Registered,02108,1983,Female
539836,Closed,238,2012-09-06 06:06:00-04,47,2012-09-06 06:10:00-04,48
539837,Closed,395,2012-09-06 06:06:00-04,58,2012-09-06 06:13:00-04,48
539838,Closed,1116,2012-09-06 06:09:00-04,13,2012-09-06 06:27:00-04,30
539839,Closed,289,2012-09-06 06:09:00-04,40,2012-09-06 06:14:00-04,48,T01037,Registered,02110,1963,Male
539840,Closed,408,2012-09-06 06:10:00-04,60,2012-09-06 06:16:00-04,36
539841,Closed,358,2012-09-06 06:11:00-04,16,2012-09-06 06:17:00-04,54
539842,Closed,371,2012-09-06 06:12:00-04,4,2012-09-06 06:18:00-04,22
539843,Closed,403,2012-09-06 06:13:00-04,26,2012-09-06 06:19:00-04,57
539844,Closed,6588,2012-09-06 06:14:00-04,65,2012-09-06 08:04:00-04,65
539845,Closed,1431,2012-09-06 06:15:00-04,8,2012-09-06 06:38:00-04,23
539847,Closed,855,2012-09-06 06:19:00-04,38,2012-09-06 06:33:00-04,64
539848,Closed,837,2012-09-06 06:19:00-04,25,2012-09-06 06:33:00-04,38
539849,Closed,326,2012-09-06 06:20:00-04,68,2012-09-06 06:25:00-04,67
539850,Closed,462,2012-09-06 06:21:00-04,58,2012-09-06 06:29:00-04,35,T01219,Registered,02119,1983,Female
539851,Closed,849,2012-09-06 06:22:00-04,36,2012-09-06 06:36:00-04,43,T01368,Registered,02116,1946,Male
539852,Closed,299,2012-09-06 06:23:00-04,40,2012-09-06 06:28:00-04,48
539853,Closed,959,2012-09-06 06:25:00-04,52,2012-09-06 06:41:00-04,20
539854,Closed,191,2012-09-06 06:26:00-04,47,2012-09-06 06:29:00-04,48
539855,Closed,289,2012-09-06 06:27:00-04,25,2012-09-06 06:31:00-04,55
539856,Closed,301,2012-09-06 06:27:00-04,38,2012-09-06 06:32:00-04,43,T01278,Registered,01852,1978,Male
539857,Closed,539,2012-09-06 06:27:00-04,49,2012-09-06 06:36:00-04,53
539858,Closed,425,2012-09-06 06:29:00-04,26,2012-09-06 06:36:00-04,50
539859,Closed,423,2012-09-06 06:29:00-04,54,2012-09-06 06:37:00-04,50,T01095,Registered,03037,1953,Male
539861,Closed,427,2012-09-06 06:30:00-04,58,2012-09-06 06:37:00-04,61
539862,Closed,1208,2012-09-06 06:30:00-04,91,2012-09-06 06:50:00-04,29
539864,Closed,1187,2012-09-06 06:31:00-04,6,2012-09-06 06:51:00-04,11,T01364,Registered,02114,1981,Female
539865,Closed,475,2012-09-06 06:32:00-04,38,2012-09-06 06:40:00-04,22,T01146,Registered,01915,1985,Male
539866,Closed,464,2012-09-06 06:32:00-04,38,2012-09-06 06:39:00-04,64,T01279,Registered,01982,1976,Male
539867,Closed,809,2012-09-06 06:32:00-04,60,2012-09-06 06:46:00-04,10,T01296,Registered,02114,1984,Male
539868,Closed,1080,2012-09-06 06:33:00-04,76,2012-09-06 06:51:00-04,36
539869,Closed,152,2012-09-06 06:34:00-04,43,2012-09-06 06:36:00-04,22,T01401,Registered,02043,1968,Male
539870,Closed,396,2012-09-06 06:35:00-04,25,2012-09-06 06:41:00-04,42,T01194,Registered,02118,1983,Female
539871,Closed,967,2012-09-06 06:36:00-04,16,2012-09-06 06:52:00-04,86
539873,Closed,295,2012-09-06 06:36:00-04,46,2012-09-06 06:41:00-04,13
539874,Closed,447,2012-09-06 06:37:00-04,12,2012-09-06 06:44:00-04,34
539875,Closed,477,2012-09-06 06:38:00-04,54,2012-09-06 06:46:00-04,65,T01235,Registered,02026,1980,Male
539876,Closed,765,2012-09-06 06:39:00-04,30,2012-09-06 06:52:00-04,41
539877,Closed,650,2012-09-06 06:40:00-04,20,2012-09-06 06:51:00-04,84
539878,Closed,876,2012-09-06 06:40:00-04,40,2012-09-06 06:55:00-04,84,T01350,Registered,02113,1979,Male
539879,Closed,566,2012-09-06 06:41:00-04,47,2012-09-06 06:51:00-04,42
539880,Closed,195,2012-09-06 06:42:00-04,25,2012-09-06 06:45:00-04,16,T01159,Registered,02118,1987,Male
539881,Closed,444,2012-09-06 06:43:00-04,27,2012-09-06 06:51:00-04,5
539882,Closed,267,2012-09-06 06:44:00-04,50,2012-09-06 06:48:00-04,16
539883,Closed,317,2012-09-06 06:44:00-04,22,2012-09-06 06:50:00-04,42,T01146,Registered,02025,1971,Male
539884,Closed,903,2012-09-06 06:44:00-04,22,2012-09-06 06:59:00-04,67
539885,Closed,205,2012-09-06 06:44:00-04,62,2012-09-06 06:48:00-04,32,T01257,Registered,02446,1962,Male
539886,Closed,408,2012-09-06 06:45:00-04,22,2012-09-06 06:52:00-04,50
539887,Closed,548,2012-09-06 06:48:00-04,41,2012-09-06 06:57:00-04,62
539888,Closed,553,2012-09-06 06:48:00-04,41,2012-09-06 06:57:00-04,11,T01151,Registered,02215,1988,Male
539889,Closed,803,2012-09-06 06:48:00-04,16,2012-09-06 07:01:00-04,80,T01159,Registered,02110,1964,Male
539890,Closed,343,2012-09-06 06:48:00-04,39,2012-09-06 06:54:00-04,50
539894,Closed,613,2012-09-06 06:49:00-04,4,2012-09-06 06:59:00-04,20
539896,Closed,458,2012-09-06 06:50:00-04,75,2012-09-06 06:57:00-04,53
539897,Closed,1629,2012-09-06 06:51:00-04,53,2012-09-06 07:18:00-04,60
539898,Closed,681,2012-09-06 06:52:00-04,25,2012-09-06 07:03:00-04,30
539899,Closed,576,2012-09-06 06:52:00-04,29,2012-09-06 07:02:00-04,37,T01137,Registered,02141,1976,Male
539900,Closed,444,2012-09-06 06:53:00-04,57,2012-09-06 07:01:00-04,42
539901,Closed,428,2012-09-06 06:53:00-04,59,2012-09-06 07:00:00-04,60,T01211,Registered,02111,1971,Male
539904,Closed,582,2012-09-06 06:54:00-04,38,2012-09-06 07:04:00-04,64
539905,Closed,1030,2012-09-06 06:54:00-04,69,2012-09-06 07:12:00-04,39
539906,Closed,283,2012-09-06 06:56:00-04,34,2012-09-06 07:01:00-04,14,T01223,Registered,02703,1979,Male
539907,Closed,309,2012-09-06 06:57:00-04,40,2012-09-06 07:02:00-04,43
539908,Closed,416,2012-09-06 06:57:00-04,19,2012-09-06 07:04:00-04,55
