id,status,duration,start_date,start_station,end_date,end_station
579775,Closed,71417,2012-09-17 16:06:00-04,45,2012-09-18 11:56:00-04,8
580437,Closed,84915,2012-09-17 17:50:00-04,61,2012-09-18 17:25:00-04,21,T01281,Casual,,,
581357,Closed,4654,2012-09-17 22:56:00-04,33,2012-09-18 00:14:00-04,44,T01209,Casual,,,
581358,Closed,4648,2012-09-17 22:57:00-04,33,2012-09-18 00:14:00-04,44
581385,Closed,3221,2012-09-17 23:41:00-04,67,2012-09-18 00:34:00-04,10,T01071,Casual,,,
581387,Closed,2421,2012-09-17 23:41:00-04,67,2012-09-18 00:22:00-04,9,T01138,Casual,,,
581392,Closed,1336,2012-09-17 23:46:00-04,50,2012-09-18 00:09:00-04,29,T01037,Registered,02134,1991,Male
581398,Closed,789,2012-09-17 23:57:00-04,52,2012-09-18 00:11:00-04,75
581399,Closed,5844,2012-09-18 00:01:00-04,49,2012-09-18 01:38:00-04,29
581400,Closed,5819,2012-09-18 00:01:00-04,49,2012-09-18 01:38:00-04,29,T01256,Casual,,,
581401,Closed,403,2012-09-18 00:04:00-04,32,2012-09-18 00:11:00-04,46
581402,Closed,378,2012-09-18 00:04:00-04,36,2012-09-18 00:11:00-04,42,T01295,Registered,02116,1991,Male
581403,Closed,630,2012-09-18 00:06:00-04,55,2012-09-18 00:17:00-04,55
581404,Closed,159,2012-09-18 00:07:00-04,22,2012-09-18 00:10:00-04,43,T01014,Registered,02110,1988,Male
581405,Closed,1099,2012-09-18 00:17:00-04,39,2012-09-18 00:36:00-04,19,T01182,Registered,202215,1980,Male
581406,Closed,3117,2012-09-18 00:23:00-04,33,2012-09-18 01:15:00-04,32
581407,Closed,3116,2012-09-18 00:23:00-04,33,2012-09-18 01:15:00-04,32
581408,Closed,3078,2012-09-18 00:24:00-04,33,2012-09-18 01:15:00-04,32
581409,Closed,3060,2012-09-18 00:24:00-04,33,2012-09-18 01:15:00-04,32
581411,Closed,608,2012-09-18 00:34:00-04,32,2012-09-18 00:44:00-04,30
581412,Closed,556,2012-09-18 00:36:00-04,33,2012-09-18 00:45:00-04,39
581413,Closed,542,2012-09-18 00:36:00-04,78,2012-09-18 00:45:00-04,96,T01450,Registered,02138,1987,Male
581414,Closed,2396,2012-09-18 00:40:00-04,37,2012-09-18 01:20:00-04,60
581415,Closed,2377,2012-09-18 00:40:00-04,37,2012-09-18 01:20:00-04,60
581416,Closed,471,2012-09-18 00:40:00-04,36,2012-09-18 00:48:00-04,53
581417,Closed,1646,2012-09-18 00:43:00-04,12,2012-09-18 01:10:00-04,76
581418,Closed,1522,2012-09-18 00:43:00-04,43,2012-09-18 01:08:00-04,33
581419,Closed,1504,2012-09-18 00:43:00-04,43,2012-09-18 01:09:00-04,33,T01014,Casual,,,
581420,Closed,2951,2012-09-18 00:44:00-04,12,2012-09-18 01:33:00-04,44
581421,Closed,552,2012-09-18 00:48:00-04,64,2012-09-18 00:58:00-04,40
581422,Closed,733,2012-09-18 00:56:00-04,55,2012-09-18 01:08:00-04,63
581423,Closed,541,2012-09-18 00:57:00-04,46,2012-09-18 01:06:00-04,33
