id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
61664,Closed,7390291,2011-09-13 12:08:00-04,36,2011-12-08 00:00:00-05,
71569,Closed,6860474,2011-09-19 15:18:00-04,42,2011-12-08 00:00:00-05,
89161,Closed,11994458,2011-09-30 22:00:00-04,46,2012-02-16 16:48:00-05,7
89693,Closed,5826847,2011-10-01 14:25:00-04,42,2011-12-08 00:00:00-05,
90239,Closed,5811180,2011-10-01 18:46:00-04,48,2011-12-08 00:00:00-05,43
100458,Closed,355148,2011-10-08 18:12:00-04,60,2011-10-12 20:51:00-04,10
101036,Closed,5178725,2011-10-09 02:27:00-04,49,2011-12-08 00:00:00-05,
101426,Closed,484133,2011-10-09 11:34:00-04,60,2011-10-15 02:03:00-04,45
102232,Closed,160719,2011-10-09 15:26:00-04,49,2011-10-11 12:05:00-04,16
103346,Closed,302085,2011-10-10 01:01:00-04,9,2011-10-13 12:56:00-04,10
104416,Closed,81250,2011-10-10 15:26:00-04,4,2011-10-11 14:01:00-04,54
105110,Closed,44952,2011-10-10 19:20:00-04,22,2011-10-11 07:50:00-04,47
105163,Closed,67656,2011-10-10 19:57:00-04,54,2011-10-11 14:45:00-04,22
105180,Closed,62698,2011-10-10 20:03:00-04,6,2011-10-11 13:28:00-04,38
105261,Closed,14483,2011-10-10 21:21:00-04,22,2011-10-11 01:23:00-04,54
105361,Closed,1006,2011-10-10 23:46:00-04,45,2011-10-11 00:03:00-04,47
105364,Closed,282,2011-10-10 23:59:00-04,11,2011-10-11 00:03:00-04,32
105365,Closed,748,2011-10-11 00:01:00-04,24,2011-10-11 00:13:00-04,40
105366,Closed,723,2011-10-11 00:01:00-04,24,2011-10-11 00:13:00-04,40
105367,Closed,684,2011-10-11 00:02:00-04,24,2011-10-11 00:13:00-04,40
105368,Closed,599,2011-10-11 00:02:00-04,9,2011-10-11 00:12:00-04,55
105369,Closed,795,2011-10-11 00:08:00-04,32,2011-10-11 00:21:00-04,46
105370,Closed,182,2011-10-11 00:10:00-04,9,2011-10-11 00:13:00-04,10
105371,Closed,435,2011-10-11 00:11:00-04,42,2011-10-11 00:18:00-04,55
105372,Closed,7318,2011-10-11 00:17:00-04,46,2011-10-11 02:19:00-04,46
105374,Closed,1028,2011-10-11 00:21:00-04,55,2011-10-11 00:39:00-04,42
105375,Closed,765,2011-10-11 00:33:00-04,21,2011-10-11 00:46:00-04,41
105376,Closed,647,2011-10-11 00:51:00-04,20,2011-10-11 01:02:00-04,22
105377,Closed,645,2011-10-11 00:51:00-04,20,2011-10-11 01:02:00-04,22
105378,Closed,313,2011-10-11 01:02:00-04,24,2011-10-11 01:07:00-04,40
105379,Closed,879,2011-10-11 01:06:00-04,22,2011-10-11 01:21:00-04,36
105380,Closed,848,2011-10-11 01:07:00-04,22,2011-10-11 01:21:00-04,36
105381,Closed,408,2011-10-11 01:15:00-04,49,2011-10-11 01:22:00-04,21
105383,Closed,318,2011-10-11 01:26:00-04,36,2011-10-11 01:32:00-04,36
105384,Closed,297,2011-10-11 01:30:00-04,55,2011-10-11 01:35:00-04,56
105385,Closed,1025,2011-10-11 01:34:00-04,36,2011-10-11 01:52:00-04,9
105386,Closed,1025,2011-10-11 01:35:00-04,36,2011-10-11 01:52:00-04,9
105387,Closed,434,2011-10-11 01:34:00-04,12,2011-10-11 01:42:00-04,4
105388,Closed,547,2011-10-11 02:08:00-04,9,2011-10-11 02:17:00-04,55
105389,Closed,2156,2011-10-11 02:52:00-04,22,2011-10-11 03:28:00-04,18
105390,Closed,416,2011-10-11 03:11:00-04,41,2011-10-11 03:18:00-04,33
105391,Closed,12116,2011-10-11 03:46:00-04,23,2011-10-11 07:08:00-04,26
105392,Closed,17635,2011-10-11 03:47:00-04,23,2011-10-11 08:41:00-04,27
105393,Closed,12291,2011-10-11 03:49:00-04,23,2011-10-11 07:13:00-04,26
105394,Closed,218,2011-10-11 05:00:00-04,57,2011-10-11 05:03:00-04,39
105395,Closed,273,2011-10-11 05:24:00-04,20,2011-10-11 05:28:00-04,59
105396,Closed,187,2011-10-11 05:29:00-04,25,2011-10-11 05:32:00-04,16
105397,Closed,588,2011-10-11 05:52:00-04,53,2011-10-11 06:02:00-04,60
105398,Closed,821,2011-10-11 06:02:00-04,25,2011-10-11 06:16:00-04,11
105399,Closed,382,2011-10-11 06:06:00-04,16,2011-10-11 06:13:00-04,50
