id,status,duration,start_date,start_station,end_date,end_station
172646,Closed,1328278,2012-03-29 14:19:00-04,27,2012-04-13 23:17:00-04,62
175204,Closed,3428206,2012-03-31 18:47:00-04,42,2012-05-10 11:04:00-04,26
182152,Closed,309138,2012-04-05 18:12:00-04,22,2012-04-09 08:04:00-04,22
182459,Closed,12835,2012-04-05 21:35:00-04,32,2012-04-06 01:09:00-04,53
182518,Closed,575,2012-04-05 23:53:00-04,41,2012-04-06 00:02:00-04,14
182519,Closed,298,2012-04-05 23:56:00-04,16,2012-04-06 00:01:00-04,57
182521,Closed,113,2012-04-06 00:04:00-04,33,2012-04-06 00:06:00-04,34
182522,Closed,279,2012-04-06 00:13:00-04,4,2012-04-06 00:18:00-04,50
182523,Closed,792,2012-04-06 00:20:00-04,22,2012-04-06 00:33:00-04,21
182526,Closed,466,2012-04-06 00:25:00-04,49,2012-04-06 00:33:00-04,44
182527,Closed,371,2012-04-06 00:25:00-04,30,2012-04-06 00:32:00-04,12
182531,Closed,141,2012-04-06 00:27:00-04,53,2012-04-06 00:29:00-04,33
182532,Closed,189,2012-04-06 00:27:00-04,52,2012-04-06 00:30:00-04,46
182533,Closed,628,2012-04-06 00:38:00-04,64,2012-04-06 00:48:00-04,58
182536,Closed,779,2012-04-06 00:47:00-04,45,2012-04-06 01:00:00-04,4
182537,Closed,1029,2012-04-06 00:58:00-04,21,2012-04-06 01:16:00-04,41
182538,Closed,1008,2012-04-06 01:03:00-04,5,2012-04-06 01:20:00-04,36
182539,Closed,1512,2012-04-06 01:05:00-04,5,2012-04-06 01:30:00-04,36
182540,Closed,633,2012-04-06 01:10:00-04,5,2012-04-06 01:20:00-04,36
182541,Closed,1376,2012-04-06 01:10:00-04,41,2012-04-06 01:32:00-04,32
182542,Closed,1355,2012-04-06 01:10:00-04,41,2012-04-06 01:32:00-04,32
182543,Closed,1166,2012-04-06 01:11:00-04,41,2012-04-06 01:31:00-04,34
182544,Closed,846,2012-04-06 01:24:00-04,36,2012-04-06 01:38:00-04,36
182545,Closed,581,2012-04-06 01:28:00-04,36,2012-04-06 01:38:00-04,36
182546,Closed,353,2012-04-06 01:39:00-04,34,2012-04-06 01:45:00-04,11
182547,Closed,345,2012-04-06 01:39:00-04,34,2012-04-06 01:45:00-04,11
182548,Closed,851,2012-04-06 02:02:00-04,57,2012-04-06 02:17:00-04,41
182550,Closed,150,2012-04-06 02:16:00-04,42,2012-04-06 02:18:00-04,36
182551,Closed,21,2012-04-06 02:18:00-04,32,2012-04-06 02:18:00-04,32
182552,Closed,8,2012-04-06 02:20:00-04,32,2012-04-06 02:20:00-04,32
182553,Closed,505,2012-04-06 02:20:00-04,32,2012-04-06 02:29:00-04,10
182554,Closed,427,2012-04-06 02:22:00-04,32,2012-04-06 02:29:00-04,10
182555,Closed,712,2012-04-06 02:25:00-04,54,2012-04-06 02:37:00-04,21
182557,Closed,292,2012-04-06 02:42:00-04,55,2012-04-06 02:47:00-04,32
182558,Closed,400,2012-04-06 02:52:00-04,12,2012-04-06 02:59:00-04,32
182559,Closed,627,2012-04-06 03:05:00-04,55,2012-04-06 03:15:00-04,55
182563,Closed,427,2012-04-06 03:18:00-04,12,2012-04-06 03:25:00-04,26
182564,Closed,1918,2012-04-06 03:47:00-04,21,2012-04-06 04:19:00-04,8
182565,Closed,174,2012-04-06 04:38:00-04,9,2012-04-06 04:41:00-04,41
182566,Closed,6,2012-04-06 05:45:00-04,57,2012-04-06 05:46:00-04,57
182567,Closed,261,2012-04-06 05:46:00-04,57,2012-04-06 05:50:00-04,13
182568,Closed,385,2012-04-06 05:50:00-04,53,2012-04-06 05:56:00-04,14
182569,Closed,422,2012-04-06 06:17:00-04,27,2012-04-06 06:25:00-04,14
182570,Closed,735,2012-04-06 06:20:00-04,25,2012-04-06 06:33:00-04,14
182571,Closed,442,2012-04-06 06:21:00-04,4,2012-04-06 06:28:00-04,48
182572,Closed,403,2012-04-06 06:26:00-04,47,2012-04-06 06:33:00-04,24
182573,Closed,350,2012-04-06 06:28:00-04,60,2012-04-06 06:34:00-04,36
182574,Closed,443,2012-04-06 06:28:00-04,13,2012-04-06 06:35:00-04,21
182575,Closed,496,2012-04-06 06:28:00-04,36,2012-04-06 06:36:00-04,34
182576,Closed,288,2012-04-06 06:28:00-04,38,2012-04-06 06:33:00-04,44
182577,Closed,568,2012-04-06 06:29:00-04,16,2012-04-06 06:38:00-04,13
182578,Closed,335,2012-04-06 06:29:00-04,40,2012-04-06 06:34:00-04,22
182579,Closed,400,2012-04-06 06:32:00-04,58,2012-04-06 06:38:00-04,21
182580,Closed,479,2012-04-06 06:32:00-04,46,2012-04-06 06:40:00-04,30
182581,Closed,389,2012-04-06 06:32:00-04,58,2012-04-06 06:38:00-04,21
182582,Closed,175,2012-04-06 06:34:00-04,43,2012-04-06 06:36:00-04,22
182583,Closed,721,2012-04-06 06:36:00-04,11,2012-04-06 06:48:00-04,39
182584,Closed,692,2012-04-06 06:39:00-04,36,2012-04-06 06:50:00-04,34
182586,Closed,505,2012-04-06 06:40:00-04,58,2012-04-06 06:48:00-04,48
182587,Closed,308,2012-04-06 06:40:00-04,22,2012-04-06 06:45:00-04,42
182588,Closed,483,2012-04-06 06:40:00-04,22,2012-04-06 06:48:00-04,6
182589,Closed,551,2012-04-06 06:41:00-04,4,2012-04-06 06:50:00-04,60
182590,Closed,675,2012-04-06 06:43:00-04,53,2012-04-06 06:54:00-04,14
182591,Closed,362,2012-04-06 06:49:00-04,4,2012-04-06 06:55:00-04,22
182592,Closed,286,2012-04-06 06:51:00-04,40,2012-04-06 06:56:00-04,22
182593,Closed,461,2012-04-06 06:52:00-04,39,2012-04-06 06:59:00-04,48
182594,Closed,621,2012-04-06 06:53:00-04,38,2012-04-06 07:03:00-04,50
182595,Closed,704,2012-04-06 06:57:00-04,38,2012-04-06 07:09:00-04,35
182596,Closed,613,2012-04-06 06:58:00-04,22,2012-04-06 07:09:00-04,40
182597,Closed,810,2012-04-06 06:59:00-04,38,2012-04-06 07:12:00-04,7
182598,Closed,1599,2012-04-06 07:00:00-04,38,2012-04-06 07:26:00-04,9
182599,Closed,477,2012-04-06 07:02:00-04,57,2012-04-06 07:10:00-04,14
182600,Closed,742,2012-04-06 07:04:00-04,59,2012-04-06 07:17:00-04,53
182601,Closed,781,2012-04-06 07:07:00-04,57,2012-04-06 07:20:00-04,22
182602,Closed,331,2012-04-06 07:08:00-04,38,2012-04-06 07:13:00-04,35
182603,Closed,868,2012-04-06 07:08:00-04,16,2012-04-06 07:22:00-04,14
182605,Closed,852,2012-04-06 07:08:00-04,16,2012-04-06 07:22:00-04,14
182606,Closed,883,2012-04-06 07:10:00-04,53,2012-04-06 07:25:00-04,22
182607,Closed,393,2012-04-06 07:12:00-04,43,2012-04-06 07:18:00-04,42
182608,Closed,482,2012-04-06 07:13:00-04,32,2012-04-06 07:21:00-04,5
182609,Closed,263,2012-04-06 07:15:00-04,57,2012-04-06 07:19:00-04,16
182610,Closed,267,2012-04-06 07:15:00-04,60,2012-04-06 07:19:00-04,42
182611,Closed,530,2012-04-06 07:17:00-04,39,2012-04-06 07:26:00-04,63
182612,Closed,352,2012-04-06 07:17:00-04,55,2012-04-06 07:23:00-04,10
182613,Closed,948,2012-04-06 07:17:00-04,54,2012-04-06 07:33:00-04,14
182614,Closed,467,2012-04-06 07:18:00-04,47,2012-04-06 07:25:00-04,60
182615,Closed,525,2012-04-06 07:19:00-04,22,2012-04-06 07:28:00-04,50
182616,Closed,1113,2012-04-06 07:19:00-04,60,2012-04-06 07:38:00-04,9
182617,Closed,384,2012-04-06 07:20:00-04,6,2012-04-06 07:26:00-04,48
182618,Closed,1124,2012-04-06 07:20:00-04,60,2012-04-06 07:39:00-04,63
182619,Closed,1734,2012-04-06 07:20:00-04,60,2012-04-06 07:49:00-04,64
182620,Closed,186,2012-04-06 07:21:00-04,47,2012-04-06 07:24:00-04,38
182622,Closed,724,2012-04-06 07:24:00-04,16,2012-04-06 07:36:00-04,20
182623,Closed,2059,2012-04-06 07:25:00-04,38,2012-04-06 07:59:00-04,11
182624,Closed,855,2012-04-06 07:25:00-04,60,2012-04-06 07:39:00-04,10
182625,Closed,752,2012-04-06 07:25:00-04,11,2012-04-06 07:38:00-04,26
182626,Closed,1187,2012-04-06 07:25:00-04,45,2012-04-06 07:45:00-04,38
182627,Closed,756,2012-04-06 07:27:00-04,22,2012-04-06 07:40:00-04,50
182629,Closed,331,2012-04-06 07:28:00-04,42,2012-04-06 07:33:00-04,54
182630,Closed,922,2012-04-06 07:28:00-04,38,2012-04-06 07:44:00-04,21
182631,Closed,600,2012-04-06 07:29:00-04,53,2012-04-06 07:39:00-04,14
182632,Closed,524,2012-04-06 07:29:00-04,4,2012-04-06 07:38:00-04,48
182633,Closed,360,2012-04-06 07:31:00-04,38,2012-04-06 07:37:00-04,48
182634,Closed,271,2012-04-06 07:32:00-04,36,2012-04-06 07:36:00-04,49
182635,Closed,1306,2012-04-06 07:33:00-04,26,2012-04-06 07:54:00-04,3
182636,Closed,302,2012-04-06 07:33:00-04,27,2012-04-06 07:38:00-04,30
182637,Closed,143,2012-04-06 07:35:00-04,27,2012-04-06 07:38:00-04,12
182638,Closed,439,2012-04-06 07:36:00-04,38,2012-04-06 07:43:00-04,48
182639,Closed,6332,2012-04-06 07:37:00-04,5,2012-04-06 09:23:00-04,5
182640,Closed,764,2012-04-06 07:37:00-04,38,2012-04-06 07:50:00-04,40
