id,status,duration,start_date,start_station,end_date,end_station
616546,Closed,88603,2012-09-28 16:30:00-04,6,2012-09-29 17:07:00-04,69,T01131,Registered,02446,1976,Male
616761,Closed,85040,2012-09-28 18:23:00-04,10,2012-09-29 18:00:00-04,20
616913,Closed,817,2012-09-28 23:49:00-04,36,2012-09-29 00:02:00-04,85
616914,Closed,879,2012-09-29 00:00:00-04,18,2012-09-29 00:15:00-04,68,T01254,Registered,02215,1986,Male
616915,Closed,453,2012-09-29 00:27:00-04,78,2012-09-29 00:34:00-04,77,T01369,Casual,,,
616916,Closed,489,2012-09-29 00:32:00-04,16,2012-09-29 00:40:00-04,39,T01025,Registered,02118,1981,Female
616917,Closed,355,2012-09-29 00:34:00-04,29,2012-09-29 00:40:00-04,74
616918,Closed,500,2012-09-29 00:36:00-04,5,2012-09-29 00:45:00-04,57,T01291,Registered,02215,1992,Male
616919,Closed,317,2012-09-29 00:41:00-04,36,2012-09-29 00:46:00-04,58
616920,Closed,553,2012-09-29 00:52:00-04,61,2012-09-29 01:01:00-04,23
616921,Closed,1165,2012-09-29 00:54:00-04,88,2012-09-29 01:13:00-04,36
616922,Closed,1025,2012-09-29 00:54:00-04,55,2012-09-29 01:11:00-04,86
616923,Closed,532,2012-09-29 00:57:00-04,32,2012-09-29 01:05:00-04,57
616924,Closed,1948,2012-09-29 00:58:00-04,58,2012-09-29 01:30:00-04,19
616925,Closed,1959,2012-09-29 00:58:00-04,58,2012-09-29 01:31:00-04,19
616926,Closed,937,2012-09-29 01:00:00-04,58,2012-09-29 01:15:00-04,9
616927,Closed,444,2012-09-29 01:09:00-04,52,2012-09-29 01:16:00-04,33
616928,Closed,121,2012-09-29 01:10:00-04,35,2012-09-29 01:12:00-04,48
616929,Closed,544,2012-09-29 01:11:00-04,75,2012-09-29 01:20:00-04,33
616930,Closed,255,2012-09-29 01:12:00-04,70,2012-09-29 01:17:00-04,87
616931,Closed,529,2012-09-29 01:13:00-04,11,2012-09-29 01:22:00-04,61,T01103,Registered,02115,1985,Female
616932,Closed,793,2012-09-29 01:15:00-04,72,2012-09-29 01:28:00-04,19
616933,Closed,241,2012-09-29 01:15:00-04,49,2012-09-29 01:19:00-04,4,T01110,Casual,,,
616934,Closed,724,2012-09-29 01:18:00-04,36,2012-09-29 01:30:00-04,20
616935,Closed,2477,2012-09-29 01:22:00-04,16,2012-09-29 02:03:00-04,98,T01134,Casual,,,
616937,Closed,1588,2012-09-29 01:26:00-04,35,2012-09-29 01:52:00-04,76
616938,Closed,42,2012-09-29 01:26:00-04,35,2012-09-29 01:27:00-04,35,T01085,Registered,02139,1984,Female
616939,Closed,678,2012-09-29 01:27:00-04,69,2012-09-29 01:38:00-04,66,T01308,Registered,02215,1991,Male
616940,Closed,1461,2012-09-29 01:28:00-04,35,2012-09-29 01:52:00-04,76,T01026,Registered,02139,1984,Female
616941,Closed,240,2012-09-29 01:33:00-04,9,2012-09-29 01:37:00-04,10
616942,Closed,983,2012-09-29 01:39:00-04,76,2012-09-29 01:55:00-04,17
616943,Closed,1016,2012-09-29 01:39:00-04,76,2012-09-29 01:56:00-04,17
616944,Closed,909,2012-09-29 01:41:00-04,76,2012-09-29 01:56:00-04,17
616945,Closed,897,2012-09-29 01:41:00-04,76,2012-09-29 01:56:00-04,17
616946,Closed,1000,2012-09-29 01:41:00-04,60,2012-09-29 01:57:00-04,25
616949,Closed,469,2012-09-29 01:51:00-04,12,2012-09-29 01:59:00-04,30
616950,Closed,454,2012-09-29 01:51:00-04,12,2012-09-29 01:59:00-04,30
616951,Closed,1070,2012-09-29 01:53:00-04,9,2012-09-29 02:11:00-04,27
616952,Closed,905,2012-09-29 01:58:00-04,35,2012-09-29 02:13:00-04,68,T01335,Casual,,,
616953,Closed,862,2012-09-29 01:57:00-04,59,2012-09-29 02:12:00-04,94,T01216,Casual,,,
616954,Closed,905,2012-09-29 01:58:00-04,35,2012-09-29 02:13:00-04,68
616955,Closed,483,2012-09-29 02:02:00-04,36,2012-09-29 02:10:00-04,6
616956,Closed,631,2012-09-29 02:05:00-04,57,2012-09-29 02:15:00-04,33,T01291,Registered,02215,1992,Male
616957,Closed,322,2012-09-29 02:05:00-04,4,2012-09-29 02:10:00-04,36
616959,Closed,251,2012-09-29 02:09:00-04,38,2012-09-29 02:13:00-04,40,T01258,Registered,02113,1984,Male
616961,Closed,821,2012-09-29 02:10:00-04,90,2012-09-29 02:24:00-04,80
616962,Closed,332,2012-09-29 02:10:00-04,64,2012-09-29 02:16:00-04,40
616963,Closed,791,2012-09-29 02:10:00-04,90,2012-09-29 02:23:00-04,80
616964,Closed,514,2012-09-29 02:13:00-04,8,2012-09-29 02:22:00-04,19,T01132,Registered,02215,1989,Male
616965,Closed,1470,2012-09-29 02:18:00-04,23,2012-09-29 02:42:00-04,74
616966,Closed,329,2012-09-29 02:17:00-04,42,2012-09-29 02:22:00-04,60
616967,Closed,96539,2012-09-29 02:18:00-04,43,2012-09-30 05:07:00-04,48
616968,Closed,222,2012-09-29 02:18:00-04,43,2012-09-29 02:22:00-04,22
616969,Closed,768,2012-09-29 02:18:00-04,67,2012-09-29 02:30:00-04,89
616970,Closed,815,2012-09-29 02:18:00-04,41,2012-09-29 02:31:00-04,53
616971,Closed,425,2012-09-29 02:20:00-04,74,2012-09-29 02:28:00-04,75
616972,Closed,378,2012-09-29 02:21:00-04,30,2012-09-29 02:28:00-04,12
616973,Closed,1643,2012-09-29 02:24:00-04,47,2012-09-29 02:51:00-04,77,T01296,Registered,02114,1985,Male
616974,Closed,437,2012-09-29 02:27:00-04,75,2012-09-29 02:34:00-04,80
616975,Closed,937,2012-09-29 02:30:00-04,74,2012-09-29 02:46:00-04,5
616976,Closed,546,2012-09-29 02:30:00-04,48,2012-09-29 02:39:00-04,39,T01310,Registered,02646,1988,Male
616977,Closed,368,2012-09-29 02:33:00-04,80,2012-09-29 02:39:00-04,76
616978,Closed,744,2012-09-29 02:34:00-04,67,2012-09-29 02:46:00-04,12
616979,Closed,364,2012-09-29 02:33:00-04,80,2012-09-29 02:39:00-04,76
616980,Closed,438,2012-09-29 02:46:00-04,76,2012-09-29 02:53:00-04,95
616981,Closed,464,2012-09-29 02:49:00-04,9,2012-09-29 02:57:00-04,33,T01104,Casual,,,
616982,Closed,344,2012-09-29 02:51:00-04,61,2012-09-29 02:57:00-04,53
616983,Closed,1108,2012-09-29 03:05:00-04,41,2012-09-29 03:23:00-04,55,T01122,Casual,,,
616984,Closed,1222,2012-09-29 03:16:00-04,42,2012-09-29 03:37:00-04,36
616985,Closed,502,2012-09-29 03:29:00-04,52,2012-09-29 03:37:00-04,9,T01248,Casual,,,
616986,Closed,699,2012-09-29 03:32:00-04,66,2012-09-29 03:44:00-04,33
616987,Closed,188,2012-09-29 03:39:00-04,36,2012-09-29 03:42:00-04,42
616988,Closed,640,2012-09-29 03:52:00-04,22,2012-09-29 04:03:00-04,55
616989,Closed,976,2012-09-29 04:07:00-04,41,2012-09-29 04:23:00-04,4,T01159,Registered,02118,1989,Male
616990,Closed,547,2012-09-29 04:56:00-04,68,2012-09-29 05:05:00-04,55
616991,Closed,591,2012-09-29 05:07:00-04,55,2012-09-29 05:17:00-04,27
616994,Closed,506,2012-09-29 06:08:00-04,68,2012-09-29 06:16:00-04,9,T01279,Registered,02134,1986,Male
616995,Closed,1105,2012-09-29 06:55:00-04,60,2012-09-29 07:14:00-04,11,T01233,Registered,02114,1982,Female
616996,Closed,424,2012-09-29 07:01:00-04,88,2012-09-29 07:08:00-04,80
616997,Closed,457,2012-09-29 07:06:00-04,16,2012-09-29 07:14:00-04,22
616998,Closed,615,2012-09-29 07:14:00-04,26,2012-09-29 07:24:00-04,50,T01284,Registered,02118,1967,Male
616999,Closed,566,2012-09-29 07:20:00-04,13,2012-09-29 07:30:00-04,13
617000,Closed,975,2012-09-29 07:21:00-04,19,2012-09-29 07:37:00-04,67
617001,Closed,355,2012-09-29 07:23:00-04,40,2012-09-29 07:29:00-04,22
617002,Closed,264,2012-09-29 07:27:00-04,57,2012-09-29 07:31:00-04,13,T01024,Registered,02115,1983,Male
617003,Closed,391,2012-09-29 07:41:00-04,87,2012-09-29 07:48:00-04,88,T01323,Registered,02114,1983,Male
617004,Closed,813,2012-09-29 07:43:00-04,76,2012-09-29 07:57:00-04,42
617005,Closed,654,2012-09-29 07:48:00-04,25,2012-09-29 07:59:00-04,45
617006,Closed,344,2012-09-29 07:53:00-04,46,2012-09-29 07:58:00-04,12
617007,Closed,486,2012-09-29 07:53:00-04,50,2012-09-29 08:01:00-04,22,T01074,Registered,02116,1984,Female
617008,Closed,527,2012-09-29 07:54:00-04,86,2012-09-29 08:03:00-04,9,T01128,Registered,02134,1983,Male
617009,Closed,329,2012-09-29 07:54:00-04,78,2012-09-29 07:59:00-04,77
617010,Closed,188,2012-09-29 08:00:00-04,58,2012-09-29 08:03:00-04,58
617011,Closed,2690,2012-09-29 08:03:00-04,58,2012-09-29 08:48:00-04,58
617012,Closed,417,2012-09-29 08:04:00-04,94,2012-09-29 08:11:00-04,90
617013,Closed,1480,2012-09-29 08:04:00-04,60,2012-09-29 08:29:00-04,69
617014,Closed,311,2012-09-29 08:05:00-04,62,2012-09-29 08:10:00-04,45
617015,Closed,984,2012-09-29 08:06:00-04,78,2012-09-29 08:23:00-04,55,T01408,Casual,,,
617016,Closed,655,2012-09-29 08:11:00-04,29,2012-09-29 08:22:00-04,10
617017,Closed,568,2012-09-29 08:13:00-04,84,2012-09-29 08:23:00-04,67,T01425,Registered,02143,1989,Male
617018,Closed,715,2012-09-29 08:14:00-04,58,2012-09-29 08:26:00-04,40
617019,Closed,729,2012-09-29 08:14:00-04,58,2012-09-29 08:26:00-04,40
617020,Closed,507,2012-09-29 08:16:00-04,63,2012-09-29 08:24:00-04,59,T01261,Registered,02127,1957,Male
617021,Closed,343,2012-09-29 08:16:00-04,42,2012-09-29 08:22:00-04,22
617022,Closed,399,2012-09-29 08:17:00-04,63,2012-09-29 08:24:00-04,65
617023,Closed,399,2012-09-29 08:20:00-04,47,2012-09-29 08:27:00-04,60
617024,Closed,645,2012-09-29 08:22:00-04,89,2012-09-29 08:32:00-04,29
617025,Closed,1103,2012-09-29 08:23:00-04,8,2012-09-29 08:41:00-04,70
617026,Closed,367,2012-09-29 08:23:00-04,54,2012-09-29 08:29:00-04,26
617027,Closed,436,2012-09-29 08:25:00-04,35,2012-09-29 08:32:00-04,6,T01085,Registered,02111,1980,Male
617028,Closed,788,2012-09-29 08:26:00-04,40,2012-09-29 08:39:00-04,50,T01380,Registered,02109,1985,Male
617029,Closed,251,2012-09-29 08:27:00-04,53,2012-09-29 08:31:00-04,67
617030,Closed,902,2012-09-29 08:33:00-04,66,2012-09-29 08:48:00-04,86
617031,Closed,899,2012-09-29 08:38:00-04,34,2012-09-29 08:53:00-04,39,T01329,Registered,02118,1987,Male
617033,Closed,1323,2012-09-29 08:39:00-04,61,2012-09-29 09:01:00-04,47
617034,Closed,464,2012-09-29 08:39:00-04,5,2012-09-29 08:47:00-04,36
617035,Closed,245,2012-09-29 08:43:00-04,67,2012-09-29 08:47:00-04,75,T01425,Registered,02143,1989,Male
617036,Closed,158,2012-09-29 08:50:00-04,33,2012-09-29 08:53:00-04,10,T01291,Registered,02215,1987,Male
617039,Closed,445,2012-09-29 08:53:00-04,93,2012-09-29 09:01:00-04,92
617040,Closed,1473,2012-09-29 08:55:00-04,60,2012-09-29 09:19:00-04,17
617041,Closed,906,2012-09-29 08:57:00-04,79,2012-09-29 09:12:00-04,29
617043,Closed,376,2012-09-29 09:01:00-04,9,2012-09-29 09:08:00-04,33,T01316,Registered,02215,1991,Male
617044,Closed,276,2012-09-29 09:02:00-04,13,2012-09-29 09:07:00-04,83
617045,Closed,390,2012-09-29 09:02:00-04,60,2012-09-29 09:09:00-04,36
617046,Closed,409,2012-09-29 09:03:00-04,93,2012-09-29 09:10:00-04,92
617047,Closed,435,2012-09-29 09:04:00-04,75,2012-09-29 09:11:00-04,78,T01425,Registered,02143,1989,Male
617048,Closed,125,2012-09-29 09:05:00-04,32,2012-09-29 09:07:00-04,45
617049,Closed,362,2012-09-29 09:07:00-04,9,2012-09-29 09:13:00-04,33,T01128,Registered,02215,1991,Male
617050,Closed,785,2012-09-29 09:08:00-04,9,2012-09-29 09:22:00-04,55
617051,Closed,977,2012-09-29 09:10:00-04,9,2012-09-29 09:27:00-04,76
617052,Closed,464,2012-09-29 09:11:00-04,57,2012-09-29 09:19:00-04,33
617053,Closed,359,2012-09-29 09:13:00-04,49,2012-09-29 09:19:00-04,26
617054,Closed,249,2012-09-29 09:15:00-04,25,2012-09-29 09:19:00-04,26
617055,Closed,471,2012-09-29 09:16:00-04,40,2012-09-29 09:24:00-04,64
617056,Closed,364,2012-09-29 09:17:00-04,95,2012-09-29 09:23:00-04,68
617057,Closed,454,2012-09-29 09:19:00-04,6,2012-09-29 09:27:00-04,35,T01085,Registered,02111,1980,Male
617058,Closed,654,2012-09-29 09:20:00-04,66,2012-09-29 09:31:00-04,11
617060,Closed,724,2012-09-29 09:21:00-04,55,2012-09-29 09:33:00-04,67,T01121,Registered,02115,1975,Male
617061,Closed,1194,2012-09-29 09:22:00-04,17,2012-09-29 09:42:00-04,60
617062,Closed,1017,2012-09-29 09:28:00-04,46,2012-09-29 09:45:00-04,23
617064,Closed,864,2012-09-29 09:28:00-04,53,2012-09-29 09:42:00-04,74
617065,Closed,215,2012-09-29 09:28:00-04,46,2012-09-29 09:32:00-04,61,T01072,Casual,,,
617066,Closed,3278,2012-09-29 09:30:00-04,51,2012-09-29 10:25:00-04,51,T01192,Registered,02118,1960,Male
617067,Closed,964,2012-09-29 09:33:00-04,61,2012-09-29 09:49:00-04,12,T01072,Casual,,,
617068,Closed,1038,2012-09-29 09:31:00-04,30,2012-09-29 09:49:00-04,42
617069,Closed,1446,2012-09-29 09:31:00-04,47,2012-09-29 09:55:00-04,61
617070,Closed,1021,2012-09-29 09:32:00-04,39,2012-09-29 09:49:00-04,39,T01329,Registered,02118,1987,Female
617071,Closed,585,2012-09-29 09:32:00-04,69,2012-09-29 09:42:00-04,41
617072,Closed,511,2012-09-29 09:32:00-04,33,2012-09-29 09:41:00-04,67,T01104,Registered,02215,1990,Male
617073,Closed,643,2012-09-29 09:33:00-04,26,2012-09-29 09:44:00-04,52
