id,status,duration,start_date,start_station,end_date,end_station
537923,Closed,434698,2012-09-05 12:38:00-04,31,2012-09-10 13:23:00-04,
540722,Closed,101297,2012-09-06 10:10:00-04,,2012-09-07 14:18:00-04,
540970,Closed,157858,2012-09-06 12:10:00-04,75,2012-09-08 08:01:00-04,75
543289,Closed,1207,2012-09-06 23:43:00-04,60,2012-09-07 00:03:00-04,67,T01184,Casual,,,
543295,Closed,863,2012-09-06 23:47:00-04,44,2012-09-07 00:01:00-04,51,T01278,Registered,02118,1968,Male
543297,Closed,640,2012-09-06 23:50:00-04,33,2012-09-07 00:01:00-04,30
543298,Closed,997,2012-09-06 23:53:00-04,16,2012-09-07 00:09:00-04,74,T01261,Registered,02138,1979,Female
543299,Closed,580,2012-09-06 23:53:00-04,33,2012-09-07 00:03:00-04,58
543300,Closed,948,2012-09-06 23:53:00-04,41,2012-09-07 00:09:00-04,67,T01371,Casual,,,
543301,Closed,1530,2012-09-06 23:56:00-04,42,2012-09-07 00:21:00-04,55
543302,Closed,1563,2012-09-06 23:56:00-04,42,2012-09-07 00:22:00-04,55
543303,Closed,826,2012-09-06 23:56:00-04,21,2012-09-07 00:10:00-04,9,T01327,Registered,02446,1977,Female
543304,Closed,1949,2012-09-06 23:56:00-04,52,2012-09-07 00:29:00-04,8
543305,Closed,1471,2012-09-06 23:57:00-04,42,2012-09-07 00:21:00-04,55
543306,Closed,1443,2012-09-06 23:57:00-04,42,2012-09-07 00:21:00-04,55
543307,Closed,1226,2012-09-06 23:58:00-04,57,2012-09-07 00:19:00-04,23
543308,Closed,383,2012-09-06 23:59:00-04,75,2012-09-07 00:06:00-04,53,T01125,Registered,02115,1984,Male
543309,Closed,353,2012-09-07 00:01:00-04,71,2012-09-07 00:07:00-04,78,T01279,Casual,,,
543310,Closed,818,2012-09-07 00:03:00-04,68,2012-09-07 00:17:00-04,57,T01249,Registered,02118,1982,Male
543311,Closed,349,2012-09-07 00:04:00-04,33,2012-09-07 00:09:00-04,9
543312,Closed,293,2012-09-07 00:04:00-04,43,2012-09-07 00:09:00-04,31
543313,Closed,266,2012-09-07 00:07:00-04,67,2012-09-07 00:12:00-04,68,T01184,Registered,02138,1985,Male
543314,Closed,506,2012-09-07 00:18:00-04,78,2012-09-07 00:27:00-04,68,T01091,Casual,,,
543315,Closed,330,2012-09-07 00:18:00-04,50,2012-09-07 00:23:00-04,61
543316,Closed,575,2012-09-07 00:18:00-04,73,2012-09-07 00:28:00-04,15
543317,Closed,657,2012-09-07 00:20:00-04,53,2012-09-07 00:31:00-04,69,T01125,Registered,02215,1989,Male
543318,Closed,1679,2012-09-07 00:26:00-04,42,2012-09-07 00:54:00-04,86,T01219,Registered,02215,1990,Male
543319,Closed,206,2012-09-07 00:30:00-04,16,2012-09-07 00:33:00-04,57,T01322,Registered,01760,1975,Male
543320,Closed,141,2012-09-07 00:32:00-04,64,2012-09-07 00:34:00-04,43
543321,Closed,246,2012-09-07 00:36:00-04,55,2012-09-07 00:40:00-04,16
543323,Closed,496,2012-09-07 00:37:00-04,85,2012-09-07 00:45:00-04,65
543324,Closed,976,2012-09-07 00:44:00-04,23,2012-09-07 01:00:00-04,9
543325,Closed,383,2012-09-07 00:44:00-04,11,2012-09-07 00:51:00-04,86
543326,Closed,1142,2012-09-07 00:53:00-04,22,2012-09-07 01:12:00-04,32,T01025,Registered,02045,1958,Male
543327,Closed,549,2012-09-07 00:55:00-04,42,2012-09-07 01:04:00-04,46,T01135,Casual,,,
543328,Closed,524,2012-09-07 00:59:00-04,47,2012-09-07 01:08:00-04,47
543329,Closed,332,2012-09-07 00:59:00-04,19,2012-09-07 01:05:00-04,55,T01431,Registered,02215,1983,Male
543330,Closed,460,2012-09-07 01:02:00-04,9,2012-09-07 01:09:00-04,66
543331,Closed,184,2012-09-07 01:02:00-04,52,2012-09-07 01:05:00-04,53
543332,Closed,1657,2012-09-07 01:04:00-04,64,2012-09-07 01:32:00-04,11
543333,Closed,1672,2012-09-07 01:05:00-04,64,2012-09-07 01:33:00-04,11
543334,Closed,1506,2012-09-07 01:05:00-04,74,2012-09-07 01:30:00-04,16
543335,Closed,408,2012-09-07 01:09:00-04,33,2012-09-07 01:16:00-04,67,T01012,Casual,,,
543336,Closed,823,2012-09-07 01:13:00-04,44,2012-09-07 01:27:00-04,42
543337,Closed,981,2012-09-07 01:18:00-04,72,2012-09-07 01:34:00-04,77,T01097,Registered,02143,1984,Male
543338,Closed,510,2012-09-07 01:18:00-04,65,2012-09-07 01:26:00-04,85,T01224,Registered,02125,1983,Male
543339,Closed,588,2012-09-07 01:23:00-04,41,2012-09-07 01:32:00-04,33
543340,Closed,1031,2012-09-07 01:26:00-04,47,2012-09-07 01:43:00-04,55
543341,Closed,1573,2012-09-07 01:27:00-04,33,2012-09-07 01:54:00-04,9
543342,Closed,397,2012-09-07 01:28:00-04,32,2012-09-07 01:35:00-04,30,T01013,Registered,02135,1985,Male
543343,Closed,1462,2012-09-07 01:29:00-04,33,2012-09-07 01:53:00-04,9
543347,Closed,930,2012-09-07 01:40:00-04,50,2012-09-07 01:56:00-04,19
543348,Closed,1165,2012-09-07 01:42:00-04,49,2012-09-07 02:01:00-04,46
543349,Closed,1092,2012-09-07 01:42:00-04,33,2012-09-07 02:00:00-04,82,T01217,Registered,02445,1981,Male
543350,Closed,63974,2012-09-07 01:44:00-04,38,2012-09-07 19:31:00-04,60
543351,Closed,338,2012-09-07 01:43:00-04,39,2012-09-07 01:48:00-04,56
543352,Closed,599,2012-09-07 01:45:00-04,46,2012-09-07 01:55:00-04,30,T01388,Casual,,,
543353,Closed,555,2012-09-07 01:45:00-04,46,2012-09-07 01:55:00-04,30
543354,Closed,1142,2012-09-07 01:46:00-04,55,2012-09-07 02:05:00-04,31
543355,Closed,818,2012-09-07 02:00:00-04,4,2012-09-07 02:14:00-04,44,T01024,Casual,,,
543356,Closed,807,2012-09-07 02:00:00-04,4,2012-09-07 02:14:00-04,44,T01159,Registered,02113,1984,Male
543357,Closed,1670,2012-09-07 02:04:00-04,52,2012-09-07 02:32:00-04,60
543358,Closed,1055,2012-09-07 02:08:00-04,52,2012-09-07 02:26:00-04,6
543359,Closed,1678,2012-09-07 02:07:00-04,70,2012-09-07 02:35:00-04,70,T01007,Casual,,,
543360,Closed,361,2012-09-07 02:22:00-04,22,2012-09-07 02:28:00-04,47
