id,status,duration,start_date,start_station,end_date,end_station
571364,Closed,197760,2012-09-15 01:57:00-04,31,2012-09-17 08:53:00-04,78
577142,Closed,50853,2012-09-16 17:44:00-04,69,2012-09-17 07:51:00-04,45
577897,Closed,1123,2012-09-16 23:43:00-04,45,2012-09-17 00:01:00-04,84
577899,Closed,1614,2012-09-16 23:44:00-04,91,2012-09-17 00:10:00-04,88,T01079,Casual,,,
577901,Closed,1199,2012-09-16 23:47:00-04,74,2012-09-17 00:07:00-04,21
577902,Closed,1171,2012-09-16 23:47:00-04,74,2012-09-17 00:07:00-04,21
577903,Closed,1715,2012-09-16 23:50:00-04,66,2012-09-17 00:19:00-04,38
577904,Closed,1116,2012-09-16 23:51:00-04,55,2012-09-17 00:10:00-04,49,T01306,Registered,02116,1991,Male
577905,Closed,576,2012-09-16 23:53:00-04,32,2012-09-17 00:03:00-04,25
577906,Closed,608,2012-09-16 23:55:00-04,91,2012-09-17 00:05:00-04,52
577907,Closed,6268,2012-09-17 00:02:00-04,75,2012-09-17 01:46:00-04,9
577911,Closed,647,2012-09-17 00:16:00-04,8,2012-09-17 00:27:00-04,69
577912,Closed,550,2012-09-17 00:16:00-04,8,2012-09-17 00:25:00-04,69
577913,Closed,1954,2012-09-17 00:23:00-04,72,2012-09-17 00:55:00-04,87
577914,Closed,1964,2012-09-17 00:23:00-04,72,2012-09-17 00:55:00-04,87,T01139,Casual,,,
577915,Closed,353,2012-09-17 00:25:00-04,10,2012-09-17 00:31:00-04,53
577916,Closed,418,2012-09-17 00:29:00-04,59,2012-09-17 00:36:00-04,39
577917,Closed,633,2012-09-17 00:32:00-04,54,2012-09-17 00:42:00-04,38,T01399,Casual,,,
577918,Closed,621,2012-09-17 00:32:00-04,54,2012-09-17 00:42:00-04,38
577919,Closed,405,2012-09-17 00:36:00-04,61,2012-09-17 00:43:00-04,35
577920,Closed,200,2012-09-17 00:42:00-04,53,2012-09-17 00:45:00-04,67
577921,Closed,229,2012-09-17 00:42:00-04,53,2012-09-17 00:46:00-04,67
577922,Closed,689,2012-09-17 00:44:00-04,45,2012-09-17 00:55:00-04,3,T01144,Registered,02115,1990,Male
577923,Closed,776,2012-09-17 00:44:00-04,3,2012-09-17 00:57:00-04,9
577924,Closed,312,2012-09-17 00:47:00-04,33,2012-09-17 00:52:00-04,67
577925,Closed,2114,2012-09-17 00:48:00-04,54,2012-09-17 01:23:00-04,14
577926,Closed,280,2012-09-17 00:48:00-04,67,2012-09-17 00:53:00-04,53
577927,Closed,172,2012-09-17 00:48:00-04,26,2012-09-17 00:51:00-04,25,T01182,Registered,02118,1977,Male
577930,Closed,400,2012-09-17 00:50:00-04,35,2012-09-17 00:56:00-04,40
577931,Closed,545,2012-09-17 00:51:00-04,23,2012-09-17 01:00:00-04,94
577932,Closed,253,2012-09-17 01:04:00-04,53,2012-09-17 01:08:00-04,67,T01281,Registered,02139,1993,Male
577933,Closed,275,2012-09-17 01:05:00-04,53,2012-09-17 01:09:00-04,67
577934,Closed,363,2012-09-17 01:25:00-04,47,2012-09-17 01:31:00-04,60,T01037,Casual,,,
577935,Closed,923,2012-09-17 01:33:00-04,60,2012-09-17 01:48:00-04,33,T01037,Casual,,,
577936,Closed,222,2012-09-17 01:35:00-04,17,2012-09-17 01:38:00-04,18
577937,Closed,1012,2012-09-17 01:59:00-04,33,2012-09-17 02:16:00-04,66,T01037,Casual,,,
577938,Closed,258,2012-09-17 02:00:00-04,16,2012-09-17 02:04:00-04,46,T01447,Registered,02115,1989,Male
577939,Closed,1236,2012-09-17 02:03:00-04,75,2012-09-17 02:23:00-04,9,T01176,Casual,,,
577940,Closed,901,2012-09-17 02:12:00-04,33,2012-09-17 02:27:00-04,63
577941,Closed,746,2012-09-17 02:30:00-04,66,2012-09-17 02:42:00-04,76,T01037,Registered,02139,1983,Male
577942,Closed,748,2012-09-17 02:53:00-04,45,2012-09-17 03:05:00-04,86
577943,Closed,473,2012-09-17 04:14:00-04,71,2012-09-17 04:22:00-04,74
577944,Closed,1265,2012-09-17 04:22:00-04,66,2012-09-17 04:43:00-04,23,T01136,Casual,,,
577945,Closed,339,2012-09-17 04:42:00-04,67,2012-09-17 04:47:00-04,55
577946,Closed,1144,2012-09-17 05:14:00-04,98,2012-09-17 05:33:00-04,81,T01080,Casual,,,
577947,Closed,528,2012-09-17 05:19:00-04,57,2012-09-17 05:28:00-04,30
577948,Closed,1136,2012-09-17 05:29:00-04,60,2012-09-17 05:48:00-04,30
577950,Closed,614,2012-09-17 05:37:00-04,53,2012-09-17 05:48:00-04,48
577951,Closed,447,2012-09-17 05:44:00-04,25,2012-09-17 05:52:00-04,42
577952,Closed,542,2012-09-17 05:48:00-04,60,2012-09-17 05:57:00-04,22,T01310,Registered,02114,1970,Male
577953,Closed,739,2012-09-17 05:50:00-04,40,2012-09-17 06:02:00-04,40
577954,Closed,397,2012-09-17 05:51:00-04,45,2012-09-17 05:57:00-04,11,T01110,Registered,02118,1984,Male
577956,Closed,566,2012-09-17 05:52:00-04,55,2012-09-17 06:01:00-04,11
577957,Closed,258,2012-09-17 05:54:00-04,58,2012-09-17 05:58:00-04,36
577958,Closed,756,2012-09-17 05:55:00-04,25,2012-09-17 06:08:00-04,11
577959,Closed,558,2012-09-17 05:59:00-04,53,2012-09-17 06:08:00-04,14
577960,Closed,268,2012-09-17 06:01:00-04,20,2012-09-17 06:06:00-04,22
577963,Closed,562,2012-09-17 06:03:00-04,4,2012-09-17 06:12:00-04,12,T01345,Registered,02116,1991,Male
577964,Closed,1555,2012-09-17 06:07:00-04,54,2012-09-17 06:32:00-04,58
577965,Closed,356,2012-09-17 06:07:00-04,4,2012-09-17 06:13:00-04,22
577966,Closed,391,2012-09-17 06:07:00-04,58,2012-09-17 06:14:00-04,48,T01373,Registered,02116,1986,Male
577967,Closed,949,2012-09-17 06:08:00-04,61,2012-09-17 06:23:00-04,43
577968,Closed,451,2012-09-17 06:10:00-04,60,2012-09-17 06:17:00-04,36
577969,Closed,174,2012-09-17 06:13:00-04,45,2012-09-17 06:16:00-04,32,T01095,Registered,02215,1979,Male
577970,Closed,249,2012-09-17 06:16:00-04,6,2012-09-17 06:20:00-04,48
577971,Closed,802,2012-09-17 06:18:00-04,6,2012-09-17 06:31:00-04,39
577972,Closed,640,2012-09-17 06:18:00-04,38,2012-09-17 06:29:00-04,61,T01103,Registered,01944,1961,Male
577973,Closed,334,2012-09-17 06:19:00-04,42,2012-09-17 06:25:00-04,52,T01415,Registered,02115,1959,Male
577974,Closed,452,2012-09-17 06:19:00-04,38,2012-09-17 06:27:00-04,42
577975,Closed,733,2012-09-17 06:19:00-04,38,2012-09-17 06:32:00-04,64
577976,Closed,492,2012-09-17 06:23:00-04,53,2012-09-17 06:32:00-04,16,T01398,Registered,02215,1954,Male
577977,Closed,383,2012-09-17 06:26:00-04,34,2012-09-17 06:32:00-04,21
577978,Closed,371,2012-09-17 06:26:00-04,38,2012-09-17 06:32:00-04,64
577979,Closed,459,2012-09-17 06:26:00-04,58,2012-09-17 06:34:00-04,48
577980,Closed,296,2012-09-17 06:26:00-04,38,2012-09-17 06:31:00-04,43
577981,Closed,129,2012-09-17 06:27:00-04,6,2012-09-17 06:29:00-04,23
577982,Closed,447,2012-09-17 06:27:00-04,26,2012-09-17 06:35:00-04,48
577984,Closed,520,2012-09-17 06:28:00-04,55,2012-09-17 06:36:00-04,54
577985,Closed,312,2012-09-17 06:28:00-04,38,2012-09-17 06:33:00-04,43
