id,status,duration,start_date,start_station,end_date,end_station
558583,Closed,334397,2012-09-11 18:52:00-04,12,2012-09-15 15:45:00-04,84,T01223,Casual,,,
566773,Closed,16787,2012-09-13 21:12:00-04,23,2012-09-14 01:52:00-04,48
566990,Closed,6764,2012-09-13 23:02:00-04,31,2012-09-14 00:54:00-04,20
566992,Closed,7115,2012-09-13 23:02:00-04,31,2012-09-14 01:00:00-04,20
567024,Closed,2516,2012-09-13 23:22:00-04,66,2012-09-14 00:04:00-04,66,T01131,Casual,,,
567055,Closed,1292,2012-09-13 23:45:00-04,10,2012-09-14 00:06:00-04,33,T01344,Registered,02215,1992,Female
567057,Closed,2131,2012-09-13 23:50:00-04,44,2012-09-14 00:26:00-04,32
567059,Closed,706,2012-09-13 23:51:00-04,54,2012-09-14 00:03:00-04,45
567060,Closed,1200,2012-09-13 23:53:00-04,31,2012-09-14 00:13:00-04,59
567061,Closed,1189,2012-09-13 23:54:00-04,31,2012-09-14 00:13:00-04,59
567062,Closed,1893,2012-09-13 23:54:00-04,44,2012-09-14 00:26:00-04,32
567064,Closed,757,2012-09-13 23:56:00-04,53,2012-09-14 00:09:00-04,8
567066,Closed,1151,2012-09-13 23:58:00-04,52,2012-09-14 00:18:00-04,33
567067,Closed,666,2012-09-13 23:59:00-04,62,2012-09-14 00:10:00-04,41
567068,Closed,292,2012-09-14 00:02:00-04,60,2012-09-14 00:07:00-04,58
567069,Closed,314,2012-09-14 00:03:00-04,44,2012-09-14 00:08:00-04,98
567070,Closed,1422,2012-09-14 00:06:00-04,23,2012-09-14 00:29:00-04,81
567072,Closed,528,2012-09-14 00:09:00-04,36,2012-09-14 00:18:00-04,48
567073,Closed,309,2012-09-14 00:10:00-04,41,2012-09-14 00:15:00-04,19,T01121,Registered,02215,1992,Male
567074,Closed,432,2012-09-14 00:12:00-04,32,2012-09-14 00:19:00-04,5,T01050,Casual,,,
567075,Closed,373,2012-09-14 00:13:00-04,32,2012-09-14 00:19:00-04,5,T01446,Casual,,,
567076,Closed,171,2012-09-14 00:13:00-04,64,2012-09-14 00:16:00-04,22
567077,Closed,496,2012-09-14 00:17:00-04,68,2012-09-14 00:25:00-04,78
567078,Closed,1368,2012-09-14 00:21:00-04,90,2012-09-14 00:43:00-04,9,T01057,Registered,02141,1990,Male
567079,Closed,764,2012-09-14 00:24:00-04,74,2012-09-14 00:37:00-04,67,T01147,Registered,02139,1992,Male
567080,Closed,1521,2012-09-14 00:24:00-04,60,2012-09-14 00:50:00-04,41,T01180,Registered,02135,1978,Male
567081,Closed,739,2012-09-14 00:24:00-04,74,2012-09-14 00:37:00-04,67,T01332,Registered,02139,1991,Male
567082,Closed,138,2012-09-14 00:26:00-04,53,2012-09-14 00:28:00-04,33
567083,Closed,821,2012-09-14 00:26:00-04,35,2012-09-14 00:40:00-04,33
567085,Closed,180,2012-09-14 00:29:00-04,48,2012-09-14 00:32:00-04,22
567086,Closed,525,2012-09-14 00:29:00-04,54,2012-09-14 00:38:00-04,21
567088,Closed,503,2012-09-14 00:30:00-04,32,2012-09-14 00:38:00-04,51
567089,Closed,1715,2012-09-14 00:31:00-04,52,2012-09-14 01:00:00-04,9
567090,Closed,657,2012-09-14 00:35:00-04,66,2012-09-14 00:46:00-04,10
567091,Closed,665,2012-09-14 00:35:00-04,66,2012-09-14 00:46:00-04,10
567092,Closed,912,2012-09-14 00:31:00-04,54,2012-09-14 00:47:00-04,13
567093,Closed,385,2012-09-14 00:33:00-04,4,2012-09-14 00:40:00-04,57
567094,Closed,232,2012-09-14 00:34:00-04,55,2012-09-14 00:37:00-04,45
567095,Closed,908,2012-09-14 00:34:00-04,33,2012-09-14 00:49:00-04,54,T01285,Registered,02111,1987,Female
567096,Closed,674,2012-09-14 00:35:00-04,66,2012-09-14 00:46:00-04,10
567097,Closed,40270,2012-09-14 00:34:00-04,8,2012-09-14 11:46:00-04,90
567098,Closed,486,2012-09-14 00:36:00-04,52,2012-09-14 00:45:00-04,39,T01035,Registered,02118,1982,Female
567099,Closed,746,2012-09-14 00:42:00-04,20,2012-09-14 00:54:00-04,20
567100,Closed,319,2012-09-14 00:44:00-04,39,2012-09-14 00:49:00-04,56,T01098,Registered,02119,1994,Male
567101,Closed,381,2012-09-14 00:44:00-04,3,2012-09-14 00:51:00-04,27,T01067,Casual,,,
567102,Closed,363,2012-09-14 00:46:00-04,33,2012-09-14 00:52:00-04,67
567103,Closed,989,2012-09-14 00:50:00-04,10,2012-09-14 01:07:00-04,50,T01248,Casual,,,
567104,Closed,984,2012-09-14 00:51:00-04,10,2012-09-14 01:07:00-04,50
567105,Closed,991,2012-09-14 00:50:00-04,10,2012-09-14 01:07:00-04,50,T01007,Casual,,,
567106,Closed,1878,2012-09-14 00:57:00-04,38,2012-09-14 01:29:00-04,27
567107,Closed,283,2012-09-14 01:00:00-04,67,2012-09-14 01:05:00-04,53
567108,Closed,1153,2012-09-14 01:05:00-04,59,2012-09-14 01:25:00-04,46
567109,Closed,247,2012-09-14 01:08:00-04,12,2012-09-14 01:12:00-04,57
567110,Closed,1139,2012-09-14 01:09:00-04,42,2012-09-14 01:28:00-04,9
567111,Closed,1053,2012-09-14 01:11:00-04,50,2012-09-14 01:29:00-04,54,T01248,Casual,,,
567112,Closed,1224,2012-09-14 01:09:00-04,74,2012-09-14 01:29:00-04,26
567113,Closed,969,2012-09-14 01:13:00-04,50,2012-09-14 01:29:00-04,54
567114,Closed,427,2012-09-14 01:10:00-04,20,2012-09-14 01:18:00-04,59
567115,Closed,1302,2012-09-14 01:11:00-04,47,2012-09-14 01:33:00-04,27
567116,Closed,994,2012-09-14 01:13:00-04,50,2012-09-14 01:29:00-04,54,T01002,Casual,,,
567117,Closed,1227,2012-09-14 01:13:00-04,33,2012-09-14 01:34:00-04,47
