id,status,duration,start_date,start_station,end_date,end_station
172646,Closed,1328278,2012-03-29 14:19:00-04,27,2012-04-13 23:17:00-04,62
174058,Closed,115832,2012-03-30 16:38:00-04,43,2012-04-01 00:49:00-04,54
175193,Closed,54643,2012-03-31 18:40:00-04,22,2012-04-01 09:51:00-04,22
175202,Closed,27862,2012-03-31 18:46:00-04,42,2012-04-01 02:30:00-04,41
175204,Closed,3428206,2012-03-31 18:47:00-04,42,2012-05-10 11:04:00-04,26
175259,Closed,163599,2012-03-31 20:11:00-04,25,2012-04-02 17:38:00-04,22
175282,Closed,59495,2012-03-31 21:00:00-04,41,2012-04-01 13:31:00-04,9
175350,Closed,37029,2012-03-31 23:33:00-04,24,2012-04-01 09:50:00-04,60
175358,Closed,887,2012-03-31 23:48:00-04,46,2012-04-01 00:03:00-04,46
175360,Closed,789,2012-03-31 23:59:00-04,60,2012-04-01 00:12:00-04,55
175361,Closed,795,2012-03-31 23:59:00-04,60,2012-04-01 00:13:00-04,55
175362,Closed,539,2012-04-01 00:03:00-04,36,2012-04-01 00:12:00-04,34
175363,Closed,625,2012-04-01 00:21:00-04,36,2012-04-01 00:32:00-04,32
175364,Closed,595,2012-04-01 00:23:00-04,54,2012-04-01 00:33:00-04,40
175365,Closed,579,2012-04-01 00:23:00-04,54,2012-04-01 00:33:00-04,40
175366,Closed,162,2012-04-01 00:27:00-04,46,2012-04-01 00:29:00-04,57
175367,Closed,170,2012-04-01 00:30:00-04,60,2012-04-01 00:33:00-04,58
175368,Closed,697,2012-04-01 00:31:00-04,22,2012-04-01 00:43:00-04,39
175369,Closed,387,2012-04-01 00:44:00-04,33,2012-04-01 00:50:00-04,36
175370,Closed,828,2012-04-01 00:53:00-04,4,2012-04-01 01:07:00-04,36
175371,Closed,571,2012-04-01 00:55:00-04,64,2012-04-01 01:04:00-04,50
175374,Closed,273,2012-04-01 01:00:00-04,8,2012-04-01 01:05:00-04,41
175375,Closed,810,2012-04-01 01:01:00-04,52,2012-04-01 01:15:00-04,60
175376,Closed,1362,2012-04-01 01:05:00-04,15,2012-04-01 01:28:00-04,8
175377,Closed,1246,2012-04-01 01:07:00-04,15,2012-04-01 01:28:00-04,8
175378,Closed,1536,2012-04-01 01:11:00-04,44,2012-04-01 01:36:00-04,5
175379,Closed,1416,2012-04-01 01:13:00-04,44,2012-04-01 01:37:00-04,5
175380,Closed,1655,2012-04-01 01:16:00-04,42,2012-04-01 01:44:00-04,41
175381,Closed,934,2012-04-01 01:16:00-04,36,2012-04-01 01:31:00-04,4
175382,Closed,917,2012-04-01 01:17:00-04,54,2012-04-01 01:33:00-04,25
175383,Closed,656,2012-04-01 01:28:00-04,55,2012-04-01 01:39:00-04,30
175384,Closed,782,2012-04-01 01:27:00-04,39,2012-04-01 01:40:00-04,40
175385,Closed,588,2012-04-01 01:28:00-04,55,2012-04-01 01:38:00-04,30
175386,Closed,1953,2012-04-01 01:29:00-04,23,2012-04-01 02:01:00-04,30
175387,Closed,558,2012-04-01 01:30:00-04,30,2012-04-01 01:39:00-04,5
175388,Closed,616,2012-04-01 01:30:00-04,42,2012-04-01 01:40:00-04,6
175389,Closed,556,2012-04-01 01:30:00-04,30,2012-04-01 01:39:00-04,5
175390,Closed,620,2012-04-01 01:30:00-04,42,2012-04-01 01:40:00-04,6
175391,Closed,675,2012-04-01 01:34:00-04,52,2012-04-01 01:45:00-04,41
175392,Closed,847,2012-04-01 01:36:00-04,65,2012-04-01 01:50:00-04,60
175393,Closed,833,2012-04-01 01:42:00-04,10,2012-04-01 01:56:00-04,12
175394,Closed,458,2012-04-01 01:42:00-04,30,2012-04-01 01:50:00-04,5
175395,Closed,649,2012-04-01 01:45:00-04,16,2012-04-01 01:55:00-04,63
175396,Closed,547,2012-04-01 01:45:00-04,24,2012-04-01 01:55:00-04,22
175397,Closed,676,2012-04-01 01:46:00-04,30,2012-04-01 01:57:00-04,5
175398,Closed,982,2012-04-01 01:51:00-04,25,2012-04-01 02:07:00-04,9
175399,Closed,943,2012-04-01 01:52:00-04,25,2012-04-01 02:07:00-04,9
