id,status,duration,start_date,start_station,end_date,end_station
609908,Closed,84018,2012-09-26 12:51:00-04,70,2012-09-27 12:11:00-04,74,T01345,Casual,,,
611985,Closed,3725,2012-09-26 23:21:00-04,67,2012-09-27 00:23:00-04,67
611990,Closed,3276,2012-09-26 23:29:00-04,67,2012-09-27 00:23:00-04,67
611998,Closed,2175,2012-09-26 23:34:00-04,36,2012-09-27 00:10:00-04,36
611999,Closed,2183,2012-09-26 23:34:00-04,36,2012-09-27 00:10:00-04,36
612016,Closed,923,2012-09-26 23:46:00-04,55,2012-09-27 00:01:00-04,34
612018,Closed,1942,2012-09-26 23:55:00-04,49,2012-09-27 00:27:00-04,21
612021,Closed,444,2012-09-26 23:54:00-04,67,2012-09-27 00:01:00-04,33
612024,Closed,578,2012-09-26 23:55:00-04,22,2012-09-27 00:04:00-04,47
612025,Closed,1290,2012-09-26 23:57:00-04,75,2012-09-27 00:18:00-04,94,T01344,Casual,,,
612026,Closed,559,2012-09-26 23:57:00-04,88,2012-09-27 00:07:00-04,68
612027,Closed,1229,2012-09-26 23:58:00-04,75,2012-09-27 00:18:00-04,94
612029,Closed,326,2012-09-27 00:02:00-04,14,2012-09-27 00:07:00-04,46
612030,Closed,295,2012-09-27 00:03:00-04,40,2012-09-27 00:08:00-04,22
612031,Closed,358,2012-09-27 00:05:00-04,45,2012-09-27 00:11:00-04,5,T01214,Casual,,,
612032,Closed,160,2012-09-27 00:08:00-04,23,2012-09-27 00:11:00-04,47
612033,Closed,910,2012-09-27 00:09:00-04,33,2012-09-27 00:24:00-04,91
612034,Closed,1038,2012-09-27 00:10:00-04,42,2012-09-27 00:27:00-04,21,T01036,Casual,,,
612035,Closed,465,2012-09-27 00:10:00-04,9,2012-09-27 00:17:00-04,32,T01211,Registered,02067,1956,Male
612036,Closed,445,2012-09-27 00:11:00-04,55,2012-09-27 00:18:00-04,36
612037,Closed,451,2012-09-27 00:11:00-04,55,2012-09-27 00:18:00-04,36
612038,Closed,878,2012-09-27 00:13:00-04,34,2012-09-27 00:28:00-04,66,T01111,Casual,,,
612039,Closed,756,2012-09-27 00:14:00-04,30,2012-09-27 00:26:00-04,9
612040,Closed,872,2012-09-27 00:16:00-04,72,2012-09-27 00:30:00-04,52
612041,Closed,786,2012-09-27 00:20:00-04,75,2012-09-27 00:33:00-04,89
612042,Closed,2186,2012-09-27 00:20:00-04,61,2012-09-27 00:57:00-04,12
612043,Closed,1118,2012-09-27 00:20:00-04,75,2012-09-27 00:38:00-04,94,T01137,Casual,,,
612044,Closed,2150,2012-09-27 00:20:00-04,61,2012-09-27 00:56:00-04,12
612045,Closed,635,2012-09-27 00:19:00-04,89,2012-09-27 00:30:00-04,75
612050,Closed,419,2012-09-27 00:26:00-04,87,2012-09-27 00:33:00-04,87
612053,Closed,1552,2012-09-27 00:31:00-04,26,2012-09-27 00:57:00-04,18
612054,Closed,343,2012-09-27 00:32:00-04,53,2012-09-27 00:38:00-04,67,T01316,Registered,02139,1993,Male
612055,Closed,268,2012-09-27 00:33:00-04,53,2012-09-27 00:38:00-04,67,T01121,Registered,02139,1994,Male
