id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
61664,Closed,7390291,2011-09-13 12:08:00-04,36,2011-12-08 00:00:00-05,
71569,Closed,6860474,2011-09-19 15:18:00-04,42,2011-12-08 00:00:00-05,
89161,Closed,11994458,2011-09-30 22:00:00-04,46,2012-02-16 16:48:00-05,7
89693,Closed,5826847,2011-10-01 14:25:00-04,42,2011-12-08 00:00:00-05,
90239,Closed,5811180,2011-10-01 18:46:00-04,48,2011-12-08 00:00:00-05,43
101036,Closed,5178725,2011-10-09 02:27:00-04,49,2011-12-08 00:00:00-05,
123700,Closed,3848409,2011-10-24 11:59:00-04,36,2011-12-08 00:00:00-05,
127975,Closed,151785,2011-10-28 17:19:00-04,17,2011-10-30 11:28:00-04,15
128350,Closed,122425,2011-10-29 01:53:00-04,56,2011-10-30 11:54:00-04,9
128553,Closed,140839,2011-10-29 12:04:00-04,24,2011-10-31 03:11:00-04,55
128668,Closed,35,2011-10-30 14:19:00-04,61,2011-10-30 14:20:00-04,61
128669,Closed,14499,2011-10-30 14:22:00-04,60,2011-10-30 18:23:00-04,60
128670,Closed,868,2011-10-30 14:23:00-04,36,2011-10-30 14:38:00-04,46
128671,Closed,1747,2011-10-30 14:30:00-04,60,2011-10-30 15:00:00-04,61
128673,Closed,3,2011-10-30 14:31:00-04,39,2011-10-30 14:31:00-04,39
128674,Closed,1487,2011-10-30 14:35:00-04,36,2011-10-30 15:00:00-04,35
128675,Closed,1486,2011-10-30 14:35:00-04,36,2011-10-30 15:00:00-04,35
128676,Closed,84390,2011-10-30 14:37:00-04,36,2011-10-31 14:03:00-04,47
128677,Closed,4630,2011-10-30 14:42:00-04,17,2011-10-30 16:00:00-04,47
128678,Closed,4424,2011-10-30 14:45:00-04,17,2011-10-30 15:59:00-04,47
128679,Closed,951,2011-10-30 14:45:00-04,46,2011-10-30 15:01:00-04,22
128680,Closed,548,2011-10-30 14:50:00-04,59,2011-10-30 14:59:00-04,4
128681,Closed,1023,2011-10-30 14:50:00-04,41,2011-10-30 15:07:00-04,50
128682,Closed,973,2011-10-30 14:50:00-04,41,2011-10-30 15:06:00-04,50
128683,Closed,342,2011-10-30 14:58:00-04,4,2011-10-30 15:03:00-04,42
128684,Closed,336,2011-10-30 14:58:00-04,4,2011-10-30 15:03:00-04,42
128685,Closed,1362,2011-10-30 15:02:00-04,36,2011-10-30 15:25:00-04,47
128686,Closed,289,2011-10-30 15:02:00-04,25,2011-10-30 15:07:00-04,16
128687,Closed,317,2011-10-30 15:03:00-04,16,2011-10-30 15:09:00-04,42
128689,Closed,420,2011-10-30 15:04:00-04,27,2011-10-30 15:11:00-04,46
128690,Closed,12169,2011-10-30 15:07:00-04,39,2011-10-30 18:30:00-04,50
128692,Closed,1908,2011-10-30 15:14:00-04,23,2011-10-30 15:46:00-04,36
128693,Closed,911,2011-10-30 15:12:00-04,41,2011-10-30 15:27:00-04,36
128694,Closed,1867,2011-10-30 15:14:00-04,23,2011-10-30 15:45:00-04,36
128695,Closed,155,2011-10-30 15:15:00-04,25,2011-10-30 15:18:00-04,4
128696,Closed,1519,2011-10-30 15:17:00-04,42,2011-10-30 15:42:00-04,7
128697,Closed,1483,2011-10-30 15:17:00-04,42,2011-10-30 15:42:00-04,7
128698,Closed,1398,2011-10-30 15:18:00-04,42,2011-10-30 15:42:00-04,7
128699,Closed,3841,2011-10-30 15:19:00-04,60,2011-10-30 16:23:00-04,42
128700,Closed,3849,2011-10-30 15:19:00-04,60,2011-10-30 16:24:00-04,42
128701,Closed,288,2011-10-30 15:19:00-04,25,2011-10-30 15:24:00-04,52
128702,Closed,524,2011-10-30 15:19:00-04,24,2011-10-30 15:28:00-04,47
128703,Closed,405,2011-10-30 15:23:00-04,36,2011-10-30 15:30:00-04,59
128704,Closed,411,2011-10-30 15:24:00-04,25,2011-10-30 15:31:00-04,52
128705,Closed,1117,2011-10-30 15:29:00-04,54,2011-10-30 15:48:00-04,61
128706,Closed,630,2011-10-30 15:33:00-04,16,2011-10-30 15:44:00-04,57
128707,Closed,667,2011-10-30 15:33:00-04,4,2011-10-30 15:45:00-04,24
128708,Closed,219,2011-10-30 15:34:00-04,49,2011-10-30 15:37:00-04,4
128709,Closed,468,2011-10-30 15:35:00-04,10,2011-10-30 15:43:00-04,45
128710,Closed,464,2011-10-30 15:35:00-04,16,2011-10-30 15:43:00-04,57
