id,status,duration,start_date,start_station,end_date,end_station
558583,Closed,334397,2012-09-11 18:52:00-04,12,2012-09-15 15:45:00-04,84,T01223,Casual,,,
568939,Closed,79578,2012-09-14 14:06:00-04,9,2012-09-15 12:12:00-04,41
568950,Closed,79540,2012-09-14 14:06:00-04,9,2012-09-15 12:12:00-04,41
570404,Closed,89861,2012-09-14 18:25:00-04,6,2012-09-15 19:23:00-04,69,T01305,Registered,02446,1976,Male
570577,Closed,58291,2012-09-14 19:03:00-04,42,2012-09-15 11:15:00-04,69
571172,Closed,2490,2012-09-14 23:35:00-04,46,2012-09-15 00:17:00-04,46,T01308,Casual,,,
571174,Closed,2462,2012-09-14 23:36:00-04,46,2012-09-15 00:17:00-04,46
571179,Closed,3476,2012-09-14 23:38:00-04,69,2012-09-15 00:36:00-04,78,T01271,Casual,,,
571187,Closed,1119,2012-09-14 23:45:00-04,78,2012-09-15 00:04:00-04,55
571188,Closed,1025,2012-09-14 23:45:00-04,6,2012-09-15 00:02:00-04,36,T01278,Registered,02215,1986,Female
571189,Closed,45850,2012-09-14 23:45:00-04,44,2012-09-15 12:29:00-04,49
571190,Closed,1007,2012-09-14 23:46:00-04,44,2012-09-15 00:03:00-04,52
571191,Closed,977,2012-09-14 23:47:00-04,44,2012-09-15 00:03:00-04,52,T01234,Casual,,,
571192,Closed,942,2012-09-14 23:48:00-04,44,2012-09-15 00:03:00-04,52
571193,Closed,814,2012-09-14 23:48:00-04,34,2012-09-15 00:01:00-04,58
571194,Closed,914,2012-09-14 23:48:00-04,33,2012-09-15 00:03:00-04,80
571195,Closed,1575,2012-09-14 23:50:00-04,44,2012-09-15 00:16:00-04,54
571196,Closed,1591,2012-09-14 23:50:00-04,44,2012-09-15 00:16:00-04,54,T01071,Casual,,,
571197,Closed,992,2012-09-14 23:51:00-04,75,2012-09-15 00:08:00-04,36,T01147,Casual,,,
571199,Closed,1045,2012-09-14 23:50:00-04,75,2012-09-15 00:08:00-04,36
571200,Closed,774,2012-09-14 23:50:00-04,57,2012-09-15 00:03:00-04,12,T01332,Registered,02115,1989,Male
571203,Closed,1535,2012-09-14 23:54:00-04,8,2012-09-15 00:20:00-04,90,T01110,Registered,02141,1990,Male
571204,Closed,408,2012-09-14 23:55:00-04,91,2012-09-15 00:02:00-04,95
571206,Closed,410,2012-09-14 23:56:00-04,22,2012-09-15 00:03:00-04,40
571208,Closed,881,2012-09-14 23:56:00-04,54,2012-09-15 00:10:00-04,14,T01128,Registered,02215,1989,Male
571209,Closed,1408,2012-09-14 23:57:00-04,40,2012-09-15 00:20:00-04,36,T01415,Casual,,,
571210,Closed,397,2012-09-14 23:56:00-04,22,2012-09-15 00:03:00-04,40
571211,Closed,542,2012-09-14 23:57:00-04,8,2012-09-15 00:06:00-04,76
571212,Closed,388,2012-09-14 23:57:00-04,98,2012-09-15 00:04:00-04,47,T01386,Registered,02215,1988,Male
571213,Closed,690,2012-09-14 23:59:00-04,27,2012-09-15 00:10:00-04,57
571214,Closed,339,2012-09-15 00:01:00-04,72,2012-09-15 00:07:00-04,67
571215,Closed,324,2012-09-15 00:04:00-04,89,2012-09-15 00:10:00-04,74,T01431,Casual,,,
571216,Closed,388,2012-09-15 00:04:00-04,89,2012-09-15 00:11:00-04,74
571217,Closed,217,2012-09-15 00:04:00-04,36,2012-09-15 00:08:00-04,36
571218,Closed,328,2012-09-15 00:05:00-04,12,2012-09-15 00:10:00-04,57,T01332,Registered,02115,1989,Male
571219,Closed,1151,2012-09-15 00:05:00-04,16,2012-09-15 00:24:00-04,69
571220,Closed,545,2012-09-15 00:06:00-04,69,2012-09-15 00:15:00-04,41,T01256,Registered,02134,1985,Female
571221,Closed,510,2012-09-15 00:11:00-04,88,2012-09-15 00:20:00-04,74
571222,Closed,549,2012-09-15 00:12:00-04,3,2012-09-15 00:21:00-04,5
571223,Closed,494,2012-09-15 00:13:00-04,3,2012-09-15 00:21:00-04,5
571224,Closed,694,2012-09-15 00:13:00-04,36,2012-09-15 00:25:00-04,63
571225,Closed,573,2012-09-15 00:15:00-04,73,2012-09-15 00:24:00-04,68,T01218,Casual,,,
571226,Closed,908,2012-09-15 00:14:00-04,72,2012-09-15 00:29:00-04,52
571227,Closed,597,2012-09-15 00:15:00-04,73,2012-09-15 00:24:00-04,68
571228,Closed,524,2012-09-15 00:15:00-04,73,2012-09-15 00:24:00-04,68,T01045,Casual,,,
571229,Closed,644,2012-09-15 00:17:00-04,67,2012-09-15 00:27:00-04,73,T01049,Casual,,,
571230,Closed,355,2012-09-15 00:18:00-04,21,2012-09-15 00:23:00-04,4
571231,Closed,702,2012-09-15 00:19:00-04,6,2012-09-15 00:30:00-04,67,T01152,Casual,,,
571232,Closed,1087,2012-09-15 00:19:00-04,19,2012-09-15 00:38:00-04,96
571233,Closed,446,2012-09-15 00:22:00-04,54,2012-09-15 00:29:00-04,50,T01219,Casual,,,
571234,Closed,443,2012-09-15 00:22:00-04,54,2012-09-15 00:29:00-04,50,T01106,Casual,,,
571235,Closed,695,2012-09-15 00:21:00-04,21,2012-09-15 00:33:00-04,85
571237,Closed,1131,2012-09-15 00:24:00-04,4,2012-09-15 00:43:00-04,3
571238,Closed,1676,2012-09-15 00:26:00-04,75,2012-09-15 00:54:00-04,21
571239,Closed,433,2012-09-15 00:26:00-04,19,2012-09-15 00:33:00-04,41
571240,Closed,629,2012-09-15 00:27:00-04,67,2012-09-15 00:37:00-04,61
571241,Closed,825,2012-09-15 00:29:00-04,41,2012-09-15 00:42:00-04,68
571242,Closed,321,2012-09-15 00:31:00-04,45,2012-09-15 00:36:00-04,5
571243,Closed,888,2012-09-15 00:30:00-04,26,2012-09-15 00:45:00-04,45
571244,Closed,321,2012-09-15 00:31:00-04,45,2012-09-15 00:36:00-04,5,T01284,Registered,02118,1983,Male
571245,Closed,1444,2012-09-15 00:31:00-04,10,2012-09-15 00:56:00-04,37
571246,Closed,528,2012-09-15 00:34:00-04,76,2012-09-15 00:42:00-04,89,T01059,Casual,,,
571247,Closed,654,2012-09-15 00:33:00-04,75,2012-09-15 00:44:00-04,73
571249,Closed,239,2012-09-15 00:33:00-04,6,2012-09-15 00:37:00-04,47
571250,Closed,236,2012-09-15 00:33:00-04,48,2012-09-15 00:37:00-04,22
571251,Closed,451,2012-09-15 00:35:00-04,33,2012-09-15 00:42:00-04,9,T01298,Casual,,,
571252,Closed,406,2012-09-15 00:35:00-04,33,2012-09-15 00:42:00-04,9
571253,Closed,741,2012-09-15 00:37:00-04,13,2012-09-15 00:50:00-04,55
571254,Closed,747,2012-09-15 00:39:00-04,21,2012-09-15 00:51:00-04,86
571255,Closed,817,2012-09-15 00:42:00-04,33,2012-09-15 00:55:00-04,6,T01324,Casual,,,
571256,Closed,493,2012-09-15 00:43:00-04,49,2012-09-15 00:51:00-04,39
571257,Closed,480,2012-09-15 00:43:00-04,49,2012-09-15 00:51:00-04,39
571258,Closed,546,2012-09-15 00:45:00-04,33,2012-09-15 00:55:00-04,69
571259,Closed,436,2012-09-15 00:45:00-04,27,2012-09-15 00:53:00-04,12
571260,Closed,541,2012-09-15 00:45:00-04,33,2012-09-15 00:54:00-04,69
571262,Closed,849,2012-09-15 00:47:00-04,95,2012-09-15 01:01:00-04,29
571264,Closed,842,2012-09-15 00:48:00-04,4,2012-09-15 01:02:00-04,33,T01254,Registered,02446,1987,Male
571265,Closed,625,2012-09-15 00:51:00-04,85,2012-09-15 01:02:00-04,64
571266,Closed,777,2012-09-15 00:54:00-04,75,2012-09-15 01:07:00-04,15
571267,Closed,520,2012-09-15 00:53:00-04,85,2012-09-15 01:01:00-04,64,T01322,Casual,,,
571268,Closed,577,2012-09-15 00:54:00-04,49,2012-09-15 01:04:00-04,55
571271,Closed,791,2012-09-15 00:56:00-04,74,2012-09-15 01:09:00-04,78
571272,Closed,534,2012-09-15 00:58:00-04,61,2012-09-15 01:07:00-04,60,T01433,Registered,02114,1979,Male
571273,Closed,518,2012-09-15 01:00:00-04,42,2012-09-15 01:08:00-04,53
571274,Closed,1298,2012-09-15 01:01:00-04,21,2012-09-15 01:22:00-04,23,T01105,Casual,,,
571275,Closed,1265,2012-09-15 01:01:00-04,21,2012-09-15 01:22:00-04,23
571278,Closed,390,2012-09-15 01:04:00-04,67,2012-09-15 01:10:00-04,33
571280,Closed,1129,2012-09-15 01:04:00-04,29,2012-09-15 01:23:00-04,66
571281,Closed,670,2012-09-15 01:04:00-04,24,2012-09-15 01:15:00-04,58,T01377,Registered,02113,1988,Male
571282,Closed,1119,2012-09-15 01:06:00-04,33,2012-09-15 01:25:00-04,88,T01089,Casual,,,
571283,Closed,1180,2012-09-15 01:05:00-04,33,2012-09-15 01:25:00-04,88
571284,Closed,409,2012-09-15 01:06:00-04,79,2012-09-15 01:13:00-04,76
571285,Closed,400,2012-09-15 01:07:00-04,41,2012-09-15 01:13:00-04,19
571286,Closed,606,2012-09-15 01:07:00-04,75,2012-09-15 01:17:00-04,45
571288,Closed,1308,2012-09-15 01:08:00-04,53,2012-09-15 01:29:00-04,61,T01445,Registered,02215,1990,Male
571290,Closed,1275,2012-09-15 01:08:00-04,53,2012-09-15 01:29:00-04,61
571291,Closed,476,2012-09-15 01:09:00-04,16,2012-09-15 01:17:00-04,54
571292,Closed,704,2012-09-15 01:12:00-04,6,2012-09-15 01:24:00-04,65
571294,Closed,699,2012-09-15 01:12:00-04,91,2012-09-15 01:23:00-04,84
571295,Closed,1006,2012-09-15 01:11:00-04,61,2012-09-15 01:27:00-04,65
571296,Closed,684,2012-09-15 01:12:00-04,91,2012-09-15 01:23:00-04,84,T01311,Casual,,,
571297,Closed,747,2012-09-15 01:11:00-04,20,2012-09-15 01:24:00-04,22
571298,Closed,530,2012-09-15 01:12:00-04,6,2012-09-15 01:21:00-04,65
571299,Closed,679,2012-09-15 01:12:00-04,6,2012-09-15 01:24:00-04,65,T01324,Casual,,,
571300,Closed,450,2012-09-15 01:14:00-04,6,2012-09-15 01:22:00-04,72
571301,Closed,950,2012-09-15 01:15:00-04,80,2012-09-15 01:31:00-04,3
571303,Closed,457,2012-09-15 01:15:00-04,91,2012-09-15 01:23:00-04,84
571304,Closed,415,2012-09-15 01:15:00-04,79,2012-09-15 01:22:00-04,75
571305,Closed,489,2012-09-15 01:15:00-04,49,2012-09-15 01:24:00-04,25
571307,Closed,1985,2012-09-15 01:17:00-04,49,2012-09-15 01:50:00-04,10
571308,Closed,922,2012-09-15 01:21:00-04,57,2012-09-15 01:36:00-04,84,T01151,Casual,,,
571309,Closed,281,2012-09-15 01:20:00-04,55,2012-09-15 01:25:00-04,67
571310,Closed,1017,2012-09-15 01:20:00-04,57,2012-09-15 01:37:00-04,78,T01332,Casual,,,
571311,Closed,908,2012-09-15 01:23:00-04,49,2012-09-15 01:38:00-04,12
571313,Closed,1626,2012-09-15 01:23:00-04,49,2012-09-15 01:50:00-04,10,T01327,Casual,,,
571314,Closed,587,2012-09-15 01:24:00-04,33,2012-09-15 01:33:00-04,41
571315,Closed,665,2012-09-15 01:24:00-04,81,2012-09-15 01:35:00-04,98,T01266,Casual,,,
571316,Closed,1625,2012-09-15 01:26:00-04,44,2012-09-15 01:54:00-04,61
571317,Closed,419,2012-09-15 01:27:00-04,33,2012-09-15 01:34:00-04,41
571319,Closed,3321,2012-09-15 01:30:00-04,23,2012-09-15 02:26:00-04,82,T01105,Casual,,,
571320,Closed,768,2012-09-15 01:28:00-04,14,2012-09-15 01:40:00-04,45
571321,Closed,772,2012-09-15 01:28:00-04,14,2012-09-15 01:40:00-04,45,T01128,Registered,02215,1988,Male
571322,Closed,307,2012-09-15 01:28:00-04,4,2012-09-15 01:33:00-04,59,T01408,Registered,02134,1983,Male
571323,Closed,298,2012-09-15 01:29:00-04,10,2012-09-15 01:34:00-04,19,T01315,Registered,02215,1993,Male
571324,Closed,3313,2012-09-15 01:30:00-04,23,2012-09-15 02:25:00-04,82
571325,Closed,377,2012-09-15 01:30:00-04,33,2012-09-15 01:36:00-04,19,T01254,Registered,02446,1987,Male
571326,Closed,824,2012-09-15 01:32:00-04,24,2012-09-15 01:46:00-04,25
571327,Closed,1388,2012-09-15 01:31:00-04,61,2012-09-15 01:54:00-04,53,T01445,Registered,02215,1990,Male
571328,Closed,1385,2012-09-15 01:31:00-04,61,2012-09-15 01:54:00-04,53
571330,Closed,4235,2012-09-15 01:35:00-04,54,2012-09-15 02:46:00-04,54,T01071,Casual,,,
571331,Closed,4205,2012-09-15 01:36:00-04,54,2012-09-15 02:46:00-04,54
571335,Closed,966,2012-09-15 01:37:00-04,4,2012-09-15 01:53:00-04,67,T01101,Registered,02139,1988,Male
571336,Closed,161,2012-09-15 01:37:00-04,74,2012-09-15 01:40:00-04,89
571337,Closed,772,2012-09-15 01:39:00-04,10,2012-09-15 01:52:00-04,3
571338,Closed,682,2012-09-15 01:39:00-04,64,2012-09-15 01:50:00-04,47,T01322,Casual,,,
571340,Closed,690,2012-09-15 01:42:00-04,57,2012-09-15 01:53:00-04,39
571341,Closed,798,2012-09-15 01:44:00-04,68,2012-09-15 01:57:00-04,88,T01200,Casual,,,
571342,Closed,839,2012-09-15 01:41:00-04,21,2012-09-15 01:55:00-04,9,T01208,Registered,02446,1977,Female
571343,Closed,472,2012-09-15 01:42:00-04,64,2012-09-15 01:50:00-04,47
571344,Closed,434,2012-09-15 01:43:00-04,64,2012-09-15 01:50:00-04,47
571345,Closed,505,2012-09-15 01:44:00-04,57,2012-09-15 01:53:00-04,39
571346,Closed,401,2012-09-15 01:43:00-04,64,2012-09-15 01:50:00-04,47
571347,Closed,886,2012-09-15 01:45:00-04,54,2012-09-15 02:00:00-04,39
571348,Closed,1567,2012-09-15 01:46:00-04,70,2012-09-15 02:12:00-04,66
571349,Closed,802,2012-09-15 01:46:00-04,54,2012-09-15 01:59:00-04,39
571350,Closed,344,2012-09-15 01:45:00-04,30,2012-09-15 01:51:00-04,12,T01193,Registered,02120,1990,Male
571351,Closed,644,2012-09-15 01:46:00-04,48,2012-09-15 01:57:00-04,57
571352,Closed,1479,2012-09-15 01:48:00-04,70,2012-09-15 02:12:00-04,66
571354,Closed,1739,2012-09-15 01:52:00-04,76,2012-09-15 02:21:00-04,88,T01069,Casual,,,
571355,Closed,2028,2012-09-15 01:50:00-04,68,2012-09-15 02:24:00-04,75,T01007,Casual,,,
571356,Closed,1979,2012-09-15 01:51:00-04,68,2012-09-15 02:24:00-04,75
571357,Closed,2060,2012-09-15 01:52:00-04,6,2012-09-15 02:26:00-04,82
571358,Closed,2704,2012-09-15 01:51:00-04,68,2012-09-15 02:36:00-04,75
571359,Closed,575,2012-09-15 01:53:00-04,88,2012-09-15 02:03:00-04,79
571360,Closed,723,2012-09-15 01:54:00-04,61,2012-09-15 02:06:00-04,47
571361,Closed,841,2012-09-15 01:54:00-04,68,2012-09-15 02:08:00-04,60,T01045,Casual,,,
571362,Closed,136,2012-09-15 01:55:00-04,46,2012-09-15 01:57:00-04,57
571363,Closed,528,2012-09-15 01:55:00-04,49,2012-09-15 02:04:00-04,5
571364,Closed,197760,2012-09-15 01:57:00-04,31,2012-09-17 08:53:00-04,78
571365,Closed,726,2012-09-15 01:57:00-04,16,2012-09-15 02:09:00-04,19
571366,Closed,980,2012-09-15 01:59:00-04,54,2012-09-15 02:16:00-04,30
571367,Closed,731,2012-09-15 01:57:00-04,16,2012-09-15 02:09:00-04,19,T01307,Casual,,,
571368,Closed,968,2012-09-15 01:59:00-04,54,2012-09-15 02:15:00-04,30
571370,Closed,1634,2012-09-15 01:58:00-04,66,2012-09-15 02:25:00-04,90
571371,Closed,613,2012-09-15 01:59:00-04,16,2012-09-15 02:09:00-04,19,T01050,Casual,,,
571373,Closed,334,2012-09-15 02:00:00-04,16,2012-09-15 02:06:00-04,49
571375,Closed,316,2012-09-15 02:00:00-04,16,2012-09-15 02:06:00-04,49
571376,Closed,1269,2012-09-15 02:04:00-04,61,2012-09-15 02:25:00-04,66
571377,Closed,1107,2012-09-15 02:03:00-04,55,2012-09-15 02:21:00-04,38,T01075,Registered,02113,1983,Male
571378,Closed,797,2012-09-15 02:04:00-04,86,2012-09-15 02:18:00-04,8
571379,Closed,1791,2012-09-15 02:05:00-04,79,2012-09-15 02:35:00-04,59
571380,Closed,719,2012-09-15 02:05:00-04,54,2012-09-15 02:17:00-04,57
571382,Closed,601,2012-09-15 02:06:00-04,9,2012-09-15 02:16:00-04,86,T01208,Registered,02445,1988,Male
571383,Closed,759,2012-09-15 02:06:00-04,67,2012-09-15 02:19:00-04,74,T01101,Registered,02138,1981,Female
571384,Closed,211,2012-09-15 02:06:00-04,10,2012-09-15 02:10:00-04,9,T01009,Casual,,,
571385,Closed,734,2012-09-15 02:06:00-04,59,2012-09-15 02:19:00-04,44
571386,Closed,209,2012-09-15 02:07:00-04,9,2012-09-15 02:10:00-04,10
571387,Closed,249,2012-09-15 02:07:00-04,9,2012-09-15 02:11:00-04,41,T01419,Registered,02127,1990,Male
571388,Closed,949,2012-09-15 02:07:00-04,16,2012-09-15 02:23:00-04,75
571389,Closed,1185,2012-09-15 02:07:00-04,5,2012-09-15 02:27:00-04,26,T01284,Registered,02118,1983,Male
571390,Closed,984,2012-09-15 02:09:00-04,5,2012-09-15 02:25:00-04,26
571392,Closed,688,2012-09-15 02:10:00-04,16,2012-09-15 02:21:00-04,57
571396,Closed,205,2012-09-15 02:12:00-04,6,2012-09-15 02:16:00-04,60
571397,Closed,444,2012-09-15 02:13:00-04,49,2012-09-15 02:21:00-04,44
571398,Closed,438,2012-09-15 02:13:00-04,49,2012-09-15 02:21:00-04,44
571399,Closed,6441,2012-09-15 02:15:00-04,81,2012-09-15 04:02:00-04,5
571400,Closed,6300,2012-09-15 02:17:00-04,81,2012-09-15 04:02:00-04,5
571401,Closed,1583,2012-09-15 02:15:00-04,81,2012-09-15 02:42:00-04,75
571402,Closed,440,2012-09-15 02:15:00-04,43,2012-09-15 02:22:00-04,38
571403,Closed,1567,2012-09-15 02:16:00-04,81,2012-09-15 02:42:00-04,75
571404,Closed,654,2012-09-15 02:17:00-04,74,2012-09-15 02:28:00-04,67
571405,Closed,1680,2012-09-15 02:18:00-04,60,2012-09-15 02:46:00-04,37,T01045,Casual,,,
571406,Closed,2620,2012-09-15 02:18:00-04,55,2012-09-15 03:01:00-04,46
571407,Closed,1552,2012-09-15 02:19:00-04,77,2012-09-15 02:45:00-04,46
571409,Closed,206,2012-09-15 02:21:00-04,43,2012-09-15 02:24:00-04,40,T01072,Registered,02113,1983,Male
571410,Closed,776,2012-09-15 02:22:00-04,76,2012-09-15 02:35:00-04,55
571411,Closed,279,2012-09-15 02:22:00-04,52,2012-09-15 02:27:00-04,5
571412,Closed,912,2012-09-15 02:25:00-04,58,2012-09-15 02:40:00-04,19
571413,Closed,321,2012-09-15 02:26:00-04,33,2012-09-15 02:31:00-04,67,T01085,Registered,02139,1993,Male
571414,Closed,1202,2012-09-15 02:27:00-04,75,2012-09-15 02:47:00-04,18,T01007,Casual,,,
571416,Closed,1173,2012-09-15 02:26:00-04,75,2012-09-15 02:46:00-04,18
571417,Closed,199,2012-09-15 02:27:00-04,21,2012-09-15 02:30:00-04,57
571418,Closed,517,2012-09-15 02:27:00-04,75,2012-09-15 02:36:00-04,79
571420,Closed,1514,2012-09-15 02:29:00-04,35,2012-09-15 02:54:00-04,76,T01248,Casual,,,
571421,Closed,619,2012-09-15 02:28:00-04,19,2012-09-15 02:38:00-04,5,T01328,Registered,02115,1993,Male
571422,Closed,1493,2012-09-15 02:29:00-04,35,2012-09-15 02:54:00-04,76
571423,Closed,1199,2012-09-15 02:30:00-04,68,2012-09-15 02:50:00-04,58,T01218,Casual,,,
571424,Closed,350,2012-09-15 02:32:00-04,43,2012-09-15 02:38:00-04,24
571425,Closed,2113,2012-09-15 02:35:00-04,20,2012-09-15 03:10:00-04,20
571426,Closed,395,2012-09-15 02:32:00-04,16,2012-09-15 02:38:00-04,54,T01205,Registered,02127,1988,Male
571428,Closed,661,2012-09-15 02:35:00-04,36,2012-09-15 02:46:00-04,40,T01147,Registered,02109,1987,Male
571430,Closed,426,2012-09-15 02:38:00-04,76,2012-09-15 02:45:00-04,74
571431,Closed,675,2012-09-15 02:41:00-04,50,2012-09-15 02:52:00-04,19,T01106,Registered,02215,1983,Male
571432,Closed,5130,2012-09-15 02:43:00-04,79,2012-09-15 04:08:00-04,71
571433,Closed,686,2012-09-15 02:42:00-04,4,2012-09-15 02:53:00-04,27
571434,Closed,991,2012-09-15 02:48:00-04,49,2012-09-15 03:04:00-04,56
571435,Closed,1541,2012-09-15 02:44:00-04,20,2012-09-15 03:10:00-04,20
571436,Closed,5066,2012-09-15 02:44:00-04,79,2012-09-15 04:09:00-04,71
571437,Closed,337,2012-09-15 02:46:00-04,88,2012-09-15 02:51:00-04,71,T01069,Casual,,,
571438,Closed,1516,2012-09-15 02:45:00-04,20,2012-09-15 03:10:00-04,20,T01446,Casual,,,
571440,Closed,318,2012-09-15 02:46:00-04,88,2012-09-15 02:51:00-04,71,T01089,Casual,,,
571441,Closed,1226,2012-09-15 02:51:00-04,57,2012-09-15 03:12:00-04,74
571442,Closed,635,2012-09-15 02:51:00-04,57,2012-09-15 03:02:00-04,36
571443,Closed,1021,2012-09-15 03:01:00-04,41,2012-09-15 03:18:00-04,27
571444,Closed,657,2012-09-15 03:01:00-04,59,2012-09-15 03:12:00-04,85
571445,Closed,2070,2012-09-15 03:05:00-04,22,2012-09-15 03:39:00-04,85,T01175,Casual,,,
571446,Closed,1880,2012-09-15 03:08:00-04,22,2012-09-15 03:40:00-04,85
571447,Closed,343,2012-09-15 03:17:00-04,11,2012-09-15 03:22:00-04,19,T01184,Registered,02215,1983,Female
571448,Closed,816,2012-09-15 03:34:00-04,36,2012-09-15 03:48:00-04,75
571449,Closed,192,2012-09-15 03:38:00-04,22,2012-09-15 03:42:00-04,65,T01038,Registered,02127,1978,Male
571450,Closed,1708,2012-09-15 03:39:00-04,20,2012-09-15 04:07:00-04,29
571451,Closed,919,2012-09-15 03:48:00-04,41,2012-09-15 04:04:00-04,4
571452,Closed,700,2012-09-15 04:14:00-04,39,2012-09-15 04:26:00-04,36,T01331,Casual,,,
571453,Closed,710,2012-09-15 04:14:00-04,39,2012-09-15 04:26:00-04,36,T01040,Casual,,,
571454,Closed,189,2012-09-15 04:30:00-04,55,2012-09-15 04:33:00-04,36
571455,Closed,290,2012-09-15 04:32:00-04,45,2012-09-15 04:37:00-04,5
571456,Closed,238,2012-09-15 05:06:00-04,75,2012-09-15 05:10:00-04,67
571457,Closed,866,2012-09-15 05:19:00-04,67,2012-09-15 05:33:00-04,75
571458,Closed,1090,2012-09-15 05:32:00-04,50,2012-09-15 05:51:00-04,75,T01219,Casual,,,
571459,Closed,115,2012-09-15 05:45:00-04,20,2012-09-15 05:46:00-04,40
571460,Closed,1349,2012-09-15 05:56:00-04,8,2012-09-15 06:18:00-04,23,T01360,Registered,02135,1970,Male
571463,Closed,984,2012-09-15 06:00:00-04,66,2012-09-15 06:16:00-04,55
571464,Closed,437,2012-09-15 06:01:00-04,40,2012-09-15 06:08:00-04,22
571465,Closed,2308,2012-09-15 06:04:00-04,36,2012-09-15 06:43:00-04,36
571466,Closed,2295,2012-09-15 06:04:00-04,36,2012-09-15 06:42:00-04,36,T01331,Casual,,,
571471,Closed,543,2012-09-15 06:40:00-04,60,2012-09-15 06:49:00-04,53,T01433,Registered,02215,1979,Male
571473,Closed,454,2012-09-15 06:40:00-04,87,2012-09-15 06:48:00-04,70,T01103,Registered,02138,1971,Female
571474,Closed,693,2012-09-15 06:45:00-04,85,2012-09-15 06:57:00-04,16,T01175,Registered,02127,1986,Female
571475,Closed,393,2012-09-15 06:48:00-04,45,2012-09-15 06:54:00-04,21,T01128,Registered,02215,1977,Male
571476,Closed,2569,2012-09-15 06:54:00-04,36,2012-09-15 07:37:00-04,58,T01040,Casual,,,
571477,Closed,2544,2012-09-15 06:54:00-04,36,2012-09-15 07:36:00-04,58,T01415,Casual,,,
571478,Closed,1022,2012-09-15 06:53:00-04,19,2012-09-15 07:10:00-04,65,T01050,Registered,02215,1983,Male
571479,Closed,352,2012-09-15 07:04:00-04,54,2012-09-15 07:10:00-04,26,T01071,Registered,02118,1980,Male
571480,Closed,174,2012-09-15 07:10:00-04,53,2012-09-15 07:13:00-04,55
571481,Closed,780,2012-09-15 07:17:00-04,34,2012-09-15 07:30:00-04,39
571482,Closed,311,2012-09-15 07:22:00-04,40,2012-09-15 07:28:00-04,22,T01147,Registered,02113,1984,Male
571483,Closed,234,2012-09-15 07:23:00-04,9,2012-09-15 07:27:00-04,10,T01298,Casual,,,
571484,Closed,833,2012-09-15 07:25:00-04,76,2012-09-15 07:39:00-04,42
571487,Closed,461,2012-09-15 07:35:00-04,26,2012-09-15 07:42:00-04,59
571488,Closed,653,2012-09-15 07:37:00-04,52,2012-09-15 07:47:00-04,11,T01234,Registered,02116,1982,Male
571489,Closed,773,2012-09-15 07:37:00-04,39,2012-09-15 07:50:00-04,6
