id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31067,Closed,2923342,2011-08-22 16:59:00-04,24,2011-09-25 13:01:00-04,44
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
37863,Closed,2645243,2011-08-26 22:27:00-04,45,2011-09-26 13:15:00-04,45
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
59550,Closed,114604,2011-09-11 22:44:00-04,33,2011-09-13 06:34:00-04,46
59952,Closed,170661,2011-09-12 09:48:00-04,49,2011-09-14 09:12:00-04,49
60036,Closed,46752,2011-09-12 11:21:00-04,20,2011-09-13 00:20:00-04,18
60596,Closed,76071,2011-09-12 17:11:00-04,54,2011-09-13 14:19:00-04,54
60599,Closed,76028,2011-09-12 17:11:00-04,54,2011-09-13 14:18:00-04,54
60805,Closed,64848,2011-09-12 18:22:00-04,54,2011-09-13 12:22:00-04,54
61109,Closed,10920,2011-09-12 22:17:00-04,47,2011-09-13 01:19:00-04,44
61111,Closed,10987,2011-09-12 22:16:00-04,47,2011-09-13 01:20:00-04,44
61133,Closed,38360,2011-09-12 22:54:00-04,20,2011-09-13 09:33:00-04,4
61135,Closed,11876,2011-09-12 22:57:00-04,38,2011-09-13 02:15:00-04,48
61136,Closed,11863,2011-09-12 22:57:00-04,38,2011-09-13 02:15:00-04,48
61138,Closed,9830,2011-09-12 23:07:00-04,33,2011-09-13 01:51:00-04,33
61148,Closed,2023,2011-09-12 23:30:00-04,36,2011-09-13 00:03:00-04,55
61159,Closed,590,2011-09-12 23:57:00-04,55,2011-09-13 00:07:00-04,13
61160,Closed,592,2011-09-12 23:57:00-04,55,2011-09-13 00:07:00-04,13
61161,Closed,291,2011-09-12 23:59:00-04,9,2011-09-13 00:04:00-04,56
61162,Closed,162,2011-09-13 00:04:00-04,46,2011-09-13 00:07:00-04,57
61163,Closed,537,2011-09-13 00:20:00-04,35,2011-09-13 00:29:00-04,4
61164,Closed,53559,2011-09-13 00:23:00-04,18,2011-09-13 15:16:00-04,52
61165,Closed,395,2011-09-13 00:30:00-04,43,2011-09-13 00:36:00-04,38
61166,Closed,362,2011-09-13 00:48:00-04,35,2011-09-13 00:54:00-04,40
61167,Closed,30492,2011-09-13 00:50:00-04,46,2011-09-13 09:18:00-04,41
61168,Closed,1042,2011-09-13 00:51:00-04,13,2011-09-13 01:08:00-04,9
61169,Closed,710,2011-09-13 01:09:00-04,14,2011-09-13 01:21:00-04,41
61170,Closed,57820,2011-09-13 01:30:00-04,44,2011-09-13 17:33:00-04,22
61171,Closed,203,2011-09-13 02:04:00-04,44,2011-09-13 02:07:00-04,40
61172,Closed,565,2011-09-13 02:23:00-04,52,2011-09-13 02:32:00-04,52
61173,Closed,507,2011-09-13 02:24:00-04,52,2011-09-13 02:32:00-04,52
61174,Closed,577,2011-09-13 02:25:00-04,22,2011-09-13 02:34:00-04,36
61175,Closed,176,2011-09-13 02:27:00-04,33,2011-09-13 02:30:00-04,56
61176,Closed,39407,2011-09-13 02:50:00-04,8,2011-09-13 13:47:00-04,8
61177,Closed,215,2011-09-13 04:58:00-04,46,2011-09-13 05:01:00-04,16
61179,Closed,394,2011-09-13 05:41:00-04,39,2011-09-13 05:47:00-04,36
61180,Closed,212,2011-09-13 05:42:00-04,32,2011-09-13 05:45:00-04,11
61181,Closed,1726,2011-09-13 05:49:00-04,57,2011-09-13 06:17:00-04,57
61182,Closed,18463,2011-09-13 05:52:00-04,10,2011-09-13 10:59:00-04,10
61183,Closed,84,2011-09-13 06:05:00-04,33,2011-09-13 06:07:00-04,33
61184,Closed,803,2011-09-13 06:07:00-04,56,2011-09-13 06:20:00-04,35
61185,Closed,329,2011-09-13 06:07:00-04,53,2011-09-13 06:13:00-04,36
61186,Closed,1107,2011-09-13 06:07:00-04,33,2011-09-13 06:26:00-04,9
61187,Closed,480,2011-09-13 06:08:00-04,16,2011-09-13 06:16:00-04,13
61189,Closed,123,2011-09-13 06:12:00-04,52,2011-09-13 06:14:00-04,21
61190,Closed,425,2011-09-13 06:17:00-04,22,2011-09-13 06:24:00-04,20
61192,Closed,345,2011-09-13 06:19:00-04,36,2011-09-13 06:24:00-04,53
61195,Closed,453,2011-09-13 06:20:00-04,38,2011-09-13 06:27:00-04,48
61196,Closed,674,2011-09-13 06:20:00-04,38,2011-09-13 06:31:00-04,49
61197,Closed,793,2011-09-13 06:21:00-04,16,2011-09-13 06:34:00-04,11
61198,Closed,749,2011-09-13 06:26:00-04,59,2011-09-13 06:38:00-04,48
