id,status,duration,start_date,start_station,end_date,end_station
448883,Closed,563800,2012-08-07 20:16:00-04,36,2012-08-14 08:53:00-04,74,T01322,Casual,,,
461012,Closed,179007,2012-08-12 05:20:00-04,23,2012-08-14 07:04:00-04,81,T01243,Casual,,,
461013,Closed,382403,2012-08-12 05:22:00-04,23,2012-08-16 15:35:00-04,74
463017,Closed,143587,2012-08-12 18:07:00-04,47,2012-08-14 10:00:00-04,58
467085,Closed,1342,2012-08-13 23:41:00-04,55,2012-08-14 00:04:00-04,18
467086,Closed,1693,2012-08-13 23:44:00-04,36,2012-08-14 00:12:00-04,37
467090,Closed,1029,2012-08-13 23:56:00-04,41,2012-08-14 00:14:00-04,55
467091,Closed,1740,2012-08-13 23:53:00-04,41,2012-08-14 00:22:00-04,55
467093,Closed,1064,2012-08-13 23:56:00-04,41,2012-08-14 00:14:00-04,55,T01373,Casual,,,
467097,Closed,1526,2012-08-13 23:56:00-04,41,2012-08-14 00:21:00-04,55
467099,Closed,816,2012-08-13 23:56:00-04,80,2012-08-14 00:09:00-04,57,T01217,Registered,02130,1978,Male
467100,Closed,1519,2012-08-13 23:59:00-04,41,2012-08-14 00:24:00-04,55
467101,Closed,1350,2012-08-13 23:59:00-04,41,2012-08-14 00:21:00-04,55
467102,Closed,483,2012-08-13 23:59:00-04,22,2012-08-14 00:07:00-04,36
467103,Closed,677,2012-08-14 00:00:00-04,12,2012-08-14 00:11:00-04,75,T01133,Registered,02118,1989,Male
467104,Closed,976,2012-08-14 00:02:00-04,59,2012-08-14 00:18:00-04,47
467105,Closed,962,2012-08-14 00:02:00-04,59,2012-08-14 00:18:00-04,47
467106,Closed,629,2012-08-14 00:04:00-04,75,2012-08-14 00:14:00-04,74,T01335,Casual,,,
467107,Closed,1818,2012-08-14 00:03:00-04,22,2012-08-14 00:34:00-04,18
467108,Closed,1262,2012-08-14 00:08:00-04,46,2012-08-14 00:29:00-04,77
467109,Closed,769,2012-08-14 00:18:00-04,11,2012-08-14 00:31:00-04,66,T01298,Registered,02134,1983,Male
467110,Closed,712,2012-08-14 00:21:00-04,44,2012-08-14 00:33:00-04,44
467111,Closed,891,2012-08-14 00:20:00-04,22,2012-08-14 00:35:00-04,52
467112,Closed,722,2012-08-14 00:24:00-04,55,2012-08-14 00:36:00-04,12
467113,Closed,1837,2012-08-14 00:26:00-04,76,2012-08-14 00:57:00-04,83
467114,Closed,501,2012-08-14 00:27:00-04,74,2012-08-14 00:35:00-04,75
467115,Closed,1482,2012-08-14 00:29:00-04,74,2012-08-14 00:53:00-04,76,T01147,Casual,,,
467116,Closed,1768,2012-08-14 00:27:00-04,76,2012-08-14 00:57:00-04,83
467117,Closed,1010,2012-08-14 00:29:00-04,26,2012-08-14 00:46:00-04,12,T01295,Casual,,,
467118,Closed,1621,2012-08-14 00:32:00-04,79,2012-08-14 00:59:00-04,43,T01111,Registered,02110,1982,Male
467119,Closed,1640,2012-08-14 00:32:00-04,79,2012-08-14 00:59:00-04,43,T01108,Registered,02110,1980,Female
467120,Closed,409,2012-08-14 00:36:00-04,58,2012-08-14 00:43:00-04,36
467121,Closed,131,2012-08-14 00:15:00-04,36,2012-08-14 00:17:00-04,61
467122,Closed,398,2012-08-14 00:36:00-04,58,2012-08-14 00:43:00-04,36,T01085,Casual,,,
467123,Closed,833,2012-08-14 00:40:00-04,59,2012-08-14 00:54:00-04,56
467124,Closed,538,2012-08-14 00:41:00-04,33,2012-08-14 00:50:00-04,41,T01009,Registered,02134,1990,Male
467125,Closed,1070,2012-08-14 00:49:00-04,47,2012-08-14 01:07:00-04,63
467126,Closed,491,2012-08-14 00:49:00-04,63,2012-08-14 00:57:00-04,36,T01021,Registered,02116,1985,Male
467127,Closed,901,2012-08-14 00:51:00-04,45,2012-08-14 01:06:00-04,33
467128,Closed,798,2012-08-14 00:51:00-04,45,2012-08-14 01:04:00-04,33
467129,Closed,211,2012-08-14 00:56:00-04,25,2012-08-14 00:59:00-04,21
467130,Closed,584,2012-08-14 01:01:00-04,41,2012-08-14 01:10:00-04,33
467131,Closed,1902,2012-08-14 01:01:00-04,5,2012-08-14 01:33:00-04,5,T01045,Casual,,,
467132,Closed,1851,2012-08-14 01:02:00-04,5,2012-08-14 01:33:00-04,5
467133,Closed,724,2012-08-14 01:04:00-04,44,2012-08-14 01:16:00-04,50
467134,Closed,712,2012-08-14 01:04:00-04,44,2012-08-14 01:16:00-04,50
467135,Closed,475,2012-08-14 01:05:00-04,60,2012-08-14 01:13:00-04,36
467136,Closed,1599,2012-08-14 01:14:00-04,81,2012-08-14 01:40:00-04,56
467137,Closed,461,2012-08-14 01:14:00-04,33,2012-08-14 01:22:00-04,69
467138,Closed,890,2012-08-14 01:16:00-04,6,2012-08-14 01:31:00-04,61,T01144,Casual,,,
467139,Closed,899,2012-08-14 01:20:00-04,57,2012-08-14 01:35:00-04,33,T01025,Casual,,,
467140,Closed,778,2012-08-14 01:21:00-04,57,2012-08-14 01:33:00-04,33
467141,Closed,33896,2012-08-14 01:25:00-04,16,2012-08-14 10:50:00-04,16
467142,Closed,225,2012-08-14 01:28:00-04,46,2012-08-14 01:32:00-04,53
467143,Closed,368,2012-08-14 01:42:00-04,60,2012-08-14 01:49:00-04,20
467144,Closed,949,2012-08-14 01:52:00-04,76,2012-08-14 02:08:00-04,16
467145,Closed,845,2012-08-14 02:09:00-04,22,2012-08-14 02:23:00-04,19
467147,Closed,947,2012-08-14 02:12:00-04,42,2012-08-14 02:28:00-04,67
467149,Closed,1754,2012-08-14 02:44:00-04,30,2012-08-14 03:13:00-04,41,T01143,Registered,02134,1988,Male
467150,Closed,1408,2012-08-14 02:49:00-04,33,2012-08-14 03:13:00-04,60
467151,Closed,1402,2012-08-14 02:50:00-04,33,2012-08-14 03:13:00-04,60,T01325,Registered,02114,1983,Female
467152,Closed,492,2012-08-14 02:59:00-04,74,2012-08-14 03:07:00-04,76,T01160,Registered,02145,1974,Male
467153,Closed,487,2012-08-14 03:10:00-04,53,2012-08-14 03:19:00-04,13
467154,Closed,497,2012-08-14 03:16:00-04,76,2012-08-14 03:24:00-04,79,T01160,Registered,02145,1974,Male
467155,Closed,238,2012-08-14 03:33:00-04,45,2012-08-14 03:37:00-04,5
467156,Closed,413,2012-08-14 03:58:00-04,75,2012-08-14 04:05:00-04,53
467157,Closed,768,2012-08-14 03:59:00-04,76,2012-08-14 04:12:00-04,36
467158,Closed,659,2012-08-14 04:15:00-04,46,2012-08-14 04:26:00-04,60
467159,Closed,445,2012-08-14 04:41:00-04,53,2012-08-14 04:48:00-04,75
467160,Closed,341,2012-08-14 04:45:00-04,40,2012-08-14 04:50:00-04,6,T01235,Casual,,,
467161,Closed,232,2012-08-14 05:24:00-04,4,2012-08-14 05:28:00-04,25
467162,Closed,436,2012-08-14 05:28:00-04,45,2012-08-14 05:35:00-04,36
467163,Closed,387,2012-08-14 05:28:00-04,57,2012-08-14 05:34:00-04,50,T01217,Registered,03051,1961,Male
467164,Closed,192,2012-08-14 05:31:00-04,25,2012-08-14 05:34:00-04,16
467165,Closed,1157,2012-08-14 05:36:00-04,74,2012-08-14 05:55:00-04,14,T01335,Registered,02115,1987,Male
467166,Closed,443,2012-08-14 05:36:00-04,60,2012-08-14 05:44:00-04,36
467167,Closed,906,2012-08-14 05:38:00-04,19,2012-08-14 05:53:00-04,41,T01398,Casual,,,
467168,Closed,885,2012-08-14 05:38:00-04,19,2012-08-14 05:53:00-04,41
467169,Closed,504,2012-08-14 05:39:00-04,22,2012-08-14 05:47:00-04,50
467170,Closed,347,2012-08-14 05:39:00-04,51,2012-08-14 05:45:00-04,21,T01102,Registered,02118,1972,Male
467171,Closed,598,2012-08-14 05:40:00-04,57,2012-08-14 05:50:00-04,48
467172,Closed,220,2012-08-14 05:44:00-04,43,2012-08-14 05:48:00-04,22,T01111,Registered,02111,1962,Male
467173,Closed,560,2012-08-14 05:45:00-04,53,2012-08-14 05:54:00-04,60
467174,Closed,184,2012-08-14 05:50:00-04,47,2012-08-14 05:53:00-04,48
467175,Closed,343,2012-08-14 05:50:00-04,39,2012-08-14 05:56:00-04,16
467176,Closed,398,2012-08-14 05:52:00-04,47,2012-08-14 05:59:00-04,22
467177,Closed,219,2012-08-14 05:55:00-04,58,2012-08-14 05:58:00-04,36
467178,Closed,934,2012-08-14 05:55:00-04,61,2012-08-14 06:11:00-04,43,T01342,Registered,02116,1946,Male
