id,status,duration,start_date,start_station,end_date,end_station
615845,Closed,656,2012-09-28 03:21:00-04,61,2012-09-28 03:32:00-04,62,T01113,Casual,,,
615846,Closed,1914,2012-09-28 03:51:00-04,89,2012-09-28 04:23:00-04,89,T01125,Casual,,,
615847,Closed,1874,2012-09-28 03:51:00-04,89,2012-09-28 04:22:00-04,89,T01101,Casual,,,
615848,Closed,349,2012-09-28 04:11:00-04,88,2012-09-28 04:17:00-04,71
615849,Closed,181,2012-09-28 04:30:00-04,16,2012-09-28 04:33:00-04,25
615850,Closed,329,2012-09-28 05:09:00-04,81,2012-09-28 05:15:00-04,16,T01056,Registered,02111,1958,Male
615851,Closed,457,2012-09-28 05:22:00-04,57,2012-09-28 05:30:00-04,30
615853,Closed,728,2012-09-28 05:25:00-04,94,2012-09-28 05:38:00-04,47
615854,Closed,1044,2012-09-28 05:30:00-04,60,2012-09-28 05:47:00-04,11,T01182,Casual,,,
615855,Closed,485,2012-09-28 05:30:00-04,58,2012-09-28 05:38:00-04,22,T01405,Registered,02116,1975,Female
615856,Closed,424,2012-09-28 05:37:00-04,22,2012-09-28 05:44:00-04,50,T01130,Registered,02537,1956,Male
615857,Closed,361,2012-09-28 05:39:00-04,96,2012-09-28 05:45:00-04,70
615858,Closed,1032,2012-09-28 05:44:00-04,98,2012-09-28 06:01:00-04,81
615859,Closed,425,2012-09-28 05:45:00-04,6,2012-09-28 05:52:00-04,22,T01233,Registered,02114,1980,Male
615861,Closed,333,2012-09-28 05:50:00-04,57,2012-09-28 05:56:00-04,4
615862,Closed,236,2012-09-28 05:53:00-04,58,2012-09-28 05:57:00-04,36,T01214,Registered,02108,1983,Female
615863,Closed,796,2012-09-28 05:56:00-04,52,2012-09-28 06:09:00-04,48,T01399,Casual,,,
615864,Closed,593,2012-09-28 05:58:00-04,47,2012-09-28 06:08:00-04,21,T01094,Registered,02113,1983,Male
615865,Closed,607,2012-09-28 05:59:00-04,33,2012-09-28 06:09:00-04,80
615866,Closed,288,2012-09-28 06:00:00-04,40,2012-09-28 06:05:00-04,48
615867,Closed,329,2012-09-28 06:01:00-04,4,2012-09-28 06:06:00-04,22
615868,Closed,793,2012-09-28 06:04:00-04,25,2012-09-28 06:18:00-04,11,T01343,Registered,02118,1980,Female
615870,Closed,904,2012-09-28 06:06:00-04,61,2012-09-28 06:21:00-04,69
615871,Closed,540,2012-09-28 06:08:00-04,53,2012-09-28 06:17:00-04,14
615872,Closed,442,2012-09-28 06:11:00-04,98,2012-09-28 06:18:00-04,35
615873,Closed,490,2012-09-28 06:12:00-04,60,2012-09-28 06:20:00-04,36
615874,Closed,433,2012-09-28 06:12:00-04,58,2012-09-28 06:19:00-04,48
615875,Closed,263,2012-09-28 06:13:00-04,47,2012-09-28 06:18:00-04,48
615876,Closed,395,2012-09-28 06:17:00-04,40,2012-09-28 06:23:00-04,81
615877,Closed,1391,2012-09-28 06:18:00-04,80,2012-09-28 06:41:00-04,30
615878,Closed,275,2012-09-28 06:19:00-04,12,2012-09-28 06:23:00-04,3,T01045,Registered,02136,1977,Female
615879,Closed,830,2012-09-28 06:19:00-04,38,2012-09-28 06:33:00-04,64
615880,Closed,960,2012-09-28 06:19:00-04,26,2012-09-28 06:35:00-04,14
615881,Closed,205,2012-09-28 06:21:00-04,25,2012-09-28 06:24:00-04,16,T01180,Registered,02118,1984,Female
615884,Closed,270,2012-09-28 06:25:00-04,6,2012-09-28 06:30:00-04,48,T01331,Registered,02114,1989,Male
615885,Closed,251,2012-09-28 06:25:00-04,57,2012-09-28 06:30:00-04,13
615886,Closed,816,2012-09-28 06:29:00-04,85,2012-09-28 06:42:00-04,54
615887,Closed,130,2012-09-28 06:29:00-04,57,2012-09-28 06:31:00-04,57
615888,Closed,389,2012-09-28 06:29:00-04,38,2012-09-28 06:35:00-04,64
615889,Closed,1678,2012-09-28 06:32:00-04,57,2012-09-28 07:00:00-04,57,T01193,Registered,02118,1954,Female
