id,status,duration,start_date,start_station,end_date,end_station
499008,Closed,18286,2012-08-23 18:57:00-04,32,2012-08-24 00:01:00-04,32,T01339,Casual,,,
499615,Closed,1832,2012-08-23 23:34:00-04,66,2012-08-24 00:05:00-04,66
499616,Closed,1825,2012-08-23 23:34:00-04,66,2012-08-24 00:04:00-04,66,T01233,Casual,,,
499621,Closed,1509,2012-08-23 23:36:00-04,12,2012-08-24 00:01:00-04,12
499626,Closed,959,2012-08-23 23:46:00-04,34,2012-08-24 00:02:00-04,44
499627,Closed,955,2012-08-23 23:46:00-04,34,2012-08-24 00:02:00-04,44,T01114,Registered,02127,1988,Male
499629,Closed,858,2012-08-23 23:48:00-04,34,2012-08-24 00:02:00-04,44
499631,Closed,1343,2012-08-23 23:53:00-04,74,2012-08-24 00:16:00-04,55
499632,Closed,671,2012-08-23 23:52:00-04,60,2012-08-24 00:03:00-04,26,T01169,Registered,02118,1982,Male
499634,Closed,990,2012-08-23 23:52:00-04,34,2012-08-24 00:09:00-04,44,T01209,Registered,02113,1965,Male
499635,Closed,855,2012-08-23 23:53:00-04,33,2012-08-24 00:07:00-04,74
499636,Closed,753,2012-08-23 23:53:00-04,33,2012-08-24 00:06:00-04,60
499637,Closed,955,2012-08-24 00:00:00-04,74,2012-08-24 00:16:00-04,55
499638,Closed,705,2012-08-23 23:58:00-04,33,2012-08-24 00:10:00-04,75,T01249,Casual,,,
499639,Closed,1007,2012-08-23 23:59:00-04,74,2012-08-24 00:15:00-04,55
499640,Closed,825,2012-08-23 23:59:00-04,48,2012-08-24 00:13:00-04,36
499641,Closed,368,2012-08-24 00:00:00-04,60,2012-08-24 00:06:00-04,47,T01223,Registered,02246,1987,Male
499642,Closed,643,2012-08-24 00:01:00-04,45,2012-08-24 00:11:00-04,55,T01365,Casual,,,
499643,Closed,362,2012-08-24 00:02:00-04,46,2012-08-24 00:08:00-04,13
499644,Closed,2162,2012-08-24 00:04:00-04,38,2012-08-24 00:40:00-04,66,T01180,Casual,,,
499645,Closed,274,2012-08-24 00:07:00-04,45,2012-08-24 00:11:00-04,55,T01445,Casual,,,
499646,Closed,936,2012-08-24 00:11:00-04,64,2012-08-24 00:26:00-04,16,T01381,Casual,,,
499647,Closed,897,2012-08-24 00:11:00-04,64,2012-08-24 00:26:00-04,16,T01175,Casual,,,
499648,Closed,1027,2012-08-24 00:16:00-04,10,2012-08-24 00:33:00-04,71,T01234,Casual,,,
499649,Closed,798,2012-08-24 00:19:00-04,23,2012-08-24 00:33:00-04,44
499650,Closed,619,2012-08-24 00:24:00-04,49,2012-08-24 00:34:00-04,85
499652,Closed,673,2012-08-24 00:32:00-04,53,2012-08-24 00:43:00-04,76
499653,Closed,377,2012-08-24 00:30:00-04,74,2012-08-24 00:36:00-04,79
499655,Closed,517,2012-08-24 00:34:00-04,8,2012-08-24 00:43:00-04,32
499656,Closed,306,2012-08-24 00:42:00-04,47,2012-08-24 00:47:00-04,54
499657,Closed,1879,2012-08-24 00:45:00-04,84,2012-08-24 01:16:00-04,84
499658,Closed,1860,2012-08-24 00:45:00-04,84,2012-08-24 01:16:00-04,84
499659,Closed,1096,2012-08-24 00:51:00-04,44,2012-08-24 01:09:00-04,52,T01329,Casual,,,
499660,Closed,1165,2012-08-24 00:51:00-04,44,2012-08-24 01:10:00-04,52
499661,Closed,356,2012-08-24 00:52:00-04,32,2012-08-24 00:58:00-04,30,T01339,Registered,02120,,Male
499663,Closed,511,2012-08-24 00:58:00-04,80,2012-08-24 01:06:00-04,53
499664,Closed,1316,2012-08-24 01:05:00-04,22,2012-08-24 01:27:00-04,79
499665,Closed,2121,2012-08-24 01:05:00-04,34,2012-08-24 01:40:00-04,68
499666,Closed,2143,2012-08-24 01:05:00-04,34,2012-08-24 01:41:00-04,68
499667,Closed,1295,2012-08-24 01:06:00-04,22,2012-08-24 01:27:00-04,79,T01367,Casual,,,
499668,Closed,1456,2012-08-24 01:07:00-04,41,2012-08-24 01:31:00-04,38,T01211,Registered,02113,1983,Male
499669,Closed,1083,2012-08-24 01:08:00-04,66,2012-08-24 01:26:00-04,58
499670,Closed,1126,2012-08-24 01:08:00-04,63,2012-08-24 01:27:00-04,76
499671,Closed,266,2012-08-24 01:14:00-04,22,2012-08-24 01:18:00-04,65
499672,Closed,1356,2012-08-24 01:20:00-04,20,2012-08-24 01:43:00-04,68
499673,Closed,533,2012-08-24 01:25:00-04,22,2012-08-24 01:34:00-04,16
499674,Closed,1472,2012-08-24 01:31:00-04,79,2012-08-24 01:55:00-04,79,T01241,Casual,,,
499675,Closed,1839,2012-08-24 01:31:00-04,79,2012-08-24 02:01:00-04,79,T01367,Casual,,,
499676,Closed,3108,2012-08-24 01:34:00-04,50,2012-08-24 02:25:00-04,50
499678,Closed,690,2012-08-24 01:37:00-04,16,2012-08-24 01:49:00-04,25,T01175,Registered,02118,1979,Male
499679,Closed,923,2012-08-24 01:40:00-04,44,2012-08-24 01:55:00-04,19
499680,Closed,639,2012-08-24 01:44:00-04,36,2012-08-24 01:54:00-04,30
499682,Closed,610,2012-08-24 02:00:00-04,80,2012-08-24 02:10:00-04,78
499683,Closed,1077,2012-08-24 02:01:00-04,33,2012-08-24 02:19:00-04,74,T01195,Casual,,,
499684,Closed,940,2012-08-24 02:03:00-04,33,2012-08-24 02:19:00-04,74,T01334,Casual,,,
499685,Closed,956,2012-08-24 02:03:00-04,33,2012-08-24 02:19:00-04,74,T01323,Casual,,,
499688,Closed,715,2012-08-24 02:08:00-04,70,2012-08-24 02:20:00-04,8
499689,Closed,1071,2012-08-24 02:14:00-04,49,2012-08-24 02:31:00-04,84
499690,Closed,1080,2012-08-24 02:13:00-04,49,2012-08-24 02:31:00-04,84
499691,Closed,1801,2012-08-24 02:18:00-04,33,2012-08-24 02:48:00-04,66
499692,Closed,809,2012-08-24 02:18:00-04,42,2012-08-24 02:31:00-04,75
499693,Closed,1360,2012-08-24 02:24:00-04,44,2012-08-24 02:46:00-04,56
499696,Closed,428,2012-08-24 02:42:00-04,32,2012-08-24 02:49:00-04,86
499697,Closed,691,2012-08-24 02:50:00-04,41,2012-08-24 03:01:00-04,55
499698,Closed,751,2012-08-24 03:22:00-04,63,2012-08-24 03:35:00-04,21
499699,Closed,497,2012-08-24 03:27:00-04,43,2012-08-24 03:35:00-04,63
499700,Closed,521,2012-08-24 03:37:00-04,21,2012-08-24 03:46:00-04,67,T01130,Registered,02145,1974,Male
499701,Closed,787,2012-08-24 03:42:00-04,76,2012-08-24 03:55:00-04,36
499702,Closed,1274,2012-08-24 04:18:00-04,66,2012-08-24 04:39:00-04,23
499703,Closed,515,2012-08-24 04:37:00-04,55,2012-08-24 04:45:00-04,19
499704,Closed,1129,2012-08-24 04:46:00-04,41,2012-08-24 05:05:00-04,23
499705,Closed,644,2012-08-24 05:01:00-04,26,2012-08-24 05:12:00-04,60
499706,Closed,509,2012-08-24 05:10:00-04,76,2012-08-24 05:18:00-04,29
499708,Closed,399,2012-08-24 05:29:00-04,25,2012-08-24 05:35:00-04,50
499709,Closed,533,2012-08-24 05:36:00-04,60,2012-08-24 05:45:00-04,36
499711,Closed,748,2012-08-24 05:38:00-04,85,2012-08-24 05:51:00-04,50,T01432,Casual,,,
499712,Closed,701,2012-08-24 05:38:00-04,85,2012-08-24 05:50:00-04,21
499713,Closed,767,2012-08-24 05:41:00-04,19,2012-08-24 05:54:00-04,35
499714,Closed,449,2012-08-24 05:50:00-04,21,2012-08-24 05:57:00-04,30
499715,Closed,558,2012-08-24 05:51:00-04,57,2012-08-24 06:00:00-04,19
499716,Closed,983,2012-08-24 05:52:00-04,30,2012-08-24 06:09:00-04,10
499717,Closed,1359,2012-08-24 05:53:00-04,72,2012-08-24 06:15:00-04,69
499718,Closed,245,2012-08-24 05:55:00-04,4,2012-08-24 05:59:00-04,42
499719,Closed,422,2012-08-24 05:57:00-04,53,2012-08-24 06:04:00-04,42
499720,Closed,314,2012-08-24 05:57:00-04,20,2012-08-24 06:02:00-04,38
499721,Closed,839,2012-08-24 05:59:00-04,19,2012-08-24 06:13:00-04,58
499722,Closed,210,2012-08-24 05:59:00-04,35,2012-08-24 06:03:00-04,44
