id,status,duration,start_date,start_station,end_date,end_station
589644,Closed,351152,2012-09-20 14:28:00-04,22,2012-09-24 16:01:00-04,
600423,Closed,64366,2012-09-23 16:24:00-04,84,2012-09-24 10:17:00-04,70
601419,Closed,3287,2012-09-23 23:08:00-04,41,2012-09-24 00:03:00-04,48,T01141,Casual,,,
601430,Closed,2332,2012-09-23 23:24:00-04,41,2012-09-24 00:03:00-04,48
601431,Closed,2363,2012-09-23 23:23:00-04,41,2012-09-24 00:03:00-04,48
601441,Closed,1244,2012-09-23 23:43:00-04,60,2012-09-24 00:04:00-04,41,T01057,Casual,,,
601442,Closed,510,2012-09-23 23:52:00-04,55,2012-09-24 00:01:00-04,42,T01398,Registered,02116,1991,Male
601443,Closed,748,2012-09-23 23:54:00-04,22,2012-09-24 00:07:00-04,46
601444,Closed,979,2012-09-23 23:54:00-04,57,2012-09-24 00:11:00-04,69,T01178,Registered,02446,1988,Male
601445,Closed,1362,2012-09-23 23:55:00-04,60,2012-09-24 00:18:00-04,61
601446,Closed,1881,2012-09-23 23:57:00-04,60,2012-09-24 00:28:00-04,60,T01272,Casual,,,
601447,Closed,412,2012-09-23 23:59:00-04,73,2012-09-24 00:06:00-04,79
601448,Closed,183,2012-09-24 00:00:00-04,56,2012-09-24 00:03:00-04,51
601449,Closed,658,2012-09-24 00:01:00-04,23,2012-09-24 00:12:00-04,55,T01322,Casual,,,
601450,Closed,777,2012-09-24 00:02:00-04,24,2012-09-24 00:15:00-04,47
601452,Closed,168,2012-09-24 00:02:00-04,55,2012-09-24 00:05:00-04,53
601453,Closed,452,2012-09-24 00:05:00-04,78,2012-09-24 00:13:00-04,76
601454,Closed,713,2012-09-24 00:04:00-04,40,2012-09-24 00:16:00-04,36
601455,Closed,488,2012-09-24 00:07:00-04,24,2012-09-24 00:15:00-04,47,T01146,Casual,,,
601456,Closed,1204,2012-09-24 00:08:00-04,44,2012-09-24 00:28:00-04,81
601457,Closed,1220,2012-09-24 00:08:00-04,44,2012-09-24 00:28:00-04,81,T01069,Casual,,,
601458,Closed,212,2012-09-24 00:08:00-04,61,2012-09-24 00:12:00-04,53,T01002,Registered,02115,1979,Male
601459,Closed,894,2012-09-24 00:16:00-04,61,2012-09-24 00:31:00-04,25
601460,Closed,847,2012-09-24 00:17:00-04,61,2012-09-24 00:31:00-04,25,T01022,Casual,,,
601461,Closed,250,2012-09-24 00:18:00-04,75,2012-09-24 00:22:00-04,95
601462,Closed,285,2012-09-24 00:25:00-04,57,2012-09-24 00:29:00-04,12,T01381,Casual,,,
601464,Closed,399,2012-09-24 00:24:00-04,67,2012-09-24 00:31:00-04,53,T01059,Registered,02215,1990,Male
601465,Closed,471,2012-09-24 00:25:00-04,41,2012-09-24 00:32:00-04,33,T01217,Registered,02215,1992,Male
601466,Closed,397,2012-09-24 00:26:00-04,11,2012-09-24 00:33:00-04,52
601467,Closed,473,2012-09-24 00:26:00-04,22,2012-09-24 00:34:00-04,58
601468,Closed,1217,2012-09-24 00:27:00-04,50,2012-09-24 00:47:00-04,29
601469,Closed,261,2012-09-24 00:33:00-04,80,2012-09-24 00:38:00-04,68,T01231,Registered,02139,1984,Male
601470,Closed,719,2012-09-24 00:35:00-04,33,2012-09-24 00:47:00-04,95
601471,Closed,463,2012-09-24 00:37:00-04,22,2012-09-24 00:44:00-04,60
601472,Closed,220,2012-09-24 00:49:00-04,47,2012-09-24 00:53:00-04,47,T01146,Registered,02113,1977,Male
601473,Closed,570,2012-09-24 00:52:00-04,75,2012-09-24 01:01:00-04,73
601474,Closed,1207,2012-09-24 01:03:00-04,22,2012-09-24 01:23:00-04,91
601475,Closed,645,2012-09-24 01:11:00-04,72,2012-09-24 01:22:00-04,67
601476,Closed,335,2012-09-24 01:24:00-04,33,2012-09-24 01:30:00-04,67
601477,Closed,506,2012-09-24 01:33:00-04,11,2012-09-24 01:41:00-04,57
601478,Closed,460,2012-09-24 01:48:00-04,32,2012-09-24 01:56:00-04,41,T01256,Registered,02215,1979,Male
601481,Closed,1479,2012-09-24 01:49:00-04,67,2012-09-24 02:13:00-04,72
601482,Closed,1468,2012-09-24 01:49:00-04,67,2012-09-24 02:13:00-04,72
601483,Closed,898,2012-09-24 01:54:00-04,80,2012-09-24 02:09:00-04,6
601485,Closed,155,2012-09-24 02:00:00-04,75,2012-09-24 02:03:00-04,67,T01312,Registered,02116,1993,Male
601486,Closed,301,2012-09-24 02:06:00-04,52,2012-09-24 02:11:00-04,67
601487,Closed,1487,2012-09-24 02:08:00-04,81,2012-09-24 02:33:00-04,40
601489,Closed,255,2012-09-24 02:13:00-04,67,2012-09-24 02:17:00-04,53,T01352,Registered,02215,1992,Male
601490,Closed,513,2012-09-24 02:16:00-04,72,2012-09-24 02:25:00-04,67
601491,Closed,504,2012-09-24 02:16:00-04,72,2012-09-24 02:25:00-04,67
601492,Closed,1092,2012-09-24 02:35:00-04,40,2012-09-24 02:53:00-04,47
601493,Closed,926,2012-09-24 02:37:00-04,40,2012-09-24 02:53:00-04,47
601494,Closed,172,2012-09-24 02:53:00-04,21,2012-09-24 02:56:00-04,57
601496,Closed,299,2012-09-24 03:55:00-04,69,2012-09-24 04:00:00-04,11
601497,Closed,1977,2012-09-24 04:00:00-04,39,2012-09-24 04:33:00-04,37,T01277,Casual,,,
601498,Closed,1320,2012-09-24 04:18:00-04,66,2012-09-24 04:40:00-04,23
601499,Closed,451,2012-09-24 04:29:00-04,4,2012-09-24 04:36:00-04,12,T01091,Casual,,,
601500,Closed,496,2012-09-24 04:44:00-04,94,2012-09-24 04:53:00-04,23,T01175,Casual,,,
601501,Closed,391,2012-09-24 04:48:00-04,11,2012-09-24 04:54:00-04,69
601502,Closed,400,2012-09-24 05:08:00-04,59,2012-09-24 05:14:00-04,16
601503,Closed,466,2012-09-24 05:25:00-04,98,2012-09-24 05:33:00-04,40
601504,Closed,147,2012-09-24 05:25:00-04,3,2012-09-24 05:28:00-04,11
601505,Closed,486,2012-09-24 05:29:00-04,57,2012-09-24 05:37:00-04,30
