id,status,duration,start_date,start_station,end_date,end_station
537923,Closed,434698,2012-09-05 12:38:00-04,31,2012-09-10 13:23:00-04,
540970,Closed,157858,2012-09-06 12:10:00-04,75,2012-09-08 08:01:00-04,75
546108,Closed,21933,2012-09-07 18:02:00-04,33,2012-09-08 00:08:00-04,33
546608,Closed,1822,2012-09-07 23:40:00-04,40,2012-09-08 00:10:00-04,78,T01432,Casual,,,
546610,Closed,2210,2012-09-07 23:43:00-04,84,2012-09-08 00:20:00-04,84,T01331,Casual,,,
546611,Closed,2218,2012-09-07 23:43:00-04,84,2012-09-08 00:20:00-04,84
546612,Closed,1045,2012-09-07 23:43:00-04,46,2012-09-08 00:01:00-04,42
546613,Closed,1051,2012-09-07 23:43:00-04,46,2012-09-08 00:01:00-04,42,T01327,Registered,02115,1991,Female
546614,Closed,1516,2012-09-07 23:44:00-04,40,2012-09-08 00:09:00-04,78,T01047,Casual,,,
546617,Closed,1389,2012-09-07 23:48:00-04,33,2012-09-08 00:11:00-04,78,T01266,Casual,,,
546622,Closed,1347,2012-09-07 23:49:00-04,33,2012-09-08 00:11:00-04,78,T01446,Casual,,,
546623,Closed,1176,2012-09-07 23:46:00-04,39,2012-09-08 00:06:00-04,41
546625,Closed,1216,2012-09-07 23:48:00-04,33,2012-09-08 00:08:00-04,20
546626,Closed,1633,2012-09-07 23:49:00-04,45,2012-09-08 00:16:00-04,90
546627,Closed,1542,2012-09-07 23:51:00-04,45,2012-09-08 00:16:00-04,90
546628,Closed,1176,2012-09-07 23:52:00-04,19,2012-09-08 00:12:00-04,13
546629,Closed,1168,2012-09-07 23:52:00-04,19,2012-09-08 00:12:00-04,13,T01059,Registered,02118,1988,Female
546630,Closed,925,2012-09-07 23:55:00-04,75,2012-09-08 00:11:00-04,62,T01233,Casual,,,
546631,Closed,1118,2012-09-07 23:55:00-04,4,2012-09-08 00:13:00-04,4
546632,Closed,390,2012-09-07 23:56:00-04,52,2012-09-08 00:02:00-04,52
546633,Closed,501,2012-09-07 23:55:00-04,31,2012-09-08 00:04:00-04,44,T01255,Registered,02113,1986,Male
546634,Closed,996,2012-09-07 23:59:00-04,33,2012-09-08 00:15:00-04,60
546635,Closed,844,2012-09-07 23:57:00-04,36,2012-09-08 00:11:00-04,76,T01150,Registered,02138,1980,Male
546636,Closed,513,2012-09-07 23:57:00-04,10,2012-09-08 00:05:00-04,68
546637,Closed,386,2012-09-07 23:57:00-04,64,2012-09-08 00:04:00-04,20,T01431,Registered,02128,1989,Male
546638,Closed,1018,2012-09-07 23:59:00-04,33,2012-09-08 00:16:00-04,60
546639,Closed,611,2012-09-07 23:58:00-04,68,2012-09-08 00:09:00-04,55
546640,Closed,1310,2012-09-08 00:00:00-04,33,2012-09-08 00:22:00-04,70
546641,Closed,8,2012-09-08 00:01:00-04,35,2012-09-08 00:01:00-04,35,T01365,Registered,02110,1984,Male
546643,Closed,1262,2012-09-08 00:02:00-04,33,2012-09-08 00:23:00-04,70
546644,Closed,856,2012-09-08 00:04:00-04,72,2012-09-08 00:18:00-04,36
546645,Closed,567,2012-09-08 00:03:00-04,68,2012-09-08 00:12:00-04,72
546646,Closed,631,2012-09-08 00:03:00-04,42,2012-09-08 00:14:00-04,46,T01327,Casual,,,
546647,Closed,636,2012-09-08 00:04:00-04,4,2012-09-08 00:15:00-04,21,T01184,Casual,,,
546648,Closed,8,2012-09-08 00:03:00-04,35,2012-09-08 00:03:00-04,35,T01365,Registered,02110,1984,Male
546649,Closed,657,2012-09-08 00:03:00-04,42,2012-09-08 00:14:00-04,46
546651,Closed,148,2012-09-08 00:03:00-04,35,2012-09-08 00:06:00-04,48
546652,Closed,610,2012-09-08 00:05:00-04,4,2012-09-08 00:15:00-04,21
546653,Closed,1092,2012-09-08 00:06:00-04,52,2012-09-08 00:24:00-04,36
546654,Closed,2143,2012-09-08 00:05:00-04,17,2012-09-08 00:41:00-04,17
546655,Closed,1091,2012-09-08 00:07:00-04,52,2012-09-08 00:25:00-04,36
546656,Closed,1461,2012-09-08 00:08:00-04,50,2012-09-08 00:32:00-04,3
546657,Closed,635,2012-09-08 00:08:00-04,19,2012-09-08 00:19:00-04,21
546658,Closed,668,2012-09-08 00:09:00-04,21,2012-09-08 00:20:00-04,12
546659,Closed,671,2012-09-08 00:09:00-04,21,2012-09-08 00:20:00-04,12,T01310,Casual,,,
546660,Closed,455,2012-09-08 00:09:00-04,69,2012-09-08 00:16:00-04,66
546661,Closed,1358,2012-09-08 00:10:00-04,50,2012-09-08 00:32:00-04,3
546662,Closed,347,2012-09-08 00:09:00-04,52,2012-09-08 00:15:00-04,16,T01373,Registered,01760,1975,Male
546663,Closed,1182,2012-09-08 00:10:00-04,33,2012-09-08 00:30:00-04,84
546664,Closed,784,2012-09-08 00:12:00-04,52,2012-09-08 00:25:00-04,36,T01151,Casual,,,
546665,Closed,816,2012-09-08 00:11:00-04,52,2012-09-08 00:25:00-04,36
