id,status,duration,start_date,start_station,end_date,end_station
485135,Closed,44863,2012-08-19 18:35:00-04,52,2012-08-20 07:02:00-04,4,T01328,Casual,,,
485716,Closed,1856,2012-08-19 23:34:00-04,44,2012-08-20 00:05:00-04,4
485717,Closed,1821,2012-08-19 23:35:00-04,44,2012-08-20 00:05:00-04,4,T01127,Casual,,,
485718,Closed,1142,2012-08-19 23:43:00-04,10,2012-08-20 00:02:00-04,19,T01312,Registered,02215,1983,Male
485725,Closed,297,2012-08-20 00:01:00-04,64,2012-08-20 00:06:00-04,40,T01299,Registered,02113,1986,Male
485726,Closed,788,2012-08-20 00:04:00-04,26,2012-08-20 00:17:00-04,47
485727,Closed,113,2012-08-20 00:09:00-04,75,2012-08-20 00:11:00-04,68
485728,Closed,693,2012-08-20 00:17:00-04,48,2012-08-20 00:29:00-04,57
485729,Closed,878,2012-08-20 00:18:00-04,42,2012-08-20 00:32:00-04,10
485730,Closed,635,2012-08-20 00:22:00-04,32,2012-08-20 00:32:00-04,30,T01131,Casual,,,
485731,Closed,1195,2012-08-20 00:24:00-04,70,2012-08-20 00:44:00-04,77,T01155,Casual,,,
485732,Closed,980,2012-08-20 00:23:00-04,52,2012-08-20 00:39:00-04,40,T01080,Registered,02113,1985,Male
485733,Closed,632,2012-08-20 00:30:00-04,40,2012-08-20 00:40:00-04,22
485735,Closed,603,2012-08-20 00:35:00-04,10,2012-08-20 00:45:00-04,66,T01194,Casual,,,
485736,Closed,961,2012-08-20 00:43:00-04,8,2012-08-20 00:59:00-04,75,T01350,Casual,,,
485737,Closed,985,2012-08-20 00:42:00-04,8,2012-08-20 00:59:00-04,75
485738,Closed,936,2012-08-20 00:43:00-04,8,2012-08-20 00:58:00-04,75,T01054,Casual,,,
485739,Closed,956,2012-08-20 00:42:00-04,8,2012-08-20 00:58:00-04,75,T01095,Casual,,,
485740,Closed,979,2012-08-20 00:42:00-04,8,2012-08-20 00:59:00-04,75
485741,Closed,1661,2012-08-20 00:44:00-04,22,2012-08-20 01:12:00-04,22
485743,Closed,580,2012-08-20 00:47:00-04,4,2012-08-20 00:57:00-04,47,T01127,Registered,02113,1978,Male
485744,Closed,1403,2012-08-20 00:52:00-04,46,2012-08-20 01:16:00-04,8,T01122,Casual,,,
485745,Closed,3554,2012-08-20 01:00:00-04,81,2012-08-20 02:00:00-04,27
485746,Closed,660,2012-08-20 01:01:00-04,55,2012-08-20 01:12:00-04,6,T01141,Registered,02114,1979,Female
485747,Closed,38,2012-08-20 01:10:00-04,69,2012-08-20 01:11:00-04,69
