id,status,duration,start_date,start_station,end_date,end_station
488532,Closed,46940,2012-08-20 19:05:00-04,50,2012-08-21 08:08:00-04,41,T01071,Registered,02135,1965,Female
488989,Closed,37583,2012-08-20 22:15:00-04,24,2012-08-21 08:41:00-04,22
488995,Closed,38490,2012-08-20 22:22:00-04,16,2012-08-21 09:04:00-04,13,T01119,Registered,02139,1987,Male
489041,Closed,1532,2012-08-20 23:40:00-04,26,2012-08-21 00:05:00-04,18,T01182,Registered,02134,1976,Male
489044,Closed,1998,2012-08-20 23:49:00-04,76,2012-08-21 00:22:00-04,83
489045,Closed,2014,2012-08-20 23:49:00-04,76,2012-08-21 00:23:00-04,83
489046,Closed,2146,2012-08-20 23:55:00-04,7,2012-08-21 00:31:00-04,29,T01104,Registered,02134,1991,Male
489048,Closed,163,2012-08-21 00:03:00-04,22,2012-08-21 00:06:00-04,43
489049,Closed,643,2012-08-21 00:06:00-04,80,2012-08-21 00:16:00-04,74
489050,Closed,442,2012-08-21 00:06:00-04,73,2012-08-21 00:13:00-04,75
489051,Closed,418,2012-08-21 00:07:00-04,36,2012-08-21 00:14:00-04,53
489052,Closed,919,2012-08-21 00:08:00-04,69,2012-08-21 00:23:00-04,18
489053,Closed,889,2012-08-21 00:08:00-04,69,2012-08-21 00:23:00-04,18,T01269,Casual,,,
489054,Closed,5276,2012-08-21 00:19:00-04,61,2012-08-21 01:47:00-04,61,T01386,Casual,,,
489055,Closed,473,2012-08-21 00:19:00-04,76,2012-08-21 00:27:00-04,53
489058,Closed,593,2012-08-21 00:28:00-04,6,2012-08-21 00:38:00-04,53,T01242,Registered,02215,1988,Female
489059,Closed,348,2012-08-21 00:33:00-04,55,2012-08-21 00:39:00-04,49
489060,Closed,882,2012-08-21 00:47:00-04,49,2012-08-21 01:02:00-04,76
489061,Closed,394,2012-08-21 01:03:00-04,57,2012-08-21 01:09:00-04,33
489063,Closed,1486,2012-08-21 01:03:00-04,45,2012-08-21 01:28:00-04,45,T01206,Registered,02118,1990,Female
489064,Closed,590,2012-08-21 01:06:00-04,22,2012-08-21 01:16:00-04,36
489065,Closed,746,2012-08-21 01:06:00-04,22,2012-08-21 01:19:00-04,36,T01342,Casual,,,
489066,Closed,1017,2012-08-21 01:09:00-04,45,2012-08-21 01:26:00-04,45,T01235,Casual,,,
489067,Closed,619,2012-08-21 01:08:00-04,42,2012-08-21 01:18:00-04,20
489068,Closed,988,2012-08-21 01:09:00-04,14,2012-08-21 01:26:00-04,68
489069,Closed,1192,2012-08-21 01:09:00-04,45,2012-08-21 01:29:00-04,45,T01387,Casual,,,
489070,Closed,767,2012-08-21 01:16:00-04,16,2012-08-21 01:29:00-04,53,T01371,Casual,,,
489071,Closed,718,2012-08-21 01:17:00-04,16,2012-08-21 01:29:00-04,53
489072,Closed,533,2012-08-21 01:20:00-04,23,2012-08-21 01:29:00-04,23
489073,Closed,779,2012-08-21 01:24:00-04,33,2012-08-21 01:37:00-04,8
489074,Closed,308,2012-08-21 01:23:00-04,22,2012-08-21 01:28:00-04,47
489075,Closed,71,2012-08-21 01:29:00-04,23,2012-08-21 01:30:00-04,23
489077,Closed,612,2012-08-21 01:30:00-04,45,2012-08-21 01:40:00-04,52,T01206,Casual,,,
489078,Closed,561,2012-08-21 01:31:00-04,45,2012-08-21 01:40:00-04,52,T01387,Casual,,,
489079,Closed,507,2012-08-21 01:32:00-04,45,2012-08-21 01:41:00-04,52
489080,Closed,1754,2012-08-21 01:37:00-04,41,2012-08-21 02:06:00-04,41
489081,Closed,2222,2012-08-21 01:36:00-04,41,2012-08-21 02:13:00-04,41
489082,Closed,1560,2012-08-21 01:40:00-04,41,2012-08-21 02:06:00-04,41
489083,Closed,469,2012-08-21 01:57:00-04,46,2012-08-21 02:05:00-04,30
489084,Closed,513,2012-08-21 02:16:00-04,61,2012-08-21 02:25:00-04,45,T01420,Casual,,,
489085,Closed,497,2012-08-21 02:16:00-04,61,2012-08-21 02:25:00-04,45,T01386,Casual,,,
489086,Closed,621,2012-08-21 02:18:00-04,33,2012-08-21 02:28:00-04,6,T01200,Registered,02114,1979,Female
489087,Closed,1733,2012-08-21 02:29:00-04,38,2012-08-21 02:58:00-04,83
489089,Closed,331,2012-08-21 02:48:00-04,74,2012-08-21 02:54:00-04,79
489090,Closed,552,2012-08-21 02:53:00-04,75,2012-08-21 03:03:00-04,75
489093,Closed,1153,2012-08-21 03:01:00-04,52,2012-08-21 03:20:00-04,51
489095,Closed,876,2012-08-21 03:05:00-04,52,2012-08-21 03:20:00-04,51
489096,Closed,774,2012-08-21 03:07:00-04,52,2012-08-21 03:20:00-04,51
489097,Closed,382,2012-08-21 03:31:00-04,3,2012-08-21 03:37:00-04,57
489098,Closed,596,2012-08-21 03:56:00-04,46,2012-08-21 04:06:00-04,60
489099,Closed,1313,2012-08-21 04:06:00-04,66,2012-08-21 04:28:00-04,23
489100,Closed,395,2012-08-21 04:39:00-04,69,2012-08-21 04:45:00-04,34,T01161,Registered,02140,1986,Male
489102,Closed,1009,2012-08-21 04:50:00-04,41,2012-08-21 05:07:00-04,23,T01009,Registered,02134,1985,Male
