id,status,duration,start_date,start_station,end_date,end_station
1076,Closed,230496,2011-07-30 02:13:00-04,43,2011-08-01 18:15:00-04,43
1117,Closed,83122,2011-07-30 08:17:00-04,8,2011-07-31 07:23:00-04,8
1120,Closed,105280,2011-07-30 08:21:00-04,8,2011-07-31 13:36:00-04,8
1296,Closed,81994,2011-07-30 12:55:00-04,18,2011-07-31 11:42:00-04,18
1366,Closed,82869,2011-07-30 14:05:00-04,8,2011-07-31 13:06:00-04,8
1368,Closed,82871,2011-07-30 14:04:00-04,8,2011-07-31 13:06:00-04,8
1386,Closed,39592,2011-07-30 14:15:00-04,36,2011-07-31 01:15:00-04,36
1654,Closed,24251,2011-07-30 17:41:00-04,8,2011-07-31 00:25:00-04,46
1749,Closed,67878,2011-07-30 19:04:00-04,48,2011-07-31 13:55:00-04,25
1797,Closed,46240,2011-07-30 19:49:00-04,35,2011-07-31 08:40:00-04,22
1911,Closed,83498,2011-07-30 22:16:00-04,32,2011-07-31 21:28:00-04,27
1912,Closed,80642,2011-07-30 22:18:00-04,32,2011-07-31 20:42:00-04,27
1926,Closed,4610,2011-07-30 22:50:00-04,46,2011-07-31 00:07:00-04,23
1928,Closed,4442,2011-07-30 22:53:00-04,46,2011-07-31 00:07:00-04,23
1929,Closed,4178,2011-07-30 22:53:00-04,46,2011-07-31 00:03:00-04,52
1938,Closed,61256,2011-07-30 23:27:00-04,50,2011-07-31 16:28:00-04,9
1945,Closed,2043,2011-07-30 23:45:00-04,48,2011-07-31 00:19:00-04,8
1946,Closed,2019,2011-07-30 23:45:00-04,48,2011-07-31 00:19:00-04,8
1947,Closed,1412,2011-07-30 23:48:00-04,40,2011-07-31 00:12:00-04,40
1948,Closed,1331,2011-07-30 23:49:00-04,40,2011-07-31 00:12:00-04,40
1950,Closed,572,2011-07-30 23:52:00-04,46,2011-07-31 00:02:00-04,34
1951,Closed,3731,2011-07-30 23:59:00-04,42,2011-07-31 01:01:00-04,41
1952,Closed,3729,2011-07-30 23:59:00-04,42,2011-07-31 01:01:00-04,41
1953,Closed,2380,2011-07-31 00:03:00-04,23,2011-07-31 00:42:00-04,32
1954,Closed,295,2011-07-31 00:07:00-04,36,2011-07-31 00:12:00-04,36
1955,Closed,44443,2011-07-31 00:09:00-04,5,2011-07-31 12:30:00-04,30
1956,Closed,415,2011-07-31 00:16:00-04,8,2011-07-31 00:23:00-04,41
1957,Closed,7989,2011-07-31 00:16:00-04,8,2011-07-31 02:29:00-04,41
1958,Closed,680,2011-07-31 00:17:00-04,23,2011-07-31 00:28:00-04,39
1959,Closed,726,2011-07-31 00:17:00-04,52,2011-07-31 00:29:00-04,6
1960,Closed,955,2011-07-31 00:17:00-04,23,2011-07-31 00:33:00-04,16
1961,Closed,1131,2011-07-31 00:23:00-04,36,2011-07-31 00:42:00-04,32
1962,Closed,1173,2011-07-31 00:25:00-04,30,2011-07-31 00:44:00-04,9
1963,Closed,1149,2011-07-31 00:25:00-04,30,2011-07-31 00:44:00-04,9
1965,Closed,1038,2011-07-31 00:31:00-04,16,2011-07-31 00:48:00-04,41
1966,Closed,1217,2011-07-31 00:32:00-04,9,2011-07-31 00:52:00-04,42
1967,Closed,1044,2011-07-31 00:32:00-04,16,2011-07-31 00:50:00-04,41
1968,Closed,22247,2011-07-31 00:34:00-04,16,2011-07-31 06:44:00-04,41
1969,Closed,997,2011-07-31 00:34:00-04,23,2011-07-31 00:51:00-04,23
1971,Closed,1128,2011-07-31 00:47:00-04,40,2011-07-31 01:06:00-04,53
1972,Closed,165,2011-07-31 01:03:00-04,53,2011-07-31 01:05:00-04,52
1973,Closed,1674,2011-07-31 01:08:00-04,53,2011-07-31 01:36:00-04,8
1974,Closed,605,2011-07-31 01:24:00-04,53,2011-07-31 01:35:00-04,32
1976,Closed,2045,2011-07-31 01:29:00-04,46,2011-07-31 02:03:00-04,46
1977,Closed,1225,2011-07-31 01:45:00-04,8,2011-07-31 02:05:00-04,42
1978,Closed,2371,2011-07-31 01:53:00-04,49,2011-07-31 02:33:00-04,41
1979,Closed,1295,2011-07-31 01:54:00-04,49,2011-07-31 02:15:00-04,10
1980,Closed,1625,2011-07-31 01:56:00-04,22,2011-07-31 02:23:00-04,8
1981,Closed,1621,2011-07-31 01:56:00-04,22,2011-07-31 02:23:00-04,8
1983,Closed,258,2011-07-31 02:00:00-04,45,2011-07-31 02:05:00-04,32
1984,Closed,1849,2011-07-31 02:04:00-04,36,2011-07-31 02:35:00-04,36
1985,Closed,1585,2011-07-31 02:09:00-04,36,2011-07-31 02:35:00-04,36
