id,status,duration,start_date,start_station,end_date,end_station
448883,Closed,563800,2012-08-07 20:16:00-04,36,2012-08-14 08:53:00-04,74,T01322,Casual,,,
451273,Closed,230965,2012-08-08 17:00:00-04,32,2012-08-11 09:09:00-04,19
457896,Closed,58099,2012-08-10 23:08:00-04,54,2012-08-11 15:16:00-04,16
457917,Closed,2096,2012-08-10 23:30:00-04,7,2012-08-11 00:05:00-04,53
457922,Closed,2059,2012-08-10 23:33:00-04,54,2012-08-11 00:07:00-04,69,T01306,Casual,,,
457924,Closed,1822,2012-08-10 23:37:00-04,54,2012-08-11 00:07:00-04,69
457927,Closed,1628,2012-08-10 23:43:00-04,54,2012-08-11 00:10:00-04,53
457930,Closed,1720,2012-08-10 23:41:00-04,54,2012-08-11 00:10:00-04,53,T01098,Casual,,,
457940,Closed,3027,2012-08-10 23:48:00-04,46,2012-08-11 00:38:00-04,46,T01036,Casual,,,
457943,Closed,2765,2012-08-10 23:52:00-04,46,2012-08-11 00:38:00-04,46,T01235,Casual,,,
457945,Closed,1421,2012-08-10 23:53:00-04,76,2012-08-11 00:16:00-04,73
457946,Closed,2769,2012-08-10 23:52:00-04,46,2012-08-11 00:38:00-04,46
457949,Closed,1945,2012-08-10 23:55:00-04,46,2012-08-11 00:28:00-04,46,T01279,Casual,,,
457951,Closed,1147,2012-08-10 23:55:00-04,42,2012-08-11 00:14:00-04,41,T01325,Registered,02134,1983,Male
457952,Closed,2560,2012-08-10 23:56:00-04,46,2012-08-11 00:39:00-04,46
457953,Closed,362,2012-08-10 23:58:00-04,36,2012-08-11 00:04:00-04,50
457954,Closed,2342,2012-08-10 23:59:00-04,46,2012-08-11 00:38:00-04,46
457955,Closed,1086,2012-08-11 00:06:00-04,64,2012-08-11 00:24:00-04,32
457956,Closed,720,2012-08-11 00:08:00-04,23,2012-08-11 00:20:00-04,60,T01269,Casual,,,
457957,Closed,725,2012-08-11 00:08:00-04,23,2012-08-11 00:20:00-04,60,T01104,Casual,,,
457958,Closed,864,2012-08-11 00:08:00-04,4,2012-08-11 00:22:00-04,13,T01011,Registered,02118,1984,Female
457959,Closed,1240,2012-08-11 00:19:00-04,30,2012-08-11 00:40:00-04,17
457960,Closed,536,2012-08-11 00:22:00-04,74,2012-08-11 00:31:00-04,74,T01045,Casual,,,
457962,Closed,1063,2012-08-11 00:25:00-04,33,2012-08-11 00:43:00-04,39,T01211,Registered,02118,1976,Female
457963,Closed,1403,2012-08-11 00:26:00-04,49,2012-08-11 00:50:00-04,8
457964,Closed,565,2012-08-11 00:27:00-04,42,2012-08-11 00:36:00-04,57,T01228,Casual,,,
457965,Closed,546,2012-08-11 00:27:00-04,42,2012-08-11 00:36:00-04,57
457966,Closed,540,2012-08-11 00:27:00-04,42,2012-08-11 00:36:00-04,57,T01121,Casual,,,
457967,Closed,568,2012-08-11 00:27:00-04,58,2012-08-11 00:37:00-04,61
457968,Closed,777,2012-08-11 00:30:00-04,6,2012-08-11 00:43:00-04,49
457969,Closed,943,2012-08-11 00:31:00-04,16,2012-08-11 00:47:00-04,40
457971,Closed,565,2012-08-11 00:36:00-04,34,2012-08-11 00:45:00-04,30
457972,Closed,545,2012-08-11 00:36:00-04,34,2012-08-11 00:45:00-04,30
457974,Closed,930,2012-08-11 00:38:00-04,50,2012-08-11 00:53:00-04,61
457975,Closed,707,2012-08-11 00:39:00-04,50,2012-08-11 00:51:00-04,27
457976,Closed,960,2012-08-11 00:46:00-04,16,2012-08-11 01:02:00-04,76,T01388,Casual,,,
457977,Closed,705,2012-08-11 00:43:00-04,44,2012-08-11 00:54:00-04,63
457978,Closed,694,2012-08-11 00:42:00-04,46,2012-08-11 00:54:00-04,12,T01279,Casual,,,
457979,Closed,692,2012-08-11 00:43:00-04,44,2012-08-11 00:54:00-04,63,T01332,Casual,,,
457980,Closed,424,2012-08-11 00:45:00-04,46,2012-08-11 00:52:00-04,12,T01235,Casual,,,
457981,Closed,384,2012-08-11 00:45:00-04,46,2012-08-11 00:52:00-04,12
457982,Closed,962,2012-08-11 00:46:00-04,16,2012-08-11 01:02:00-04,76
457983,Closed,375,2012-08-11 00:48:00-04,46,2012-08-11 00:54:00-04,12,T01036,Casual,,,
457984,Closed,255,2012-08-11 00:48:00-04,46,2012-08-11 00:52:00-04,12
457986,Closed,493,2012-08-11 00:50:00-04,33,2012-08-11 00:58:00-04,41,T01067,Registered,02134,1990,Male
457987,Closed,2314,2012-08-11 00:53:00-04,60,2012-08-11 01:32:00-04,37,T01340,Casual,,,
457988,Closed,549,2012-08-11 00:52:00-04,55,2012-08-11 01:02:00-04,9
457989,Closed,2278,2012-08-11 00:54:00-04,60,2012-08-11 01:32:00-04,37,T01425,Casual,,,
457990,Closed,1001,2012-08-11 00:56:00-04,22,2012-08-11 01:12:00-04,68,T01049,Registered,02139,1985,Male
457992,Closed,704,2012-08-11 01:04:00-04,24,2012-08-11 01:16:00-04,44
457994,Closed,277,2012-08-11 01:08:00-04,20,2012-08-11 01:13:00-04,22,T01248,Registered,02482,1988,Male
457995,Closed,1183,2012-08-11 01:10:00-04,55,2012-08-11 01:30:00-04,79
457996,Closed,746,2012-08-11 01:12:00-04,60,2012-08-11 01:24:00-04,32
457998,Closed,530,2012-08-11 01:13:00-04,64,2012-08-11 01:21:00-04,47
457999,Closed,1029,2012-08-11 01:13:00-04,64,2012-08-11 01:30:00-04,46
458002,Closed,681,2012-08-11 01:15:00-04,22,2012-08-11 01:27:00-04,31
458004,Closed,488,2012-08-11 01:18:00-04,9,2012-08-11 01:26:00-04,53,T01024,Registered,02215,1988,Male
458005,Closed,414,2012-08-11 01:21:00-04,43,2012-08-11 01:28:00-04,40
458006,Closed,1143,2012-08-11 01:19:00-04,54,2012-08-11 01:38:00-04,68
458007,Closed,312,2012-08-11 01:22:00-04,43,2012-08-11 01:27:00-04,40
458008,Closed,1558,2012-08-11 01:23:00-04,60,2012-08-11 01:49:00-04,69
458009,Closed,1284,2012-08-11 01:23:00-04,60,2012-08-11 01:44:00-04,32
458010,Closed,1513,2012-08-11 01:24:00-04,60,2012-08-11 01:49:00-04,69,T01183,Casual,,,
458013,Closed,534,2012-08-11 01:25:00-04,43,2012-08-11 01:34:00-04,31,T01130,Registered,02081,1981,Male
458014,Closed,1243,2012-08-11 01:26:00-04,24,2012-08-11 01:46:00-04,25
458015,Closed,296,2012-08-11 01:30:00-04,23,2012-08-11 01:35:00-04,60,T01329,Registered,02109,1988,Male
458016,Closed,951,2012-08-11 01:32:00-04,43,2012-08-11 01:48:00-04,63
458017,Closed,927,2012-08-11 01:32:00-04,43,2012-08-11 01:47:00-04,63,T01410,Registered,02324,1986,Male
458018,Closed,1009,2012-08-11 01:33:00-04,35,2012-08-11 01:50:00-04,57
458019,Closed,1058,2012-08-11 01:34:00-04,23,2012-08-11 01:51:00-04,27,T01105,Casual,,,
458020,Closed,1043,2012-08-11 01:35:00-04,79,2012-08-11 01:53:00-04,8
458021,Closed,463,2012-08-11 01:40:00-04,75,2012-08-11 01:48:00-04,74
458022,Closed,1144,2012-08-11 01:41:00-04,47,2012-08-11 02:00:00-04,33,T01405,Casual,,,
458023,Closed,241,2012-08-11 01:42:00-04,57,2012-08-11 01:46:00-04,4
458025,Closed,280,2012-08-11 01:44:00-04,66,2012-08-11 01:49:00-04,41
458027,Closed,208,2012-08-11 01:43:00-04,10,2012-08-11 01:47:00-04,9
458028,Closed,1237,2012-08-11 01:47:00-04,61,2012-08-11 02:08:00-04,54
458029,Closed,525,2012-08-11 01:46:00-04,54,2012-08-11 01:54:00-04,57
458030,Closed,514,2012-08-11 01:46:00-04,54,2012-08-11 01:54:00-04,57
458031,Closed,1257,2012-08-11 01:47:00-04,61,2012-08-11 02:08:00-04,54,T01113,Casual,,,
458032,Closed,17172,2012-08-11 01:47:00-04,33,2012-08-11 06:33:00-04,33
458033,Closed,1184,2012-08-11 01:48:00-04,61,2012-08-11 02:08:00-04,54
458035,Closed,17042,2012-08-11 01:49:00-04,33,2012-08-11 06:33:00-04,33,T01347,Casual,,,
458036,Closed,751,2012-08-11 01:50:00-04,54,2012-08-11 02:03:00-04,57
458038,Closed,900,2012-08-11 01:52:00-04,61,2012-08-11 02:07:00-04,54
458041,Closed,197,2012-08-11 01:52:00-04,44,2012-08-11 01:55:00-04,20,T01324,Registered,02127,1988,Male
458043,Closed,740,2012-08-11 01:55:00-04,34,2012-08-11 02:08:00-04,30
458044,Closed,1164,2012-08-11 01:57:00-04,3,2012-08-11 02:16:00-04,82
458045,Closed,2038,2012-08-11 01:57:00-04,54,2012-08-11 02:31:00-04,30
458046,Closed,475,2012-08-11 01:57:00-04,20,2012-08-11 02:05:00-04,31,T01324,Registered,02127,1988,Male
458047,Closed,593,2012-08-11 01:58:00-04,34,2012-08-11 02:08:00-04,30,T01152,Casual,,,
458048,Closed,491,2012-08-11 02:00:00-04,34,2012-08-11 02:08:00-04,30
458049,Closed,1763,2012-08-11 02:02:00-04,54,2012-08-11 02:31:00-04,30
458051,Closed,770,2012-08-11 02:02:00-04,22,2012-08-11 02:15:00-04,39,T01050,Casual,,,
458053,Closed,510,2012-08-11 02:03:00-04,59,2012-08-11 02:11:00-04,54
458054,Closed,888,2012-08-11 02:03:00-04,54,2012-08-11 02:18:00-04,36
458055,Closed,116,2012-08-11 02:03:00-04,25,2012-08-11 02:05:00-04,57
458056,Closed,889,2012-08-11 02:03:00-04,54,2012-08-11 02:18:00-04,36
458057,Closed,338,2012-08-11 02:04:00-04,22,2012-08-11 02:10:00-04,40
458058,Closed,748,2012-08-11 02:05:00-04,60,2012-08-11 02:18:00-04,76,T01329,Casual,,,
458059,Closed,346,2012-08-11 02:07:00-04,36,2012-08-11 02:12:00-04,53
458060,Closed,712,2012-08-11 02:10:00-04,41,2012-08-11 02:22:00-04,45
458061,Closed,597,2012-08-11 02:10:00-04,53,2012-08-11 02:20:00-04,53
458062,Closed,589,2012-08-11 02:10:00-04,53,2012-08-11 02:20:00-04,53,T01024,Registered,02215,1988,Male
458063,Closed,1525,2012-08-11 02:16:00-04,24,2012-08-11 02:42:00-04,84
458064,Closed,718,2012-08-11 02:21:00-04,58,2012-08-11 02:33:00-04,47
458065,Closed,1424,2012-08-11 02:25:00-04,23,2012-08-11 02:49:00-04,33
458066,Closed,1372,2012-08-11 02:26:00-04,23,2012-08-11 02:49:00-04,33,T01311,Casual,,,
458067,Closed,737,2012-08-11 02:25:00-04,20,2012-08-11 02:38:00-04,20
458068,Closed,306,2012-08-11 02:27:00-04,69,2012-08-11 02:32:00-04,19
458069,Closed,45762,2012-08-11 02:28:00-04,4,2012-08-11 15:11:00-04,4
458070,Closed,1634,2012-08-11 02:31:00-04,13,2012-08-11 02:58:00-04,78
