id,status,duration,start_date,start_station,end_date,end_station
267789,Closed,5351083,2012-05-23 09:20:00-04,22,2012-07-24 07:45:00-04,38
316441,Closed,1358846,2012-06-14 23:02:00-04,24,2012-06-30 16:29:00-04,21
320018,Closed,164910,2012-06-16 13:29:00-04,49,2012-06-18 11:17:00-04,49
323003,Closed,3711,2012-06-17 23:00:00-04,46,2012-06-18 00:02:00-04,29
323020,Closed,2872,2012-06-18 00:03:00-04,55,2012-06-18 00:51:00-04,54
323021,Closed,362,2012-06-18 00:18:00-04,45,2012-06-18 00:24:00-04,46
323022,Closed,463,2012-06-18 00:19:00-04,42,2012-06-18 00:27:00-04,55
323023,Closed,608,2012-06-18 00:22:00-04,14,2012-06-18 00:33:00-04,39
323024,Closed,945,2012-06-18 00:34:00-04,41,2012-06-18 00:49:00-04,34
323025,Closed,887,2012-06-18 00:41:00-04,47,2012-06-18 00:56:00-04,6
323026,Closed,1225,2012-06-18 00:43:00-04,47,2012-06-18 01:03:00-04,54
323028,Closed,1092,2012-06-18 00:45:00-04,47,2012-06-18 01:03:00-04,54
323029,Closed,1001,2012-06-18 00:51:00-04,34,2012-06-18 01:08:00-04,4
323030,Closed,399,2012-06-18 00:56:00-04,52,2012-06-18 01:03:00-04,45
323031,Closed,345,2012-06-18 01:16:00-04,54,2012-06-18 01:21:00-04,6
323032,Closed,477,2012-06-18 01:19:00-04,54,2012-06-18 01:27:00-04,52
323033,Closed,217,2012-06-18 01:52:00-04,9,2012-06-18 01:55:00-04,10
323034,Closed,523,2012-06-18 01:54:00-04,12,2012-06-18 02:03:00-04,49
323035,Closed,866,2012-06-18 02:12:00-04,6,2012-06-18 02:26:00-04,49
323036,Closed,588,2012-06-18 02:32:00-04,29,2012-06-18 02:42:00-04,8
323037,Closed,1097,2012-06-18 03:45:00-04,22,2012-06-18 04:03:00-04,41
323038,Closed,381,2012-06-18 04:29:00-04,55,2012-06-18 04:35:00-04,34
323039,Closed,256,2012-06-18 04:54:00-04,49,2012-06-18 04:58:00-04,26
323040,Closed,232,2012-06-18 04:57:00-04,25,2012-06-18 05:01:00-04,26
323041,Closed,380,2012-06-18 05:04:00-04,59,2012-06-18 05:11:00-04,16
323042,Closed,236,2012-06-18 05:06:00-04,43,2012-06-18 05:10:00-04,24
323043,Closed,576,2012-06-18 05:29:00-04,57,2012-06-18 05:38:00-04,48
323044,Closed,440,2012-06-18 05:34:00-04,57,2012-06-18 05:41:00-04,50
323045,Closed,489,2012-06-18 05:36:00-04,60,2012-06-18 05:44:00-04,48
323046,Closed,337,2012-06-18 05:38:00-04,39,2012-06-18 05:43:00-04,16
323047,Closed,204,2012-06-18 05:38:00-04,6,2012-06-18 05:42:00-04,23
323048,Closed,732,2012-06-18 05:46:00-04,49,2012-06-18 05:58:00-04,33
323049,Closed,588,2012-06-18 05:46:00-04,53,2012-06-18 05:56:00-04,60
323050,Closed,447,2012-06-18 05:50:00-04,24,2012-06-18 05:57:00-04,23
323051,Closed,474,2012-06-18 05:50:00-04,60,2012-06-18 05:58:00-04,22
323052,Closed,621,2012-06-18 05:55:00-04,60,2012-06-18 06:05:00-04,63
323053,Closed,332,2012-06-18 05:58:00-04,58,2012-06-18 06:03:00-04,48
323054,Closed,1132,2012-06-18 05:59:00-04,20,2012-06-18 06:18:00-04,34
323055,Closed,302,2012-06-18 06:00:00-04,50,2012-06-18 06:05:00-04,57
323056,Closed,381,2012-06-18 06:04:00-04,60,2012-06-18 06:10:00-04,36
323057,Closed,232,2012-06-18 06:08:00-04,62,2012-06-18 06:12:00-04,30
323058,Closed,390,2012-06-18 06:09:00-04,4,2012-06-18 06:15:00-04,22
323059,Closed,405,2012-06-18 06:13:00-04,12,2012-06-18 06:20:00-04,11
323060,Closed,356,2012-06-18 06:19:00-04,38,2012-06-18 06:25:00-04,60
323061,Closed,444,2012-06-18 06:19:00-04,38,2012-06-18 06:27:00-04,42
323062,Closed,323,2012-06-18 06:20:00-04,52,2012-06-18 06:25:00-04,50
323063,Closed,802,2012-06-18 06:20:00-04,38,2012-06-18 06:33:00-04,64
323064,Closed,169,2012-06-18 06:21:00-04,47,2012-06-18 06:23:00-04,48
323065,Closed,155,2012-06-18 06:21:00-04,47,2012-06-18 06:23:00-04,48
323066,Closed,316,2012-06-18 06:21:00-04,38,2012-06-18 06:27:00-04,43
323067,Closed,1196,2012-06-18 06:24:00-04,8,2012-06-18 06:44:00-04,58
323068,Closed,1099,2012-06-18 06:24:00-04,62,2012-06-18 06:43:00-04,60
323069,Closed,280,2012-06-18 06:28:00-04,39,2012-06-18 06:33:00-04,21
323070,Closed,324,2012-06-18 06:28:00-04,34,2012-06-18 06:33:00-04,11
323071,Closed,1477,2012-06-18 06:29:00-04,38,2012-06-18 06:54:00-04,14
323072,Closed,462,2012-06-18 06:29:00-04,40,2012-06-18 06:37:00-04,64
323073,Closed,418,2012-06-18 06:31:00-04,38,2012-06-18 06:38:00-04,22
323074,Closed,411,2012-06-18 06:32:00-04,22,2012-06-18 06:39:00-04,50
323076,Closed,305,2012-06-18 06:33:00-04,34,2012-06-18 06:38:00-04,14
323077,Closed,681,2012-06-18 06:33:00-04,38,2012-06-18 06:45:00-04,7
323078,Closed,297,2012-06-18 06:34:00-04,35,2012-06-18 06:39:00-04,20
323079,Closed,457,2012-06-18 06:34:00-04,12,2012-06-18 06:42:00-04,30
323082,Closed,307,2012-06-18 06:35:00-04,58,2012-06-18 06:40:00-04,61
323084,Closed,297,2012-06-18 06:35:00-04,58,2012-06-18 06:40:00-04,61
323086,Closed,1261,2012-06-18 06:39:00-04,6,2012-06-18 07:00:00-04,11
323087,Closed,612,2012-06-18 06:41:00-04,20,2012-06-18 06:52:00-04,50
323088,Closed,913,2012-06-18 06:42:00-04,43,2012-06-18 06:57:00-04,16
323089,Closed,733,2012-06-18 06:42:00-04,13,2012-06-18 06:55:00-04,30
323090,Closed,894,2012-06-18 06:45:00-04,36,2012-06-18 07:00:00-04,31
323091,Closed,280,2012-06-18 06:46:00-04,57,2012-06-18 06:51:00-04,16
323092,Closed,329,2012-06-18 06:46:00-04,57,2012-06-18 06:52:00-04,49
323093,Closed,399,2012-06-18 06:47:00-04,22,2012-06-18 06:53:00-04,42
323095,Closed,704,2012-06-18 06:47:00-04,13,2012-06-18 06:59:00-04,58
323096,Closed,818,2012-06-18 06:48:00-04,16,2012-06-18 07:01:00-04,60
323097,Closed,1831,2012-06-18 06:49:00-04,38,2012-06-18 07:19:00-04,11
323098,Closed,483,2012-06-18 06:49:00-04,38,2012-06-18 06:57:00-04,64
323099,Closed,316,2012-06-18 06:49:00-04,58,2012-06-18 06:54:00-04,49
323101,Closed,243,2012-06-18 06:51:00-04,58,2012-06-18 06:55:00-04,36
323102,Closed,351,2012-06-18 06:51:00-04,16,2012-06-18 06:57:00-04,59
323103,Closed,370,2012-06-18 06:51:00-04,47,2012-06-18 06:57:00-04,22
323104,Closed,564,2012-06-18 06:53:00-04,57,2012-06-18 07:02:00-04,14
323105,Closed,987,2012-06-18 06:53:00-04,53,2012-06-18 07:10:00-04,22
323106,Closed,506,2012-06-18 06:54:00-04,22,2012-06-18 07:02:00-04,6
323107,Closed,255,2012-06-18 06:55:00-04,40,2012-06-18 06:59:00-04,43
323108,Closed,328,2012-06-18 06:55:00-04,25,2012-06-18 07:00:00-04,50
323109,Closed,525,2012-06-18 06:55:00-04,38,2012-06-18 07:04:00-04,48
323110,Closed,298,2012-06-18 06:55:00-04,38,2012-06-18 07:00:00-04,20
323111,Closed,402,2012-06-18 06:55:00-04,40,2012-06-18 07:02:00-04,22
323112,Closed,710,2012-06-18 06:57:00-04,38,2012-06-18 07:09:00-04,64
323113,Closed,477,2012-06-18 06:58:00-04,61,2012-06-18 07:06:00-04,11
323115,Closed,297,2012-06-18 06:58:00-04,58,2012-06-18 07:03:00-04,54
323116,Closed,450,2012-06-18 06:59:00-04,53,2012-06-18 07:07:00-04,16
323117,Closed,210,2012-06-18 07:02:00-04,40,2012-06-18 07:06:00-04,47
323118,Closed,406,2012-06-18 07:03:00-04,54,2012-06-18 07:09:00-04,25
323119,Closed,434,2012-06-18 07:03:00-04,26,2012-06-18 07:10:00-04,50
323120,Closed,1306,2012-06-18 07:03:00-04,41,2012-06-18 07:24:00-04,54
323121,Closed,322,2012-06-18 07:03:00-04,38,2012-06-18 07:08:00-04,43
323122,Closed,267,2012-06-18 07:03:00-04,60,2012-06-18 07:07:00-04,42
323123,Closed,545,2012-06-18 07:03:00-04,38,2012-06-18 07:12:00-04,64
323124,Closed,223,2012-06-18 07:03:00-04,47,2012-06-18 07:07:00-04,48
323125,Closed,501,2012-06-18 07:04:00-04,22,2012-06-18 07:13:00-04,42
323126,Closed,506,2012-06-18 07:05:00-04,53,2012-06-18 07:13:00-04,51
323127,Closed,182,2012-06-18 07:06:00-04,22,2012-06-18 07:09:00-04,64
323128,Closed,190,2012-06-18 07:06:00-04,22,2012-06-18 07:09:00-04,43
323129,Closed,650,2012-06-18 07:06:00-04,55,2012-06-18 07:17:00-04,13
323130,Closed,662,2012-06-18 07:07:00-04,38,2012-06-18 07:18:00-04,7
323131,Closed,135,2012-06-18 07:07:00-04,53,2012-06-18 07:09:00-04,55
323132,Closed,310,2012-06-18 07:07:00-04,38,2012-06-18 07:13:00-04,43
323133,Closed,415,2012-06-18 07:08:00-04,60,2012-06-18 07:15:00-04,47
323134,Closed,357,2012-06-18 07:08:00-04,38,2012-06-18 07:14:00-04,35
323135,Closed,553,2012-06-18 07:08:00-04,38,2012-06-18 07:17:00-04,48
323136,Closed,597,2012-06-18 07:08:00-04,42,2012-06-18 07:18:00-04,39
