id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
11771,Closed,603454,2011-08-08 18:11:00-04,44,2011-08-15 17:49:00-04,38
15869,Closed,483879,2011-08-11 23:13:00-04,42,2011-08-17 13:37:00-04,16
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
16755,Closed,280831,2011-08-12 15:24:00-04,31,2011-08-15 21:24:00-04,51
17001,Closed,247623,2011-08-12 17:12:00-04,12,2011-08-15 13:59:00-04,27
17655,Closed,321667,2011-08-13 02:15:00-04,47,2011-08-16 19:36:00-04,22
17990,Closed,200324,2011-08-13 11:41:00-04,9,2011-08-15 19:19:00-04,9
18232,Closed,339162,2011-08-13 13:04:00-04,20,2011-08-17 11:16:00-04,37
19841,Closed,76090,2011-08-14 11:51:00-04,47,2011-08-15 08:59:00-04,47
19954,Closed,66595,2011-08-14 12:53:00-04,39,2011-08-15 07:23:00-04,46
20042,Closed,95697,2011-08-14 13:48:00-04,48,2011-08-15 16:23:00-04,38
20097,Closed,63722,2011-08-14 14:16:00-04,16,2011-08-15 07:58:00-04,36
20512,Closed,61846,2011-08-14 18:31:00-04,17,2011-08-15 11:42:00-04,41
20668,Closed,87285,2011-08-14 20:55:00-04,9,2011-08-15 21:10:00-04,41
20684,Closed,10046,2011-08-14 21:21:00-04,10,2011-08-15 00:08:00-04,10
20702,Closed,14623,2011-08-14 22:03:00-04,8,2011-08-15 02:07:00-04,46
20709,Closed,6261,2011-08-14 22:21:00-04,50,2011-08-15 00:05:00-04,50
20717,Closed,6093,2011-08-14 22:24:00-04,50,2011-08-15 00:05:00-04,50
20743,Closed,6164,2011-08-14 23:14:00-04,34,2011-08-15 00:57:00-04,34
20744,Closed,6247,2011-08-14 23:14:00-04,34,2011-08-15 00:58:00-04,34
20749,Closed,1962,2011-08-14 23:35:00-04,53,2011-08-15 00:07:00-04,53
20753,Closed,1423,2011-08-14 23:59:00-04,38,2011-08-15 00:23:00-04,32
20756,Closed,321,2011-08-15 00:16:00-04,42,2011-08-15 00:21:00-04,42
20757,Closed,840,2011-08-15 00:25:00-04,36,2011-08-15 00:39:00-04,48
20758,Closed,843,2011-08-15 00:28:00-04,8,2011-08-15 00:42:00-04,45
20760,Closed,2730,2011-08-15 00:34:00-04,52,2011-08-15 01:20:00-04,52
20761,Closed,2701,2011-08-15 00:34:00-04,52,2011-08-15 01:20:00-04,52
20762,Closed,207,2011-08-15 00:36:00-04,22,2011-08-15 00:40:00-04,43
20763,Closed,539,2011-08-15 00:41:00-04,3,2011-08-15 00:50:00-04,53
20764,Closed,55,2011-08-15 00:46:00-04,3,2011-08-15 00:47:00-04,3
