id,status,duration,start_date,start_station,end_date,end_station
608017,Closed,48307,2012-09-25 19:06:00-04,43,2012-09-26 08:32:00-04,40
608597,Closed,2008,2012-09-25 23:42:00-04,85,2012-09-26 00:15:00-04,51,T01400,Casual,,,
608599,Closed,1909,2012-09-25 23:43:00-04,85,2012-09-26 00:15:00-04,51
608600,Closed,1107,2012-09-25 23:47:00-04,59,2012-09-26 00:05:00-04,6,T01156,Casual,,,
608601,Closed,1083,2012-09-25 23:47:00-04,59,2012-09-26 00:05:00-04,6,T01439,Casual,,,
608603,Closed,796,2012-09-25 23:52:00-04,60,2012-09-26 00:06:00-04,95
608604,Closed,870,2012-09-25 23:53:00-04,68,2012-09-26 00:07:00-04,46
608605,Closed,894,2012-09-25 23:55:00-04,46,2012-09-26 00:10:00-04,13
608606,Closed,27698,2012-09-25 23:56:00-04,34,2012-09-26 07:37:00-04,16
608607,Closed,450,2012-09-25 23:55:00-04,33,2012-09-26 00:03:00-04,67
608608,Closed,1379,2012-09-25 23:58:00-04,61,2012-09-26 00:21:00-04,89,T01308,Casual,,,
608609,Closed,1071,2012-09-25 23:59:00-04,61,2012-09-26 00:16:00-04,88
608610,Closed,2976,2012-09-26 00:09:00-04,58,2012-09-26 00:59:00-04,58
608611,Closed,2959,2012-09-26 00:09:00-04,58,2012-09-26 00:59:00-04,58
608612,Closed,997,2012-09-26 00:08:00-04,6,2012-09-26 00:25:00-04,36
608613,Closed,943,2012-09-26 00:09:00-04,6,2012-09-26 00:24:00-04,36,T01439,Casual,,,
608614,Closed,2940,2012-09-26 00:10:00-04,58,2012-09-26 00:59:00-04,58
608615,Closed,294,2012-09-26 00:09:00-04,67,2012-09-26 00:14:00-04,33
608616,Closed,402,2012-09-26 00:10:00-04,29,2012-09-26 00:16:00-04,76
608618,Closed,1497,2012-09-26 00:15:00-04,60,2012-09-26 00:39:00-04,37,T01307,Registered,02135,1980,Male
608620,Closed,4,2012-09-26 00:21:00-04,95,2012-09-26 00:21:00-04,95
608621,Closed,549,2012-09-26 00:22:00-04,55,2012-09-26 00:31:00-04,19,T01002,Registered,02215,1983,Male
608622,Closed,634,2012-09-26 00:32:00-04,16,2012-09-26 00:43:00-04,56
608623,Closed,813,2012-09-26 00:39:00-04,33,2012-09-26 00:53:00-04,27,T01408,Registered,02120,1990,Male
608624,Closed,386,2012-09-26 00:38:00-04,70,2012-09-26 00:44:00-04,17
608627,Closed,492,2012-09-26 00:40:00-04,80,2012-09-26 00:48:00-04,33
608632,Closed,504,2012-09-26 00:43:00-04,85,2012-09-26 00:51:00-04,83
608633,Closed,477,2012-09-26 00:44:00-04,85,2012-09-26 00:51:00-04,83
608634,Closed,246,2012-09-26 00:46:00-04,55,2012-09-26 00:50:00-04,45
608635,Closed,243,2012-09-26 00:46:00-04,55,2012-09-26 00:50:00-04,45
608636,Closed,1059,2012-09-26 00:51:00-04,41,2012-09-26 01:09:00-04,41
608637,Closed,1015,2012-09-26 00:52:00-04,41,2012-09-26 01:09:00-04,41
608638,Closed,409,2012-09-26 01:04:00-04,32,2012-09-26 01:11:00-04,27
608639,Closed,297,2012-09-26 01:06:00-04,9,2012-09-26 01:11:00-04,19
608640,Closed,265,2012-09-26 01:07:00-04,9,2012-09-26 01:11:00-04,19
608641,Closed,881,2012-09-26 01:13:00-04,41,2012-09-26 01:28:00-04,74,T01211,Casual,,,
608642,Closed,457,2012-09-26 01:11:00-04,36,2012-09-26 01:18:00-04,6
608643,Closed,353,2012-09-26 01:28:00-04,33,2012-09-26 01:34:00-04,67,T01122,Registered,02139,1993,Male
608644,Closed,318,2012-09-26 01:30:00-04,75,2012-09-26 01:36:00-04,67,T01272,Registered,02139,1992,Male
608646,Closed,285,2012-09-26 01:31:00-04,75,2012-09-26 01:36:00-04,67,T01310,Registered,02139,1991,Male
608647,Closed,601,2012-09-26 01:31:00-04,23,2012-09-26 01:41:00-04,98,T01165,Casual,,,
608648,Closed,1685,2012-09-26 01:38:00-04,67,2012-09-26 02:06:00-04,72,T01272,Registered,02139,1992,Male
608649,Closed,1680,2012-09-26 01:38:00-04,67,2012-09-26 02:06:00-04,72,T01310,Registered,02139,1991,Male
608653,Closed,384,2012-09-26 01:52:00-04,61,2012-09-26 01:58:00-04,61,T01338,Registered,02116,1992,Male
608654,Closed,264,2012-09-26 02:07:00-04,52,2012-09-26 02:12:00-04,67,T01305,Registered,02139,1992,Male
608655,Closed,534,2012-09-26 02:08:00-04,72,2012-09-26 02:17:00-04,67,T01272,Registered,02139,1992,Male
608656,Closed,522,2012-09-26 02:08:00-04,72,2012-09-26 02:17:00-04,67,T01310,Registered,02139,1991,Male
608657,Closed,341,2012-09-26 02:08:00-04,67,2012-09-26 02:14:00-04,33,T01122,Registered,02215,1992,Male
608658,Closed,298,2012-09-26 02:11:00-04,19,2012-09-26 02:16:00-04,55
608659,Closed,1732,2012-09-26 02:17:00-04,43,2012-09-26 02:46:00-04,29,T01147,Registered,02134,1991,Male
608660,Closed,216,2012-09-26 02:19:00-04,17,2012-09-26 02:23:00-04,18
