id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
61664,Closed,7390291,2011-09-13 12:08:00-04,36,2011-12-08 00:00:00-05,
71569,Closed,6860474,2011-09-19 15:18:00-04,42,2011-12-08 00:00:00-05,
89161,Closed,11994458,2011-09-30 22:00:00-04,46,2012-02-16 16:48:00-05,7
89693,Closed,5826847,2011-10-01 14:25:00-04,42,2011-12-08 00:00:00-05,
90239,Closed,5811180,2011-10-01 18:46:00-04,48,2011-12-08 00:00:00-05,43
101036,Closed,5178725,2011-10-09 02:27:00-04,49,2011-12-08 00:00:00-05,
123700,Closed,3848409,2011-10-24 11:59:00-04,36,2011-12-08 00:00:00-05,
134965,Closed,2846075,2011-11-05 02:25:00-04,49,2011-12-08 00:00:00-05,34
138535,Closed,2556849,2011-11-08 09:45:00-05,20,2011-12-08 00:00:00-05,
150309,Closed,1217,2011-11-18 23:47:00-05,33,2011-11-19 00:07:00-05,25
150312,Closed,2722,2011-11-19 00:04:00-05,22,2011-11-19 00:49:00-05,52
150313,Closed,124,2011-11-19 00:06:00-05,42,2011-11-19 00:08:00-05,58
150314,Closed,5244,2011-11-19 00:20:00-05,49,2011-11-19 01:47:00-05,49
150315,Closed,33215,2011-11-19 00:22:00-05,49,2011-11-19 09:36:00-05,49
150316,Closed,269,2011-11-19 00:24:00-05,16,2011-11-19 00:28:00-05,57
150317,Closed,414,2011-11-19 00:26:00-05,41,2011-11-19 00:33:00-05,33
150318,Closed,744,2011-11-19 00:37:00-05,52,2011-11-19 00:49:00-05,64
150319,Closed,550,2011-11-19 00:39:00-05,42,2011-11-19 00:48:00-05,55
150320,Closed,175,2011-11-19 00:44:00-05,43,2011-11-19 00:47:00-05,40
150321,Closed,230,2011-11-19 00:46:00-05,43,2011-11-19 00:50:00-05,20
150322,Closed,970,2011-11-19 01:01:00-05,14,2011-11-19 01:17:00-05,41
150325,Closed,423,2011-11-19 01:16:00-05,4,2011-11-19 01:23:00-05,13
150326,Closed,634,2011-11-19 01:18:00-05,23,2011-11-19 01:28:00-05,16
150327,Closed,315,2011-11-19 01:31:00-05,9,2011-11-19 01:36:00-05,56
150328,Closed,387,2011-11-19 01:33:00-05,64,2011-11-19 01:39:00-05,23
150329,Closed,277,2011-11-19 01:33:00-05,43,2011-11-19 01:38:00-05,40
150330,Closed,571,2011-11-19 01:37:00-05,42,2011-11-19 01:47:00-05,25
150331,Closed,551,2011-11-19 01:38:00-05,42,2011-11-19 01:47:00-05,25
150332,Closed,739,2011-11-19 01:39:00-05,55,2011-11-19 01:51:00-05,41
150333,Closed,746,2011-11-19 01:48:00-05,45,2011-11-19 02:00:00-05,41
150334,Closed,11,2011-11-19 01:49:00-05,43,2011-11-19 01:49:00-05,43
150335,Closed,2806,2011-11-19 01:54:00-05,54,2011-11-19 02:40:00-05,9
150336,Closed,2759,2011-11-19 01:53:00-05,54,2011-11-19 02:39:00-05,9
150337,Closed,576,2011-11-19 01:53:00-05,44,2011-11-19 02:02:00-05,60
150338,Closed,280,2011-11-19 01:58:00-05,55,2011-11-19 02:03:00-05,32
150339,Closed,799,2011-11-19 02:03:00-05,50,2011-11-19 02:16:00-05,40
150340,Closed,188,2011-11-19 02:15:00-05,41,2011-11-19 02:18:00-05,9
150341,Closed,159,2011-11-19 02:16:00-05,22,2011-11-19 02:19:00-05,64
150342,Closed,450,2011-11-19 02:19:00-05,33,2011-11-19 02:26:00-05,41
150344,Closed,296,2011-11-19 02:30:00-05,9,2011-11-19 02:35:00-05,33
150345,Closed,1006,2011-11-19 02:21:00-05,42,2011-11-19 02:38:00-05,41
150346,Closed,105,2011-11-19 02:36:00-05,42,2011-11-19 02:37:00-05,42
150347,Closed,116,2011-11-19 02:39:00-05,42,2011-11-19 02:41:00-05,42
150348,Closed,814,2011-11-19 02:42:00-05,42,2011-11-19 02:56:00-05,52
150349,Closed,768,2011-11-19 02:15:00-05,4,2011-11-19 02:28:00-05,33
150350,Closed,395,2011-11-19 03:07:00-05,9,2011-11-19 03:14:00-05,9
150351,Closed,716,2011-11-19 03:23:00-05,55,2011-11-19 03:35:00-05,30
150352,Closed,1571,2011-11-19 03:32:00-05,22,2011-11-19 03:58:00-05,8
150353,Closed,686,2011-11-19 05:17:00-05,13,2011-11-19 05:29:00-05,45
150354,Closed,631,2011-11-19 05:18:00-05,13,2011-11-19 05:29:00-05,45
