id,status,duration,start_date,start_station,end_date,end_station
537218,Closed,47246,2012-09-04 21:13:00-04,42,2012-09-05 10:20:00-04,
537284,Closed,38712,2012-09-04 22:10:00-04,73,2012-09-05 08:55:00-04,79
537343,Closed,1047,2012-09-04 23:44:00-04,55,2012-09-05 00:01:00-04,74
537344,Closed,1017,2012-09-04 23:45:00-04,55,2012-09-05 00:02:00-04,74
537347,Closed,492,2012-09-04 23:53:00-04,58,2012-09-05 00:01:00-04,26
537349,Closed,874,2012-09-04 23:57:00-04,33,2012-09-05 00:12:00-04,54,T01254,Registered,02111,1987,Female
537350,Closed,444,2012-09-05 00:03:00-04,68,2012-09-05 00:10:00-04,67,T01401,Casual,,,
537351,Closed,432,2012-09-05 00:03:00-04,68,2012-09-05 00:10:00-04,67
537352,Closed,419,2012-09-05 00:03:00-04,68,2012-09-05 00:10:00-04,67
537353,Closed,217,2012-09-05 00:07:00-04,33,2012-09-05 00:11:00-04,55
537354,Closed,451,2012-09-05 00:08:00-04,81,2012-09-05 00:15:00-04,47
537355,Closed,953,2012-09-05 00:17:00-04,38,2012-09-05 00:33:00-04,39
537356,Closed,1225,2012-09-05 00:17:00-04,41,2012-09-05 00:38:00-04,33
537358,Closed,356,2012-09-05 00:20:00-04,5,2012-09-05 00:26:00-04,27
537359,Closed,876,2012-09-05 00:22:00-04,38,2012-09-05 00:36:00-04,16
537360,Closed,915,2012-09-05 00:22:00-04,38,2012-09-05 00:37:00-04,16,T01194,Registered,02148,1976,Male
537361,Closed,642,2012-09-05 00:22:00-04,38,2012-09-05 00:33:00-04,58
537362,Closed,635,2012-09-05 00:22:00-04,38,2012-09-05 00:33:00-04,58
537363,Closed,1040,2012-09-05 00:24:00-04,38,2012-09-05 00:42:00-04,51,T01443,Registered,02118,1968,Male
537364,Closed,1144,2012-09-05 00:25:00-04,39,2012-09-05 00:44:00-04,41
537365,Closed,716,2012-09-05 00:27:00-04,38,2012-09-05 00:39:00-04,58,T01316,Registered,02116,1974,Female
537366,Closed,2732,2012-09-05 00:31:00-04,75,2012-09-05 01:17:00-04,15
537367,Closed,1641,2012-09-05 00:32:00-04,74,2012-09-05 01:00:00-04,41
537368,Closed,2968,2012-09-05 00:33:00-04,74,2012-09-05 01:23:00-04,41
537369,Closed,907,2012-09-05 00:39:00-04,75,2012-09-05 00:54:00-04,38
537370,Closed,225,2012-09-05 00:39:00-04,22,2012-09-05 00:43:00-04,54
537371,Closed,322,2012-09-05 00:42:00-04,80,2012-09-05 00:47:00-04,75
537372,Closed,960,2012-09-05 00:54:00-04,39,2012-09-05 01:10:00-04,32
537373,Closed,902,2012-09-05 01:03:00-04,41,2012-09-05 01:18:00-04,41
537374,Closed,338,2012-09-05 01:04:00-04,22,2012-09-05 01:09:00-04,40
537375,Closed,478,2012-09-05 01:10:00-04,49,2012-09-05 01:18:00-04,21
537376,Closed,1990,2012-09-05 01:20:00-04,54,2012-09-05 01:53:00-04,47,T01049,Registered,02113,1978,Male
537377,Closed,697,2012-09-05 01:21:00-04,54,2012-09-05 01:32:00-04,53,T01254,Casual,,,
537379,Closed,12059,2012-09-05 01:21:00-04,76,2012-09-05 04:42:00-04,78,T01045,Casual,,,
537380,Closed,50,2012-09-05 01:26:00-04,8,2012-09-05 01:27:00-04,8
537381,Closed,795,2012-09-05 01:27:00-04,8,2012-09-05 01:41:00-04,86
537382,Closed,764,2012-09-05 01:29:00-04,20,2012-09-05 01:41:00-04,16
537383,Closed,763,2012-09-05 01:30:00-04,76,2012-09-05 01:43:00-04,36
537384,Closed,502,2012-09-05 01:44:00-04,14,2012-09-05 01:52:00-04,46
537385,Closed,970,2012-09-05 01:46:00-04,41,2012-09-05 02:02:00-04,55
537387,Closed,1298,2012-09-05 02:03:00-04,50,2012-09-05 02:24:00-04,29
537388,Closed,381,2012-09-05 02:11:00-04,59,2012-09-05 02:17:00-04,16,T01208,Registered,02116,1976,Male
537389,Closed,1175,2012-09-05 02:34:00-04,38,2012-09-05 02:53:00-04,19
537390,Closed,162,2012-09-05 02:40:00-04,21,2012-09-05 02:43:00-04,57
537391,Closed,2707,2012-09-05 02:43:00-04,33,2012-09-05 03:29:00-04,78,T01433,Casual,,,
537392,Closed,2673,2012-09-05 02:44:00-04,33,2012-09-05 03:28:00-04,78,T01334,Casual,,,
537393,Closed,2526,2012-09-05 02:46:00-04,33,2012-09-05 03:29:00-04,78
537394,Closed,1336,2012-09-05 04:06:00-04,66,2012-09-05 04:29:00-04,23
