id,status,duration,start_date,start_station,end_date,end_station
616967,Closed,96539,2012-09-29 02:18:00-04,43,2012-09-30 05:07:00-04,48
617860,Closed,161623,2012-09-29 15:24:00-04,36,2012-10-01 12:17:00-04,65
618815,Closed,4271,2012-09-29 23:02:00-04,74,2012-09-30 00:13:00-04,25
618817,Closed,4074,2012-09-29 23:05:00-04,74,2012-09-30 00:13:00-04,25,T01067,Casual,,,
618820,Closed,4036,2012-09-29 23:06:00-04,74,2012-09-30 00:13:00-04,25
618845,Closed,3628,2012-09-29 23:25:00-04,92,2012-09-30 00:26:00-04,55,T01298,Casual,,,
618846,Closed,3600,2012-09-29 23:26:00-04,92,2012-09-30 00:26:00-04,55,T01278,Casual,,,
618872,Closed,695,2012-09-29 23:49:00-04,33,2012-09-30 00:01:00-04,10
618875,Closed,1005,2012-09-29 23:50:00-04,18,2012-09-30 00:07:00-04,8,T01276,Registered,02134,1988,Male
618876,Closed,704,2012-09-29 23:51:00-04,68,2012-09-30 00:03:00-04,88,T01223,Casual,,,
618879,Closed,806,2012-09-29 23:53:00-04,68,2012-09-30 00:06:00-04,45
618880,Closed,720,2012-09-29 23:54:00-04,68,2012-09-30 00:06:00-04,45
618882,Closed,776,2012-09-29 23:53:00-04,68,2012-09-30 00:06:00-04,45
618884,Closed,136473,2012-09-29 23:55:00-04,94,2012-10-01 13:49:00-04,47
618885,Closed,686,2012-09-29 23:54:00-04,68,2012-09-30 00:06:00-04,45,T01284,Registered,02139,1986,Male
618886,Closed,765,2012-09-29 23:55:00-04,52,2012-09-30 00:08:00-04,69,T01371,Registered,02446,1987,Male
618888,Closed,294,2012-09-29 23:56:00-04,4,2012-09-30 00:01:00-04,57
618889,Closed,461,2012-09-29 23:57:00-04,47,2012-09-30 00:05:00-04,60
618890,Closed,461,2012-09-29 23:57:00-04,47,2012-09-30 00:05:00-04,60
618891,Closed,416,2012-09-29 23:58:00-04,55,2012-09-30 00:05:00-04,19,T01335,Registered,02215,1983,Male
618892,Closed,877,2012-09-30 00:00:00-04,69,2012-09-30 00:15:00-04,18,T01131,Registered,02134,1985,Male
618893,Closed,997,2012-09-30 00:01:00-04,68,2012-09-30 00:18:00-04,25
618894,Closed,2147,2012-09-30 00:03:00-04,16,2012-09-30 00:38:00-04,73
618895,Closed,935,2012-09-30 00:02:00-04,68,2012-09-30 00:18:00-04,25
618896,Closed,2152,2012-09-30 00:02:00-04,16,2012-09-30 00:38:00-04,73,T01398,Casual,,,
618897,Closed,757,2012-09-30 00:01:00-04,91,2012-09-30 00:14:00-04,87
618898,Closed,495,2012-09-30 00:02:00-04,36,2012-09-30 00:10:00-04,53
618899,Closed,875,2012-09-30 00:02:00-04,54,2012-09-30 00:17:00-04,46
618900,Closed,167,2012-09-30 00:02:00-04,55,2012-09-30 00:05:00-04,53,T01425,Registered,02116,1988,Male
618901,Closed,589,2012-09-30 00:03:00-04,68,2012-09-30 00:13:00-04,78
618902,Closed,545,2012-09-30 00:08:00-04,25,2012-09-30 00:17:00-04,27
618903,Closed,1261,2012-09-30 00:08:00-04,50,2012-09-30 00:29:00-04,40
618904,Closed,575,2012-09-30 00:07:00-04,25,2012-09-30 00:17:00-04,27
618906,Closed,1268,2012-09-30 00:08:00-04,50,2012-09-30 00:29:00-04,40,T01113,Casual,,,
618907,Closed,329,2012-09-30 00:07:00-04,72,2012-09-30 00:13:00-04,53
618908,Closed,819,2012-09-30 00:09:00-04,44,2012-09-30 00:23:00-04,43,T01056,Casual,,,
618909,Closed,654,2012-09-30 00:09:00-04,53,2012-09-30 00:20:00-04,4
618910,Closed,1004,2012-09-30 00:09:00-04,8,2012-09-30 00:26:00-04,61
618911,Closed,728,2012-09-30 00:09:00-04,8,2012-09-30 00:22:00-04,17,T01014,Registered,02139,1986,Male
618912,Closed,815,2012-09-30 00:10:00-04,74,2012-09-30 00:24:00-04,55,T01439,Registered,02492,1976,Male
618913,Closed,528,2012-09-30 00:10:00-04,55,2012-09-30 00:19:00-04,27,T01340,Registered,02119,1986,Male
618914,Closed,552,2012-09-30 00:11:00-04,32,2012-09-30 00:20:00-04,69
618915,Closed,373,2012-09-30 00:11:00-04,4,2012-09-30 00:17:00-04,39
618916,Closed,433,2012-09-30 00:15:00-04,30,2012-09-30 00:23:00-04,86
618917,Closed,1034,2012-09-30 00:16:00-04,47,2012-09-30 00:33:00-04,39
618918,Closed,367,2012-09-30 00:16:00-04,30,2012-09-30 00:23:00-04,86,T01217,Casual,,,
618919,Closed,109,2012-09-30 00:17:00-04,36,2012-09-30 00:19:00-04,36,T01205,Registered,02115,1989,Male
618920,Closed,547,2012-09-30 00:19:00-04,40,2012-09-30 00:28:00-04,98
618921,Closed,1308,2012-09-30 00:19:00-04,57,2012-09-30 00:41:00-04,89
618922,Closed,486,2012-09-30 00:20:00-04,40,2012-09-30 00:28:00-04,98
618923,Closed,1260,2012-09-30 00:20:00-04,57,2012-09-30 00:41:00-04,89,T01447,Casual,,,
618924,Closed,346,2012-09-30 00:22:00-04,97,2012-09-30 00:28:00-04,70
618925,Closed,949,2012-09-30 00:22:00-04,68,2012-09-30 00:38:00-04,36
618926,Closed,300,2012-09-30 00:24:00-04,16,2012-09-30 00:29:00-04,57
618927,Closed,438,2012-09-30 00:24:00-04,53,2012-09-30 00:32:00-04,33,T01040,Registered,02115,1989,Male
618929,Closed,241,2012-09-30 00:26:00-04,38,2012-09-30 00:30:00-04,98
618931,Closed,1065,2012-09-30 00:30:00-04,20,2012-09-30 00:47:00-04,85,T01307,Casual,,,
618932,Closed,799,2012-09-30 00:32:00-04,42,2012-09-30 00:46:00-04,84,T01054,Casual,,,
